fingerprint,exact_match_verified,source_rows,target_rows,source_family_counts,target_family_counts,target_positions
10feb4104ba04a1d,True,89,14,"{""Benign"": 13, ""Web Attacks"": 76}","{""Benign"": 14}","[844, 845, 19755, 19756, 44116, 44117, 53870, 53871, 76349, 76350, 99517, 99518, 109489, 109490]"
c2c8f104b016e2d3,True,71,18,"{""Benign"": 14, ""Web Attacks"": 57}","{""Benign"": 18}","[3381, 3382, 12159, 12160, 34215, 34216, 46814, 46815, 57449, 57450, 78972, 78974, 87781, 87783, 102029, 102030, 112576, 112577]"
aea58aee390ed67e,True,14,4,"{""Benign"": 8, ""Web Attacks"": 6}","{""Benign"": 4}","[77901, 77902, 82720, 82721]"
6abe3d73bb82a6dc,True,40,18,"{""Benign"": 15, ""Web Attacks"": 25}","{""Benign"": 18}","[28861, 28862, 41346, 41347, 51928, 51929, 63412, 63413, 73938, 73939, 83402, 83403, 96383, 96384, 107172, 107173, 118086, 118087]"
d2321ce1b21d3bb1,True,9,4,"{""Benign"": 7, ""Web Attacks"": 2}","{""Benign"": 4}","[8637, 8638, 66007, 66009]"
b260f89e8fb1385b,True,1,2,"{""Web Attacks"": 1}","{""Benign"": 2}","[31291, 31292]"
1e883ad8a5bbc2f6,True,1,1,"{""Web Attacks"": 1}","{""Benign"": 1}",[33091]
4df82cedf32c605f,True,31,23,"{""Benign"": 30, ""Web Attacks"": 1}","{""Benign"": 23}","[364, 2934, 4167, 7658, 9988, 13950, 23451, 31579, 40693, 46497, 50040, 66856, 69637, 82521, 85784, 94921, 97836, 102567, 107564, 110949, 113386, 118785, 119780]"
b0a1231006edd3d5,True,298,25,"{""Benign"": 278, ""Infiltration"": 20}","{""Benign"": 25}","[50521, 50599, 50787, 50930, 51389, 51432, 51563, 52444, 52512, 52713, 52857, 53322, 53441, 53687, 53688, 53730, 53808, 54188, 54189, 56507, 119170, 119235, 119478, 119555, 119929]"
79bfa4ec1e2ec8d3,True,149,18,"{""Benign"": 134, ""Infiltration"": 15}","{""Benign"": 18}","[50925, 50929, 51061, 51622, 51864, 52138, 52242, 52409, 53773, 53796, 53917, 58497, 61179, 118619, 119022, 119535, 119594, 119842]"
7930f0b99d3aed63,True,10,2,"{""Benign"": 7, ""Infiltration"": 3}","{""Benign"": 2}","[50652, 58962]"
a6ba93d88ab7a866,True,1,1,"{""Infiltration"": 1}","{""Benign"": 1}",[86977]
fbb91cc2e593942c,True,1,1,"{""Infiltration"": 1}","{""Benign"": 1}",[77394]
0aca28d14f026262,True,1,1,"{""Infiltration"": 1}","{""Benign"": 1}",[75230]
b6fe9b4ec8228fb0,True,410,117,"{""Benign"": 402, ""Infiltration"": 8}","{""Benign"": 117}","[15379, 15552, 15580, 15586, 15612, 15642, 15657, 15782, 15787, 15797, 15813, 15846, 15849, 15893, 15920, 15950, 15983, 16032, 16044, 16069, 16084, 16109, 16121, 16128, 16175, 16180, 16189, 16222, 16309, 16319, 16357, 16362, 16428, 16455, 16489, 16582, 16590, 16597, 16637, 16724, 16748, 16754, 16784, 16794, 16799, 16817, 16827, 16829, 16859, 16872, 16880, 16918, 16926, 16936, 16963, 17018, 17035, 17062, 17069, 17112, 17143, 17170, 17174, 17232, 17257, 17341, 17400, 17439, 17541, 17572, 17577, 17618, 17674, 17717, 17748, 17840, 17867, 17939, 17997, 18066, 18089, 18276, 18409, 18635, 18692, 18693, 18747, 18864, 18865, 18903, 18927, 18985, 18986, 19041, 19387, 19447, 19448, 19610, 19631, 19710, 19792, 20393, 20394, 20460, 20461, 20485, 20486, 20518, 21071, 21540, 21828, 22811, 24340, 24410, 34707, 89639, 89640]"
35864e176bb515de,True,1,1,"{""Infiltration"": 1}","{""Benign"": 1}",[17468]
e844a0955bed0256,True,1,1,"{""Infiltration"": 1}","{""Benign"": 1}",[65462]
f6081fc5f88fcf73,True,1,1,"{""Infiltration"": 1}","{""Benign"": 1}",[85504]
ba842ae184b6b1fc,True,37,1,"{""Benign"": 34, ""Infiltration"": 3}","{""Benign"": 1}",[51449]
d2f432918b74aad0,True,21,4,"{""Benign"": 20, ""Infiltration"": 1}","{""Benign"": 4}","[50683, 50724, 119070, 119233]"
fd7de6b9f1c4d7a4,True,1,1,"{""Infiltration"": 1}","{""Benign"": 1}",[77201]
e66f359205b47a5a,True,1,1,"{""Infiltration"": 1}","{""Benign"": 1}",[53241]
90493dcd391e3344,True,1,1,"{""Infiltration"": 1}","{""Benign"": 1}",[26222]
828c96a0d9264489,True,1,1,"{""Infiltration"": 1}","{""Benign"": 1}",[106545]
c10574e66c16bdea,True,1,1,"{""Infiltration"": 1}","{""Benign"": 1}",[102456]
ac508ce39a95b561,True,1,1,"{""Infiltration"": 1}","{""Benign"": 1}",[62737]
