window,first_time,last_time,mean_shift_score,predicted_unknown_rate,above_MAD_3,above_MAD_4,above_MAD_5,above_MAD_6
30,2018-03-02 14:15:59.244,2018-03-02 14:16:07.512,0.08968547344355675,0.044,False,False,False,False
31,2018-03-02 14:16:07.512,2018-03-02 14:16:16.698,0.3514808780500038,0.15,True,True,True,False
32,2018-03-02 14:16:16.742,2018-03-02 14:16:25.109,0.41147776656807017,0.182,True,True,True,True
33,2018-03-02 14:16:25.158,2018-03-02 14:16:36.236,0.4358088368811024,0.214,True,True,True,True
34,2018-03-02 14:16:36.279,2018-03-02 14:16:42.236,0.3274885759344276,0.148,True,True,True,False
35,2018-03-02 14:16:42.237,2018-03-02 14:16:47.713,0.30330723058013376,0.162,True,True,False,False
36,2018-03-02 14:16:47.713,2018-03-02 14:16:53.527,0.21032518906158568,0.096,False,False,False,False
37,2018-03-02 14:16:53.527,2018-03-02 14:16:57.117,0.18304425240736263,0.092,False,False,False,False
38,2018-03-02 14:16:57.131,2018-03-02 14:17:01.231,0.1335259144311425,0.07,False,False,False,False
39,2018-03-02 14:17:01.232,2018-03-02 14:17:07.359,0.17915456436798732,0.1,False,False,False,False
