budget,trigger_window,window_local_index,target_row_index,true_family,predicted_label,unknown_score,confidence
50,41,10,20510,Benign,BruteForce,0.7704321850714463,0.22956781492855372
50,41,12,20512,Benign,DoS,0.8725560926858867,0.12744390731411326
50,41,17,20517,Benign,DoS,0.9092119053939124,0.09078809460608761
50,41,22,20522,Benign,BruteForce,0.5120451901286489,0.4879548098713511
50,41,23,20523,Benign,Benign,0.6665549100769746,0.33344508992302535
50,41,30,20530,Benign,BruteForce,0.7473347099325311,0.25266529006746885
50,41,37,20537,Benign,Benign,0.6868335712755829,0.31316642872441713
50,41,40,20540,Benign,Benign,0.8422887577626198,0.1577112422373802
50,41,49,20549,Benign,Benign,0.8371391217288069,0.1628608782711931
50,41,50,20550,Benign,__unknown__,0.947291591231028,0.05270840876897198
50,41,63,20563,Benign,Benign,0.6628032119596253,0.3371967880403747
50,41,67,20567,Benign,__unknown__,0.9572539043351364,0.04274609566486365
50,41,159,20659,Benign,__unknown__,0.9414840196786762,0.05851598032132377
50,41,160,20660,Benign,BruteForce,0.7182527090522435,0.2817472909477565
50,41,162,20662,Benign,BruteForce,0.8076976438942436,0.1923023561057564
50,41,164,20664,Benign,Benign,0.6570735540379917,0.3429264459620083
50,41,165,20665,Benign,Benign,0.7337202483276308,0.26627975167236917
50,41,177,20677,Benign,Benign,0.7608152167324771,0.2391847832675229
50,41,178,20678,Benign,__unknown__,0.9434053297904267,0.05659467020957332
50,41,196,20696,Benign,Benign,0.7700755293639561,0.22992447063604393
50,41,197,20697,Benign,DoS,0.9219800778990235,0.07801992210097652
50,41,259,20759,Benign,BruteForce,0.810585741702467,0.189414258297533
50,41,275,20775,Benign,BruteForce,0.7208448387602913,0.27915516123970874
50,41,276,20776,Benign,Benign,0.632211159520772,0.367788840479228
50,41,279,20779,Benign,Benign,0.8855040471306637,0.11449595286933634
50,41,289,20789,Benign,__unknown__,0.9873748290630915,0.012625170936908514
50,41,298,20798,Benign,Benign,0.9310696701598012,0.06893032984019876
50,41,300,20800,Benign,Benign,0.720238383162844,0.27976161683715595
50,41,302,20802,Benign,Benign,0.88354918738459,0.11645081261541002
50,41,317,20817,Benign,BruteForce,0.7098292739068238,0.2901707260931762
50,41,318,20818,Benign,Benign,0.9096558832070951,0.09034411679290488
50,41,319,20819,Benign,Benign,0.7508139347037721,0.2491860652962279
50,41,326,20826,Benign,Benign,0.7840878168769935,0.21591218312300653
50,41,331,20831,Benign,Benign,0.7124889290210319,0.2875110709789681
50,41,333,20833,Benign,Benign,0.9351145702893761,0.06488542971062394
50,41,385,20885,Benign,Benign,0.6209564545626112,0.37904354543738883
50,41,394,20894,Benign,Benign,0.739701720782981,0.260298279217019
50,41,399,20899,Benign,Benign,0.6117463210656868,0.3882536789343132
50,41,403,20903,Benign,BruteForce,0.6768387009716799,0.32316129902832014
50,41,420,20920,Benign,DoS,0.8526562249281066,0.14734377507189345
50,41,435,20935,Benign,Benign,0.6027641452765109,0.3972358547234891
50,41,449,20949,Benign,DoS,0.8882683444606151,0.11173165553938491
50,41,451,20951,Benign,Benign,0.7360187859266217,0.26398121407337827
50,41,455,20955,Benign,DoS,0.9122799714957774,0.08772002850422256
50,41,459,20959,Benign,DoS,0.8931271160580248,0.10687288394197525
50,41,460,20960,Benign,Benign,0.9186972547826319,0.08130274521736813
50,41,462,20962,Benign,Benign,0.9284213929886025,0.07157860701139751
50,41,465,20965,Benign,DoS,0.9054825999541927,0.09451740004580733
50,41,485,20985,Benign,Benign,0.7729280030067516,0.22707199699324843
50,41,488,20988,Benign,Benign,0.9115191251893664,0.0884808748106336
200,41,9,20509,DDoS,Benign,0.6599516849526827,0.34004831504731725
200,41,10,20510,Benign,BruteForce,0.7704321850714463,0.22956781492855372
200,41,11,20511,Benign,Benign,0.5613246036708756,0.43867539632912445
200,41,12,20512,Benign,DoS,0.8725560926858867,0.12744390731411326
200,41,13,20513,Benign,Benign,0.7758930787996199,0.22410692120038012
200,41,15,20515,Benign,Benign,0.5756166089055101,0.42438339109448986
200,41,16,20516,Benign,Benign,0.5830211407979367,0.41697885920206335
200,41,17,20517,Benign,DoS,0.9092119053939124,0.09078809460608761
200,41,18,20518,Benign,Benign,0.5883077856734984,0.4116922143265016
200,41,19,20519,Benign,Benign,0.6004967966869386,0.39950320331306144
200,41,20,20520,Benign,BruteForce,0.5017502571777563,0.49824974282224366
200,41,21,20521,Benign,BruteForce,0.7347578454818842,0.26524215451811584
200,41,22,20522,Benign,BruteForce,0.5120451901286489,0.4879548098713511
200,41,23,20523,Benign,Benign,0.6665549100769746,0.33344508992302535
200,41,24,20524,Benign,Benign,0.6517794775865291,0.3482205224134709
200,41,25,20525,Benign,Benign,0.5025836785191968,0.49741632148080317
200,41,27,20527,Benign,Benign,0.6219407746295238,0.3780592253704762
200,41,28,20528,Benign,Benign,0.5817396921627978,0.41826030783720225
200,41,30,20530,Benign,BruteForce,0.7473347099325311,0.25266529006746885
200,41,36,20536,Benign,BruteForce,0.7683937763915374,0.2316062236084626
200,41,37,20537,Benign,Benign,0.6868335712755829,0.31316642872441713
200,41,38,20538,Benign,BruteForce,0.7965641871248198,0.2034358128751802
200,41,40,20540,Benign,Benign,0.8422887577626198,0.1577112422373802
200,41,49,20549,Benign,Benign,0.8371391217288069,0.1628608782711931
200,41,50,20550,Benign,__unknown__,0.947291591231028,0.05270840876897198
