short_method,evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
static,4,20000,25000,5000,1,1,0,2084,True,Benign|DoS,0.9247787610619468,0.4623893805309734,0.8600823045267489,,0.1772187676653476,0.2772259164597871,0.1244780271136281,0.8600823045267489,0.019193857965451,0.0,0.019193857965451,0.980806142034549,0.4719863095136989,0.3544375353306953,0.0428669410150891,0.980806142034549,0.967,0.481282316442606,0.3755874957701996
static,5,25000,30000,5000,1,1,0,2483,True,Benign|DoS,0.9125081011017498,0.4562540505508749,0.8390941597139452,,0.1557062813329401,0.3764894067084529,0.1912702843379478,0.8390941597139452,0.0475231574708014,0.0,0.0475231574708014,0.9524768425291984,0.4800156292862756,0.3114125626658802,0.0425109257052046,0.9524768425291984,0.955,0.557696335078534,0.3297737876377097
static,6,30000,35000,5000,1,1,0,2571,True,Benign|DoS,0.8873110398534128,0.4436555199267064,0.7974475092630712,,0.1464539543323756,0.365921839365311,0.1265158025857335,0.7974475092630712,0.0373395565927654,0.0,0.0373395565927654,0.9626604434072346,0.4623252982230891,0.2929079086647512,0.0498147385755454,0.9626604434072346,0.9566,0.595024043487351,0.3639018266263851
static,7,35000,40000,5000,1,1,0,3182,True,Benign|DoS,0.8914634146341464,0.4457317073170732,0.8041804180418042,,0.1228571428571428,0.4844678365299332,0.1569375039326686,0.8041804180418042,0.0370835952231301,0.0,0.0370835952231301,0.96291640477687,0.4642735049286382,0.2457142857142857,0.0418041804180418,0.96291640477687,0.9612,0.6957969205160216,0.332146192175613
static,8,40000,45000,5000,1,1,0,2458,True,Benign|DoS,0.8986135181975736,0.4493067590987868,0.8158929976396538,,0.1495960761684939,0.4378506935311662,0.3148290173418546,0.8158929976396538,0.0577705451586655,0.0,0.0577705451586655,0.9422294548413344,0.4781920316781196,0.2991921523369878,0.0452399685287175,0.9422294548413344,0.9486,0.5627240143369175,0.2529532117946342
static,9,45000,50000,5000,1,1,0,1414,True,Benign|DoS,0.9070405364218226,0.4535202682109113,0.8298940323480201,,0.1888324873096446,0.2639336545172952,0.3510911126169584,0.8298940323480201,0.0678925035360678,0.0,0.0678925035360678,0.932107496463932,0.4874665199789452,0.3776649746192893,0.0482431678750697,0.932107496463932,0.9462,0.3709575142675967,0.3038040962359735
random_B050,4,20000,25000,5000,1,1,0,2084,True,Benign|DoS,0.8542239685658153,0.4271119842829076,0.7455418381344308,,0.3731317627939196,0.2688023217661092,0.093398425261118,0.7455418381344308,0.6626679462571977,0.6434740882917467,0.019193857965451,0.3373320537428023,0.7584459574115066,0.7462635255878391,0.0270919067215363,0.980806142034549,0.9762,0.2798606842860069,0.2897961368362102
random_B050,5,25000,30000,5000,1,1,0,2483,True,Benign|DoS,0.8765900468645391,0.4382950234322695,0.7802940007945968,,0.4530870254540277,0.3536706327531687,0.1063025154283134,0.7802940007945968,1.0,0.9532823197744664,0.0467176802255336,0.0,0.9382950234322696,0.9061740509080554,0.0258243941199841,0.9532823197744664,0.9638,0.1012658227848101,0.4148942529279444
random_B050,6,30000,35000,5000,1,1,0,2571,True,Benign|DoS,0.845532319391635,0.4227661596958175,0.7324001646768218,,0.4459147733199995,0.349938270391202,0.0639940150127486,0.7324001646768218,1.0,0.9642162582652664,0.0357837417347335,0.0,0.9227661596958174,0.8918295466399991,0.024701523260601,0.9642162582652664,0.9696,0.1216996699669967,0.3951071437752001
random_B050,7,35000,40000,5000,1,1,0,3182,True,Benign|DoS,0.8555240793201133,0.4277620396600566,0.7475247524752475,,0.4541570549617724,0.4601218200029257,0.077881703946636,0.7475247524752475,1.0,0.96291640477687,0.0370835952231301,0.0,0.9277620396600568,0.9083141099235448,0.0308030803080308,0.96291640477687,0.9652,0.0835060091172814,0.4064357991805644
random_B050,8,40000,45000,5000,1,1,0,2458,True,Benign|DoS,0.8641644325290437,0.4320822162645218,0.7608182533438238,,0.4200318063700028,0.3895065190941486,0.180268478975506,0.7608182533438238,0.886899918633035,0.8291293734743694,0.0577705451586655,0.113100081366965,0.8755321755810394,0.8400636127400056,0.024390243902439,0.9422294548413344,0.9592,0.1718098415346121,0.3870142332022219
random_B050,9,45000,50000,5000,1,1,0,1414,True,Benign|DoS,0.8439716312056738,0.4219858156028369,0.7300613496932515,,0.3710602307590556,0.2575455485433144,0.2882792661387085,0.7300613496932515,0.7595473833097596,0.693069306930693,0.0664780763790664,0.2404526166902404,0.8017595072577166,0.7421204615181113,0.0256553262688232,0.9335219236209336,0.9628,0.2525965932696302,0.3676478331418069
random_B200,4,20000,25000,5000,1,1,0,2084,True,Benign|DoS,0.8446909667194928,0.4223454833597464,0.7311385459533608,,0.3689521257359001,0.2692375579192725,0.0960958336953574,0.7311385459533608,0.6626679462571977,0.6434740882917467,0.019193857965451,0.3373320537428023,0.7536794564883453,0.7379042514718002,0.0264060356652949,0.980806142034549,0.9766,0.2887569117345894,0.2849080644170318
random_B200,5,25000,30000,5000,1,1,0,2483,True,Benign|DoS,0.8631436314363143,0.4315718157181571,0.7592371871275327,,0.4472547128659239,0.3540384733824221,0.1087813500496262,0.7592371871275327,1.0,0.9532823197744664,0.0467176802255336,0.0,0.9315718157181572,0.8945094257318478,0.0258243941199841,0.9532823197744664,0.9638,0.1122639551774227,0.4105068255938737
random_B200,6,30000,35000,5000,1,1,0,2571,True,Benign|DoS,0.8322115384615385,0.4161057692307692,0.7126389460683409,,0.4407354451560266,0.3498328049269911,0.067059207274219,0.7126389460683409,1.0,0.9642162582652664,0.0357837417347335,0.0,0.9161057692307693,0.8814708903120533,0.0275833676410045,0.9642162582652664,0.9682,0.1303449700475108,0.3908217619297212
random_B200,7,35000,40000,5000,1,1,0,3182,True,Benign|DoS,0.8453477294379168,0.4226738647189584,0.7321232123212321,,0.4504504020020576,0.4603301795291835,0.0795035191765562,0.7321232123212321,1.0,0.96291640477687,0.0370835952231301,0.0,0.9226738647189584,0.9009008040041152,0.0308030803080308,0.96291640477687,0.9652,0.0893079154579361,0.4068232748370518
random_B200,8,40000,45000,5000,1,1,0,2458,True,Benign|DoS,0.8515925005647165,0.4257962502823582,0.7415420928402833,,0.4146646238281584,0.3912891396585828,0.189862226714868,0.7415420928402833,0.886899918633035,0.8291293734743694,0.0577705451586655,0.113100081366965,0.8692462095988758,0.8293292476563168,0.025177025963808,0.9422294548413344,0.9588,0.1816854401335002,0.3815143344228942
random_B200,9,45000,50000,5000,1,1,0,1414,True,Benign|DoS,0.8324922676216833,0.4162461338108416,0.7130507529280535,,0.3647294501991401,0.2577157788427948,0.290745638981076,0.7130507529280535,0.7595473833097596,0.693069306930693,0.0664780763790664,0.2404526166902404,0.7960198254657214,0.7294589003982803,0.026213050752928,0.9335219236209336,0.9624,0.2649625935162095,0.3574203994736025
UD_B050,4,20000,25000,5000,1,1,0,2084,True,Benign|DoS,0.854449027695934,0.427224513847967,0.7458847736625515,,0.1637808299802735,0.273952954579502,0.1235576631938685,0.7458847736625515,0.0220729366602687,0.0057581573896353,0.0163147792706333,0.9779270633397312,0.4382609821781013,0.3275616599605471,0.0240054869684499,0.9836852207293666,0.9792,0.5533088235294118,0.3227341875311072
UD_B050,5,25000,30000,5000,1,1,0,2483,True,Benign|DoS,0.8690181981577174,0.4345090990788587,0.7683750496622964,,0.1699055486266382,0.3636839052497652,0.1864166199045043,0.7683750496622964,0.0829641562625855,0.049134111961337,0.0338300443012484,0.9170358437374144,0.4759911772101515,0.3398110972532765,0.0258243941199841,0.9661699556987516,0.9702,0.5761698618841476,0.331056743547006
