condition,condition_code,seed,run_name,method,selection_strategy,update_rule,budget,config_path,config_sha256
random_naive_B050,RN50,23,R19_DoS_s023_RN50,cse_dos_random_naive_replay_B050,random_nested,naive_replay,50,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_adaptive_seed_robustness_v018\dos_rn50_seed023_v018.yaml,873b6acd0667c8d556799c0a35610763376852fbda8b75e893394a363b95f7f1
random_naive_B050,RN50,37,R19_DoS_s037_RN50,cse_dos_random_naive_replay_B050,random_nested,naive_replay,50,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_adaptive_seed_robustness_v018\dos_rn50_seed037_v018.yaml,9c884e53aa2e24f48182f5d900002a26d10f1262d67b8db1dbf4a9989b1757e8
random_naive_B050,RN50,53,R19_DoS_s053_RN50,cse_dos_random_naive_replay_B050,random_nested,naive_replay,50,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_adaptive_seed_robustness_v018\dos_rn50_seed053_v018.yaml,b3efbe9f42e9ec2b5a73eb1101045fb1953184f9900f2a6e95e48cf06cc7d9f4
random_naive_B050,RN50,71,R19_DoS_s071_RN50,cse_dos_random_naive_replay_B050,random_nested,naive_replay,50,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_adaptive_seed_robustness_v018\dos_rn50_seed071_v018.yaml,6c5d12596f87654ce68c72f55e42cde744d39bd16bdb102e54a40f24470fab54
random_naive_B050,RN50,83,R19_DoS_s083_RN50,cse_dos_random_naive_replay_B050,random_nested,naive_replay,50,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_adaptive_seed_robustness_v018\dos_rn50_seed083_v018.yaml,01cd5ab083ab4b37e8c2186c7e84c36fa3be0f3fa97e26da7c26b22090ce1c80
random_naive_B050,RN50,97,R19_DoS_s097_RN50,cse_dos_random_naive_replay_B050,random_nested,naive_replay,50,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_adaptive_seed_robustness_v018\dos_rn50_seed097_v018.yaml,1f28484486e54331f28e61da2969af87d2d881b6a6ddb093c9594882d8e7adc8
random_naive_B050,RN50,109,R19_DoS_s109_RN50,cse_dos_random_naive_replay_B050,random_nested,naive_replay,50,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_adaptive_seed_robustness_v018\dos_rn50_seed109_v018.yaml,437dd36a7a400ff6490e78734037fc84c820587c3ef4e6dbbeb4f02e70ac82d9
random_naive_B050,RN50,127,R19_DoS_s127_RN50,cse_dos_random_naive_replay_B050,random_nested,naive_replay,50,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_adaptive_seed_robustness_v018\dos_rn50_seed127_v018.yaml,568cef0c050be45de81269b36b9280770a28a39b501bd4847e36d2bb12e00cf4
random_naive_B050,RN50,149,R19_DoS_s149_RN50,cse_dos_random_naive_replay_B050,random_nested,naive_replay,50,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_adaptive_seed_robustness_v018\dos_rn50_seed149_v018.yaml,8a8c0e218337cb1432673fa59ce729a16a953b0bc15ab5e9e23ebdc8305e3a89
random_anchored_B050,RA50,23,R19_DoS_s023_RA50,cse_dos_random_source_anchored_B050,random_nested,source_anchored,50,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_adaptive_seed_robustness_v018\dos_ra50_seed023_v018.yaml,3c18a95067d57e147e85d16da842d74337885f3bf31fa9558c071a5b4b9ea2ef
random_anchored_B050,RA50,37,R19_DoS_s037_RA50,cse_dos_random_source_anchored_B050,random_nested,source_anchored,50,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_adaptive_seed_robustness_v018\dos_ra50_seed037_v018.yaml,7cffc4cdf3e9edaa3e25e69c591eba08c32fbd82e57ac87c34eb4b9cc4617ce7
random_anchored_B050,RA50,53,R19_DoS_s053_RA50,cse_dos_random_source_anchored_B050,random_nested,source_anchored,50,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_adaptive_seed_robustness_v018\dos_ra50_seed053_v018.yaml,547c6d62d85286c53e98a2dae2a7531daa78fb134a959994f3fea0794cbf688f
random_anchored_B050,RA50,71,R19_DoS_s071_RA50,cse_dos_random_source_anchored_B050,random_nested,source_anchored,50,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_adaptive_seed_robustness_v018\dos_ra50_seed071_v018.yaml,63175b2422598b09a250314542213e3d629b73c742f2ba2103a4687b49fc25a8
random_anchored_B050,RA50,83,R19_DoS_s083_RA50,cse_dos_random_source_anchored_B050,random_nested,source_anchored,50,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_adaptive_seed_robustness_v018\dos_ra50_seed083_v018.yaml,1820e00b75a0a0f3da0270034aa5c8c852073213ca18c51f232831c6b9293aed
random_anchored_B050,RA50,97,R19_DoS_s097_RA50,cse_dos_random_source_anchored_B050,random_nested,source_anchored,50,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_adaptive_seed_robustness_v018\dos_ra50_seed097_v018.yaml,ecc12c6de83d98e9910ac0208220457a8bbad86fde0cf8afd205f681c8d729c8
random_anchored_B050,RA50,109,R19_DoS_s109_RA50,cse_dos_random_source_anchored_B050,random_nested,source_anchored,50,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_adaptive_seed_robustness_v018\dos_ra50_seed109_v018.yaml,45abd582bebe50d9482f9d3a4d996178c2b64a1d3d403520caa5d10e61770ee1
random_anchored_B050,RA50,127,R19_DoS_s127_RA50,cse_dos_random_source_anchored_B050,random_nested,source_anchored,50,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_adaptive_seed_robustness_v018\dos_ra50_seed127_v018.yaml,699b14fdb82dc0d0e6bbf70049b35224facd292d334f021dd53755f28d1ce847
random_anchored_B050,RA50,149,R19_DoS_s149_RA50,cse_dos_random_source_anchored_B050,random_nested,source_anchored,50,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_adaptive_seed_robustness_v018\dos_ra50_seed149_v018.yaml,d4d4400708b0273005ae24945c7214b49b76256c401a36f99127de397f343e62
ud_naive_B050,UN50,23,R19_DoS_s023_UN50,cse_dos_ud_naive_replay_B050,uncertainty_diversity,naive_replay,50,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_adaptive_seed_robustness_v018\dos_un50_seed023_v018.yaml,2674011dbc6b413fbb4a1cf586527bb9da2bffe9dec4ce8c2d477aaf849ef8b5
ud_naive_B050,UN50,37,R19_DoS_s037_UN50,cse_dos_ud_naive_replay_B050,uncertainty_diversity,naive_replay,50,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_adaptive_seed_robustness_v018\dos_un50_seed037_v018.yaml,5f9357d5e04c8a25de670a32b5ec5828063384e9379525e9ec37b694adf1ad6d
ud_naive_B050,UN50,53,R19_DoS_s053_UN50,cse_dos_ud_naive_replay_B050,uncertainty_diversity,naive_replay,50,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_adaptive_seed_robustness_v018\dos_un50_seed053_v018.yaml,0af73925f74c97fc8a6f5dd70a6982675e688222f5ea1c0189f10e75c09e0f4e
ud_naive_B050,UN50,71,R19_DoS_s071_UN50,cse_dos_ud_naive_replay_B050,uncertainty_diversity,naive_replay,50,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_adaptive_seed_robustness_v018\dos_un50_seed071_v018.yaml,ced210dc1269b03fdf0cd2d30f00ac8ed16a5044b57525b37d994a9bf96dee66
ud_naive_B050,UN50,83,R19_DoS_s083_UN50,cse_dos_ud_naive_replay_B050,uncertainty_diversity,naive_replay,50,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_adaptive_seed_robustness_v018\dos_un50_seed083_v018.yaml,13b740edb026cf9dd56b6b6a9cd28a2e9c2a080ce11a46c9ada0bb124a9e577b
ud_naive_B050,UN50,97,R19_DoS_s097_UN50,cse_dos_ud_naive_replay_B050,uncertainty_diversity,naive_replay,50,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_adaptive_seed_robustness_v018\dos_un50_seed097_v018.yaml,69e2cd2434953d9b3e1b19c6d9a5fe1bcf8fd39293735168e02271ca5c4d04ae
ud_naive_B050,UN50,109,R19_DoS_s109_UN50,cse_dos_ud_naive_replay_B050,uncertainty_diversity,naive_replay,50,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_adaptive_seed_robustness_v018\dos_un50_seed109_v018.yaml,d095614216e563ecb0a0ba275df9a5e2554c62b03260739ef397d5f3759d00ab
ud_naive_B050,UN50,127,R19_DoS_s127_UN50,cse_dos_ud_naive_replay_B050,uncertainty_diversity,naive_replay,50,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_adaptive_seed_robustness_v018\dos_un50_seed127_v018.yaml,6e4b60f2971d0af1dd7cb6f069891bd3aaebb46d9e47fbe28cc8456556127dbd
