metric,higher_is_better,analysis_family,contrast,contrast_definition,n_seeds,mean_difference,std_difference,paired_dz,median_difference,minimum_difference,maximum_difference,positive_seed_count,negative_seed_count,zero_seed_count,bootstrap_95_low,bootstrap_95_high,exact_sign_flip_p_raw,wilcoxon_p_raw,holm_p_within_metric_family,holm_p_within_metric_all,holm_p_across_all_tests
Global acquisition macro-F1,True,factorial_effects,Budget main: B200 minus B50,Mean(B200 across selection/update) minus mean(B50 across selection/update),10,0.1973767631145943,0.004963489414334826,39.765726616553174,0.1957892993996626,0.19337916523495413,0.20997723901217713,10,0,0,0.19496860203122074,0.20065421171919198,0.001953125,0.001953125,0.013671875,0.029296875,0.1171875
Global acquisition macro-F1,True,factorial_effects,Budget x update,Anchoring effect at B200 − anchoring effect at B50,10,-0.0006800777737661995,0.0009525564556780144,-0.7139500968287817,-0.0005401363013653182,-0.0025138596178476413,0.0007342775488839437,2,8,0,-0.0012530970818705148,-0.00013854400173026472,0.046875,0.064453125,0.10546875,0.140625,0.9375
Global acquisition macro-F1,True,factorial_effects,Selection main: random minus UD,Mean(random across budget/update) minus mean(UD across budget/update),10,0.20356929523011438,0.008820871563912818,23.078138453227158,0.20152960757455024,0.1940918929850639,0.22148629070616144,10,0,0,0.19873950221199818,0.20908147589655118,0.001953125,0.001953125,0.013671875,0.029296875,0.1171875
Global acquisition macro-F1,True,factorial_effects,Selection x budget,(random B200 − random B50) − (UD B200 − UD B50),10,-0.40374633136261656,0.015714315783813593,-25.692899195680685,-0.39863650139164397,-0.4304661698868536,-0.3872959727059046,0,10,0,-0.41341252232063463,-0.3949921745556326,0.001953125,0.001953125,0.013671875,0.029296875,0.1171875
Global acquisition macro-F1,True,factorial_effects,Selection x budget x update,Difference between the random and UD budget-by-update interactions,10,0.0012822351130174436,0.0016085368073648274,0.7971437813213954,0.0015300177983344487,-0.001501597766135121,0.003508972046207315,8,2,0,0.0003194111062885937,0.0021992452179556074,0.03515625,0.037109375,0.10546875,0.140625,0.73828125
Global acquisition macro-F1,True,factorial_effects,Selection x update,Anchoring effect under random − anchoring effect under UD,10,0.00019441236951342754,0.0008337455493851028,0.2331794990171869,0.00020035745780222491,-0.0008959991212250107,0.0016852714097499721,6,4,0,-0.0002758393950539219,0.0007000373996217974,0.484375,0.6953125,0.484375,0.484375,1.0
Global acquisition macro-F1,True,factorial_effects,Update main: anchored minus naive,Mean(source-anchored) minus mean(naive replay),10,-0.0003987114728146501,0.00041194530113341176,-0.9678747923999848,-0.0002952309371514472,-0.0011543583710327265,0.00013350416196522552,1,9,0,-0.0006531625915095279,-0.00017307278713035723,0.005859375,0.005859375,0.0234375,0.029296875,0.146484375
Global acquisition macro-F1,True,simple_effects,At B200: random minus UD,"Random minus UD at budget 200, averaged across update rules",10,0.0016961295488061245,0.002608648859894194,0.6501946562769353,0.0014959000340154516,-0.002109685423693497,0.006253205762734693,8,2,0,0.00018505482199379086,0.003249554881794248,0.072265625,0.083984375,0.072265625,0.14453125,1.0
Global acquisition macro-F1,True,simple_effects,At B50: random minus UD,"Random minus UD at budget 50, averaged across update rules",10,0.4054424609114228,0.016500920025761343,24.570900306070413,0.3993313285036969,0.3894790508926091,0.4367193756495883,10,0,0,0.39641099837065286,0.4156377203692575,0.001953125,0.001953125,0.0078125,0.029296875,0.1171875
Global acquisition macro-F1,True,simple_effects,Within UD: B200 minus B50,Budget 200 minus budget 50 under uncertainty-diversity querying,10,0.39924992879590254,0.012222297430246016,32.665702260517335,0.39564309231532324,0.3878590683708399,0.425210323955604,10,0,0,0.3926549328697219,0.406909244686657,0.001953125,0.001953125,0.0078125,0.029296875,0.1171875
Global acquisition macro-F1,True,simple_effects,Within random: B200 minus B50,Budget 200 minus budget 50 under random nested querying,10,-0.004496402566714042,0.004832986668276301,-0.930356914954557,-0.002846835125527969,-0.014756687730013596,0.000563095664935287,1,9,0,-0.007579534571493217,-0.00196122402340565,0.00390625,0.00390625,0.0078125,0.029296875,0.1171875
Global acquisition macro-F1,True,static_comparisons,Random B200 minus static,Random B200 marginal mean minus matched static baseline,10,0.39581907477580536,0.013872174594384905,28.53331120385571,0.39343010991135546,0.3811178541812855,0.42585498457683374,10,0,0,0.3883301330814052,0.4045320129189906,0.001953125,0.001953125,0.0078125,0.029296875,0.1171875
Global acquisition macro-F1,True,static_comparisons,Random B50 minus static,Random B50 marginal mean minus matched static baseline,10,0.40031547734251943,0.01732506978101021,23.10613939236771,0.39627694503688343,0.38055475851635023,0.43111083050808335,10,0,0,0.390682178035142,0.4109144082349299,0.001953125,0.001953125,0.0078125,0.029296875,0.1171875
Global acquisition macro-F1,True,static_comparisons,UD B200 minus static,UD B200 marginal mean minus matched static baseline,10,0.3941229452269993,0.013067374694569502,30.160836008688698,0.39302941064649555,0.37893477599458103,0.41960177881409905,10,0,0,0.38685980667417275,0.4021230267285499,0.001953125,0.001953125,0.0078125,0.029296875,0.1171875
Global acquisition macro-F1,True,static_comparisons,UD B50 minus static,UD B50 marginal mean minus matched static baseline,10,-0.0051269835689032985,0.0028292018205117804,-1.812166078691363,-0.00540220928511248,-0.009382472583424839,-0.001810966494900923,0,10,0,-0.006803655060258391,-0.0034919580137373505,0.001953125,0.001953125,0.0078125,0.029296875,0.1171875
Novel exact recall,True,factorial_effects,Budget main: B200 minus B50,Mean(B200 across selection/update) minus mean(B50 across selection/update),10,0.4091910649271845,0.0031351699768219716,130.51638920769753,0.4079755764563108,0.4053966929611651,0.41597770024271846,10,0,0,0.40751289441747574,0.4111707846632282,0.001953125,0.001953125,0.013671875,0.029296875,0.1171875
Novel exact recall,True,factorial_effects,Budget x update,Anchoring effect at B200 − anchoring effect at B50,10,-0.00010239684466019274,0.00013384568095233055,-0.7650365998486094,-3.792475728154991e-05,-0.00030339805825245134,0.0,0,5,5,-0.00018583131067960793,-3.033980582523993e-05,0.0625,0.0625,0.25,0.3125,1.0
Novel exact recall,True,factorial_effects,Selection main: random minus UD,Mean(random across budget/update) minus mean(UD across budget/update),10,0.4166887894417476,0.004904049388088348,84.96831015891898,0.41776016383495146,0.4089236953883496,0.42231113470873777,10,0,0,0.41371359223300974,0.41942885315533973,0.001953125,0.001953125,0.013671875,0.029296875,0.1171875
Novel exact recall,True,factorial_effects,Selection x budget,(random B200 − random B50) − (UD B200 − UD B50),10,-0.8181090716019419,0.006060805231782761,-134.9835608166043,-0.8154960558252429,-0.8318037014563108,-0.8115518810679611,0,10,0,-0.8219925667475728,-0.8149423543689321,0.001953125,0.001953125,0.013671875,0.029296875,0.1171875
Novel exact recall,True,factorial_effects,Selection x budget x update,Difference between the random and UD budget-by-update interactions,10,0.00020479368932038548,0.0002676913619046611,0.7650365998486094,7.584951456309982e-05,0.0,0.0006067961165049027,5,0,5,6.067961165047986e-05,0.0003716626213592162,0.0625,0.0625,0.25,0.3125,1.0
