seed,selection_strategy,budget,runner_query_hash,ordered_vector_hash,unordered_set_hash,minimum_row,maximum_row,unique_rows,Benign_queried,DoS_queried,DoS_queried_percent
11,random_nested,50,fe930d3703039853db50269fbcef425d4131520eec7ebf6365294cbed00f034f,4331320e7365e93dc1c680f1d57bc2cb135ba504b7b620a2220469daad29b6b1,4331320e7365e93dc1c680f1d57bc2cb135ba504b7b620a2220469daad29b6b1,20501,20989,50,1,49,98.0
11,uncertainty_diversity,50,5bd93e609e9dc1dd4cd0eedbae32739177221a235d407cf6a1f14ac537bfbe9e,aada185375a0e1309f55922f9280233f212256e50e6138cbc49e91d458b6081f,aada185375a0e1309f55922f9280233f212256e50e6138cbc49e91d458b6081f,20543,20994,50,27,23,46.0
11,random_nested,200,0085c5acf825a08bf3f952713087b9de27db7afa2c727b3a9ce395077178ae24,4a20c9f8362978853cf7ec1f88d0d0d7ce9e50d7021a0e74f88697ebe5d74449,4a20c9f8362978853cf7ec1f88d0d0d7ce9e50d7021a0e74f88697ebe5d74449,20500,20998,200,12,188,94.0
11,uncertainty_diversity,200,2838c4be24665a0b38ec8050315db20dd7fff4546fc3a838ff1f16d03c619813,cec2dddefad06656f0223c031f1f432b516973c13a481f6a21ebb02f8bb96814,cec2dddefad06656f0223c031f1f432b516973c13a481f6a21ebb02f8bb96814,20500,20997,200,28,172,86.0
23,random_nested,50,fe930d3703039853db50269fbcef425d4131520eec7ebf6365294cbed00f034f,4331320e7365e93dc1c680f1d57bc2cb135ba504b7b620a2220469daad29b6b1,4331320e7365e93dc1c680f1d57bc2cb135ba504b7b620a2220469daad29b6b1,20501,20989,50,1,49,98.0
23,uncertainty_diversity,50,31f920b8988f9e46f0156624511843cb0e186a78f3a8608d6d6c871a37d350a8,8b255e4d6cd05642115517268cf85e422ebae3fee43657ec9135ff51ba8f23bd,8b255e4d6cd05642115517268cf85e422ebae3fee43657ec9135ff51ba8f23bd,20543,20994,50,27,23,46.0
23,random_nested,200,0085c5acf825a08bf3f952713087b9de27db7afa2c727b3a9ce395077178ae24,4a20c9f8362978853cf7ec1f88d0d0d7ce9e50d7021a0e74f88697ebe5d74449,4a20c9f8362978853cf7ec1f88d0d0d7ce9e50d7021a0e74f88697ebe5d74449,20500,20998,200,12,188,94.0
23,uncertainty_diversity,200,b56cb50323b63c0e56e29633ee251d972f5f6b6b51398841150190f165c0c730,2f0987896a0b1e4005bb8a3afaede10866285578a34c92a49a46762bdbc31316,2f0987896a0b1e4005bb8a3afaede10866285578a34c92a49a46762bdbc31316,20500,20997,200,28,172,86.0
37,random_nested,50,fe930d3703039853db50269fbcef425d4131520eec7ebf6365294cbed00f034f,4331320e7365e93dc1c680f1d57bc2cb135ba504b7b620a2220469daad29b6b1,4331320e7365e93dc1c680f1d57bc2cb135ba504b7b620a2220469daad29b6b1,20501,20989,50,1,49,98.0
37,uncertainty_diversity,50,144a3aa0a56d18b870fa1a2bd17fe6c5459f359f76f9db2562365f36576961f7,658f2b206c7669f1fed8b8c8e8c71033261e1dcb3dba5355d49865e1779612e0,658f2b206c7669f1fed8b8c8e8c71033261e1dcb3dba5355d49865e1779612e0,20543,20994,50,27,23,46.0
37,random_nested,200,0085c5acf825a08bf3f952713087b9de27db7afa2c727b3a9ce395077178ae24,4a20c9f8362978853cf7ec1f88d0d0d7ce9e50d7021a0e74f88697ebe5d74449,4a20c9f8362978853cf7ec1f88d0d0d7ce9e50d7021a0e74f88697ebe5d74449,20500,20998,200,12,188,94.0
37,uncertainty_diversity,200,c6f28dded8c20f260d265fef8fd0b64f39bf5e42412bcb7bfc053e73b8ce32c2,6f1b50df7db4b77a940de85c42206b0716facea0584ae317f66606d79a8afe46,6f1b50df7db4b77a940de85c42206b0716facea0584ae317f66606d79a8afe46,20500,20997,200,28,172,86.0
53,random_nested,50,fe930d3703039853db50269fbcef425d4131520eec7ebf6365294cbed00f034f,4331320e7365e93dc1c680f1d57bc2cb135ba504b7b620a2220469daad29b6b1,4331320e7365e93dc1c680f1d57bc2cb135ba504b7b620a2220469daad29b6b1,20501,20989,50,1,49,98.0
