query_seed,model_seed,budget,selection_strategy,update_rule,run_name,config_path,config_sha256,changed_paths
23,11,50,random_nested,naive_replay,R20_DoS_random_query_seed_q023_B050,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_random_query_seed_sensitivity_v018\cse_dos_random_query_seed_q023_B050_v018.yaml,026c78ed171bd70af6617863bee29a71f25d7e14c141f68c4c9533482ac914e6,"['adaptation.query_seed', 'name']"
23,11,200,random_nested,naive_replay,R20_DoS_random_query_seed_q023_B200,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_random_query_seed_sensitivity_v018\cse_dos_random_query_seed_q023_B200_v018.yaml,510b0b17a9ad39fa4208db557d7b24f5839a66f95ef8c2d4bb7c41615aa4c3f9,"['adaptation.query_seed', 'name']"
37,11,50,random_nested,naive_replay,R20_DoS_random_query_seed_q037_B050,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_random_query_seed_sensitivity_v018\cse_dos_random_query_seed_q037_B050_v018.yaml,c43a62dca2de952f12d9b2d12671f4e841b1058850fa1ebe6df2103913e8f113,"['adaptation.query_seed', 'name']"
37,11,200,random_nested,naive_replay,R20_DoS_random_query_seed_q037_B200,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_random_query_seed_sensitivity_v018\cse_dos_random_query_seed_q037_B200_v018.yaml,ef0ed5e4c3fa00c1f038c7935abb937e8ef28db2225bec123aa90f3f8c04a430,"['adaptation.query_seed', 'name']"
53,11,50,random_nested,naive_replay,R20_DoS_random_query_seed_q053_B050,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_random_query_seed_sensitivity_v018\cse_dos_random_query_seed_q053_B050_v018.yaml,0f1de14cbc1b076fa077ba1c83879b2405701353368460f6bc96fd101a38e9b0,"['adaptation.query_seed', 'name']"
53,11,200,random_nested,naive_replay,R20_DoS_random_query_seed_q053_B200,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_random_query_seed_sensitivity_v018\cse_dos_random_query_seed_q053_B200_v018.yaml,8dae43b0d9f720107604a3c1ac204d71ddcee0a3da8b06fc01df0bbc6b69f76b,"['adaptation.query_seed', 'name']"
71,11,50,random_nested,naive_replay,R20_DoS_random_query_seed_q071_B050,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_random_query_seed_sensitivity_v018\cse_dos_random_query_seed_q071_B050_v018.yaml,9c445093f8fcbbfd0083693b25fdc91a9fdffffdfe32f84e2404bb9f25f647cd,"['adaptation.query_seed', 'name']"
71,11,200,random_nested,naive_replay,R20_DoS_random_query_seed_q071_B200,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_random_query_seed_sensitivity_v018\cse_dos_random_query_seed_q071_B200_v018.yaml,cb6f88b543215ddedd4054d2b74bf69471d47f7e1dbcc2b7c601380c85a89938,"['adaptation.query_seed', 'name']"
83,11,50,random_nested,naive_replay,R20_DoS_random_query_seed_q083_B050,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_random_query_seed_sensitivity_v018\cse_dos_random_query_seed_q083_B050_v018.yaml,7f83ef9c26e6d5f132261e9625d97a8cb915a104d6fdfdb45d59edb431f81709,"['adaptation.query_seed', 'name']"
83,11,200,random_nested,naive_replay,R20_DoS_random_query_seed_q083_B200,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_random_query_seed_sensitivity_v018\cse_dos_random_query_seed_q083_B200_v018.yaml,104919e8d58d7755d70345b71f7860e8e1876b2bb201b03980d469d126f08744,"['adaptation.query_seed', 'name']"
97,11,50,random_nested,naive_replay,R20_DoS_random_query_seed_q097_B050,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_random_query_seed_sensitivity_v018\cse_dos_random_query_seed_q097_B050_v018.yaml,6a8bd404ab7e71e56d412afcd62f2bf3129044270dce1f15f02aa8545ae80a1a,"['adaptation.query_seed', 'name']"
97,11,200,random_nested,naive_replay,R20_DoS_random_query_seed_q097_B200,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_random_query_seed_sensitivity_v018\cse_dos_random_query_seed_q097_B200_v018.yaml,854a41a000aec5ffcb30e23db9e72633bc289dc2217f5dc5e866794dcb97189e,"['adaptation.query_seed', 'name']"
109,11,50,random_nested,naive_replay,R20_DoS_random_query_seed_q109_B050,C:\Users\ASUS\raids-nids\configs\experiments\cse_dos_random_query_seed_sensitivity_v018\cse_dos_random_query_seed_q109_B050_v018.yaml,a00277f0c3570d4cea4f7f4542c355d7b5a24cbfc9ac4782428222c3a779abc3,"['adaptation.query_seed', 'name']"
