metric,analysis_family,contrast,seed,difference
Recovery area,factorial_effects,Selection main: random minus UD,11,0.2593751935232701
Recovery area,factorial_effects,Selection main: random minus UD,23,0.2444620700365029
Recovery area,factorial_effects,Selection main: random minus UD,37,0.24351291571391354
Recovery area,factorial_effects,Selection main: random minus UD,53,0.2608261944405169
Recovery area,factorial_effects,Selection main: random minus UD,71,0.2519681202306323
Recovery area,factorial_effects,Selection main: random minus UD,83,0.24820877431268673
Recovery area,factorial_effects,Selection main: random minus UD,97,0.25344302051360845
Recovery area,factorial_effects,Selection main: random minus UD,109,0.24510739993682273
Recovery area,factorial_effects,Selection main: random minus UD,127,0.24985314552577076
Recovery area,factorial_effects,Selection main: random minus UD,149,0.2582803816364694
Recovery area,factorial_effects,Budget main: B200 minus B50,11,0.2541443308741257
Recovery area,factorial_effects,Budget main: B200 minus B50,23,0.24392806614656826
Recovery area,factorial_effects,Budget main: B200 minus B50,37,0.2426371610518092
Recovery area,factorial_effects,Budget main: B200 minus B50,53,0.25568883098377626
Recovery area,factorial_effects,Budget main: B200 minus B50,71,0.2505281496680033
Recovery area,factorial_effects,Budget main: B200 minus B50,83,0.24598680065303047
Recovery area,factorial_effects,Budget main: B200 minus B50,97,0.25012440240538236
Recovery area,factorial_effects,Budget main: B200 minus B50,109,0.24463166476064568
Recovery area,factorial_effects,Budget main: B200 minus B50,127,0.2495244265627895
Recovery area,factorial_effects,Budget main: B200 minus B50,149,0.2505404643781628
Recovery area,factorial_effects,Update main: anchored minus naive,11,-0.0005353960041271089
Recovery area,factorial_effects,Update main: anchored minus naive,23,0.00046258988595437867
Recovery area,factorial_effects,Update main: anchored minus naive,37,-0.0003296379253774351
Recovery area,factorial_effects,Update main: anchored minus naive,53,-0.0005996683208123743
Recovery area,factorial_effects,Update main: anchored minus naive,71,-0.0001165837127654612
Recovery area,factorial_effects,Update main: anchored minus naive,83,-0.00019986588127141047
Recovery area,factorial_effects,Update main: anchored minus naive,97,0.00025824236242000254
Recovery area,factorial_effects,Update main: anchored minus naive,109,-5.068298858601494e-05
Recovery area,factorial_effects,Update main: anchored minus naive,127,-4.4233161888063144e-05
Recovery area,factorial_effects,Update main: anchored minus naive,149,-0.00013506110999728094
Recovery area,factorial_effects,Selection x budget,11,-0.5187349338515217
Recovery area,factorial_effects,Selection x budget,23,-0.4882972934750729
Recovery area,factorial_effects,Selection x budget,37,-0.4877582483244182
Recovery area,factorial_effects,Selection x budget,53,-0.5188146174025362
Recovery area,factorial_effects,Selection x budget,71,-0.5048584658569205
Recovery area,factorial_effects,Selection x budget,83,-0.49390071417263987
Recovery area,factorial_effects,Selection x budget,97,-0.5044807310346028
Recovery area,factorial_effects,Selection x budget,109,-0.4912774650603293
Recovery area,factorial_effects,Selection x budget,127,-0.50150127203467
Recovery area,factorial_effects,Selection x budget,149,-0.515811368614891
Recovery area,factorial_effects,Selection x update,11,0.0006434304833260185
Recovery area,factorial_effects,Selection x update,23,-0.00157204359595714
Recovery area,factorial_effects,Selection x update,37,0.00032723947199553294
Recovery area,factorial_effects,Selection x update,53,0.0009236496626937596
Recovery area,factorial_effects,Selection x update,71,4.362484387965271e-05
Recovery area,factorial_effects,Selection x update,83,-0.0002563534601552342
Recovery area,factorial_effects,Selection x update,97,-0.00016376600274886632
Recovery area,factorial_effects,Selection x update,109,-0.00023334601363619867
Recovery area,factorial_effects,Selection x update,127,-9.985524667591172e-05
Recovery area,factorial_effects,Selection x update,149,-0.0004376900769169634
Recovery area,factorial_effects,Budget x update,11,-0.0007685771911881967
Recovery area,factorial_effects,Budget x update,23,-0.002213376701652725
Recovery area,factorial_effects,Budget x update,37,-0.0009658940908470193
Recovery area,factorial_effects,Budget x update,53,-0.001217207798792752
Recovery area,factorial_effects,Budget x update,71,-0.00031600180550361845
Recovery area,factorial_effects,Budget x update,83,0.00011233527863269144
Recovery area,factorial_effects,Budget x update,97,0.0002985106327699216
Recovery area,factorial_effects,Budget x update,109,-8.195667735053092e-05
Recovery area,factorial_effects,Budget x update,127,-0.0006836796029550396
Recovery area,factorial_effects,Budget x update,149,-0.00011798567889931277
