rank,previous_sorted_position,current_sorted_position,previous_time,current_time,gap_hours,family_before,family_after
1,14104079,14104080,2018-02-23 22:54:09.878,2018-02-27 12:24:01.964,85.49780166666666,Benign,Benign
2,14106144,14106145,2018-02-28 10:39:47.680,2018-02-28 12:20:50.535,1.6841263888888889,Benign,Benign
3,14104671,14104672,2018-02-27 21:09:25.370,2018-02-27 22:33:04.927,1.3943213888888888,Benign,Benign
4,14104131,14104132,2018-02-27 13:59:22.580,2018-02-27 15:18:28.953,1.3184369444444444,Benign,Benign
5,14104418,14104419,2018-02-27 18:37:25.380,2018-02-27 19:36:49.218,0.989955,Benign,Benign
6,14105962,14105963,2018-02-28 08:01:59.708,2018-02-28 08:54:43.909,0.8789447222222222,Benign,Benign
7,14105384,14105385,2018-02-28 04:46:43.347,2018-02-28 05:37:47.341,0.8511094444444445,Benign,Benign
8,14104657,14104658,2018-02-27 20:19:21.581,2018-02-27 21:09:25.047,0.8342961111111111,Benign,Benign
9,14104103,14104104,2018-02-27 12:34:12.760,2018-02-27 13:20:02.667,0.7638630555555556,Benign,Benign
10,14105426,14105427,2018-02-28 05:41:43.353,2018-02-28 06:25:52.465,0.7358644444444444,Benign,Benign
