fingerprint,L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_TYPE,DNS_TTL_ANSWER,SRC_TO_DST_IAT_MIN,SRC_TO_DST_IAT_MAX,SRC_TO_DST_IAT_AVG,SRC_TO_DST_IAT_STDDEV,DST_TO_SRC_IAT_MIN,DST_TO_SRC_IAT_MAX,DST_TO_SRC_IAT_AVG,DST_TO_SRC_IAT_STDDEV
b86c61c236726894,0,0,1,81,68,1,0,0,0,0,0,1,0,0,0,0,68,68,0,68,0,0,0,0,0,0,544000,0,1,0,0,0,0,0,0,778,3,0,0,0,0,0,0,0,0,0,0
348e74cfbfc767d6,65534,8545,6,0,40,1,40,1,22,2,20,1,0,0,0,0,40,40,40,40,0,0,0,0,0,0,320000,320000,2,0,0,0,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0
aea58aee390ed67e,68,67,17,18,328,1,357,1,0,0,0,1,0,0,0,0,357,328,328,357,3,3,0,0,0,0,2624000,2856000,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c2c8f104b016e2d3,1024,500,17,79,3168,6,0,0,0,0,0,89479,89479,0,62,62,528,528,0,528,0,0,0,0,0,0,283,0,0,0,0,6,0,0,0,0,0,0,0,4000,41990,17895,13725,0,0,0,0
10feb4104ba04a1d,1028,500,17,79,3168,6,0,0,0,0,0,89479,89479,0,62,62,528,528,0,528,0,0,0,0,0,0,283,0,0,0,0,6,0,0,0,0,0,0,0,4000,41990,17895,13725,0,0,0,0
6abe3d73bb82a6dc,1027,500,17,79,3168,6,0,0,0,0,0,89479,89479,0,62,62,528,528,0,528,0,0,0,0,0,0,283,0,0,0,0,6,0,0,0,0,0,0,0,4000,41990,17895,13725,0,0,0,0
b24211532158dea9,1024,500,17,79,3168,6,0,0,0,0,0,89478,89478,0,62,62,528,528,0,528,0,0,0,0,0,0,283,0,0,0,0,6,0,0,0,0,0,0,0,4000,41990,17895,13725,0,0,0,0
b685fbd660f15a74,1024,500,17,79,528,1,0,0,0,0,0,1,0,0,0,0,528,528,0,528,0,5,0,0,0,0,4224000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d7b43cd9f023d6fd,28282,8080,6,131,48,1,40,1,22,2,20,1,0,0,0,0,48,40,40,48,0,0,0,0,0,0,384000,320000,2,0,0,0,0,8192,0,0,0,0,0,0,0,0,0,0,0,0,0
65eff1d7c07584ec,1027,500,17,79,3168,6,0,0,0,0,0,89480,89480,0,62,62,528,528,0,528,0,0,0,0,0,0,283,0,0,0,0,6,0,0,0,0,0,0,0,4000,41990,17895,13725,0,0,0,0
