window,start_row,stop_row,phase,mean_shift_score,predicted_unknown_rate,first_time,last_time,above_MAD_3,above_MAD_4,above_MAD_5,above_MAD_6
0,0,500,reference,0.2145962708255526,0.072,2018-02-21 22:13:26.408000,2018-02-21 22:57:32.984000,True,False,False,False
1,500,1000,reference,0.2508158364631308,0.112,2018-02-21 22:57:33.022000,2018-02-22 00:01:24.202000,True,True,True,False
2,1000,1500,reference,0.203857826824333,0.086,2018-02-22 00:01:44.886000,2018-02-22 12:22:22.954000,True,False,False,False
3,1500,2000,reference,0.10323888563820338,0.054,2018-02-22 12:22:22.955000,2018-02-22 12:22:25.797000,False,False,False,False
4,2000,2500,reference,0.09743413391574465,0.086,2018-02-22 12:22:25.799000,2018-02-22 12:22:28.316000,False,False,False,False
5,2500,3000,reference,0.09682052717624423,0.076,2018-02-22 12:22:28.325000,2018-02-22 12:22:31.735000,False,False,False,False
6,3000,3500,reference,0.09932805131706018,0.052,2018-02-22 12:22:31.736000,2018-02-22 12:22:33.597000,False,False,False,False
7,3500,4000,reference,0.08706108169272705,0.052,2018-02-22 12:22:33.605000,2018-02-22 12:22:35.362000,False,False,False,False
8,4000,4500,reference,0.11994175069649435,0.054,2018-02-22 12:22:35.362000,2018-02-22 12:22:36.541000,False,False,False,False
9,4500,5000,reference,0.11340676140301766,0.07,2018-02-22 12:22:36.542000,2018-02-22 12:22:37.606000,False,False,False,False
10,5000,5500,calibration,0.12317770062381946,0.108,2018-02-22 12:22:37.611000,2018-02-22 12:22:39.555000,False,False,False,False
11,5500,6000,calibration,0.09996005093738283,0.09,2018-02-22 12:22:39.556000,2018-02-22 12:22:41.211000,False,False,False,False
12,6000,6500,calibration,0.1385052761153596,0.084,2018-02-22 12:22:41.213000,2018-02-22 12:22:43.867000,False,False,False,False
13,6500,7000,calibration,0.14872706978625114,0.074,2018-02-22 12:22:43.874000,2018-02-22 12:22:46.124000,False,False,False,False
14,7000,7500,calibration,0.15384983692651164,0.052,2018-02-22 12:22:46.124000,2018-02-22 12:22:48.331000,False,False,False,False
15,7500,8000,calibration,0.08177451615461424,0.056,2018-02-22 12:22:48.352000,2018-02-22 12:22:51.276000,False,False,False,False
16,8000,8500,calibration,0.10089764238609815,0.036,2018-02-22 12:22:51.277000,2018-02-22 12:22:52.795000,False,False,False,False
17,8500,9000,calibration,0.11353125406296376,0.074,2018-02-22 12:22:52.799000,2018-02-22 12:22:54.804000,False,False,False,False
18,9000,9500,calibration,0.12921055789980426,0.08,2018-02-22 12:22:54.806000,2018-02-22 12:22:56.845000,False,False,False,False
19,9500,10000,calibration,0.09185788055433351,0.06,2018-02-22 12:22:56.846000,2018-02-22 12:22:59.342000,False,False,False,False
20,10000,10500,calibration,0.10633679996725025,0.07,2018-02-22 12:22:59.344000,2018-02-22 12:23:01.665000,False,False,False,False
21,10500,11000,calibration,0.1287244407411405,0.092,2018-02-22 12:23:01.674000,2018-02-22 12:23:04.611000,False,False,False,False
22,11000,11500,calibration,0.10455688152651339,0.056,2018-02-22 12:23:04.620000,2018-02-22 12:23:07.050000,False,False,False,False
23,11500,12000,calibration,0.08473148898691996,0.054,2018-02-22 12:23:07.051000,2018-02-22 12:23:11.178000,False,False,False,False
24,12000,12500,calibration,0.08143829652099999,0.03,2018-02-22 12:23:11.203000,2018-02-22 12:23:14.040000,False,False,False,False
25,12500,13000,calibration,0.15571771403194795,0.052,2018-02-22 12:23:14.041000,2018-02-22 12:23:17.187000,False,False,False,False
26,13000,13500,calibration,0.2815620765414396,0.082,2018-02-22 12:23:17.194000,2018-02-22 12:23:20.867000,True,True,True,True
27,13500,14000,calibration,0.1561765712992062,0.054,2018-02-22 12:23:20.867000,2018-02-22 12:23:23.233000,False,False,False,False
28,14000,14500,calibration,0.10008675045591935,0.048,2018-02-22 12:23:23.233000,2018-02-22 12:23:25.660000,False,False,False,False
29,14500,15000,calibration,0.1105056436506562,0.034,2018-02-22 12:23:25.660000,2018-02-22 12:23:27.732000,False,False,False,False
30,15000,15500,guard,0.10667453302652075,0.054,2018-02-22 12:23:27.746000,2018-02-22 12:23:30.941000,False,False,False,False
31,15500,16000,guard,0.158332521757571,0.048,2018-02-22 12:23:30.941000,2018-02-22 12:23:33.299000,False,False,False,False
32,16000,16500,guard,0.15647858796909228,0.056,2018-02-22 12:23:33.299000,2018-02-22 12:23:40.072000,False,False,False,False
33,16500,17000,guard,0.2523348709098004,0.04,2018-02-22 12:23:40.073000,2018-02-22 12:23:51.964000,True,True,True,False
34,17000,17500,guard,0.2886230658444577,0.036,2018-02-22 12:23:51.983000,2018-02-22 12:24:03.444000,True,True,True,True
35,17500,18000,guard,0.29144187157555074,0.03,2018-02-22 12:24:03.444000,2018-02-22 12:24:14.198000,True,True,True,True
36,18000,18500,guard,0.29724294550007563,0.028,2018-02-22 12:24:14.224000,2018-02-22 12:24:25.975000,True,True,True,True
37,18500,19000,guard,0.2828030661622374,0.066,2018-02-22 12:24:25.987000,2018-02-22 12:24:37.145000,True,True,True,True
38,19000,19500,guard,0.3788898883687011,0.066,2018-02-22 12:24:37.195000,2018-02-22 12:24:51.318000,True,True,True,True
39,19500,20000,guard,0.215268423935888,0.072,2018-02-22 12:24:51.365000,2018-02-22 12:24:59.675000,True,False,False,False
