source_row_index,fingerprint,FLOW_START_MILLISECONDS,Attack,Attack_Family
30978,b86c61c236726894,1518620730097,Benign,Benign
41958,348e74cfbfc767d6,1518622582306,Benign,Benign
59215,b86c61c236726894,1518627394064,Benign,Benign
79797,b86c61c236726894,1518634106236,Benign,Benign
91927,aea58aee390ed67e,1518637128921,Benign,Benign
101905,aea58aee390ed67e,1518641507177,Benign,Benign
104917,aea58aee390ed67e,1518643051561,Benign,Benign
127727,aea58aee390ed67e,1518703787889,Benign,Benign
127728,aea58aee390ed67e,1518703787889,Benign,Benign
269798,348e74cfbfc767d6,1518813053733,Benign,Benign
276116,aea58aee390ed67e,1518816255256,Benign,Benign
279308,348e74cfbfc767d6,1519130704578,Benign,Benign
283374,b86c61c236726894,1519132652862,Benign,Benign
284385,b86c61c236726894,1519133116784,Benign,Benign
284466,b86c61c236726894,1519133165253,Benign,Benign
289632,b86c61c236726894,1519135137778,Benign,Benign
290795,b86c61c236726894,1519135605543,Benign,Benign
294263,b86c61c236726894,1519136433441,Benign,Benign
299160,b86c61c236726894,1519137197920,Benign,Benign
315017,b86c61c236726894,1519139844673,Benign,Benign
315440,b86c61c236726894,1519140014582,Benign,Benign
316079,b86c61c236726894,1519140300147,Benign,Benign
316406,b86c61c236726894,1519140439248,Benign,Benign
322838,b86c61c236726894,1519142951329,Benign,Benign
324084,aea58aee390ed67e,1519143589260,Benign,Benign
331176,b86c61c236726894,1519147045901,Benign,Benign
333443,b86c61c236726894,1519147977062,Benign,Benign
333943,b86c61c236726894,1519148198594,Benign,Benign
337635,b86c61c236726894,1519149710196,Benign,Benign
338857,b86c61c236726894,1519150287926,Benign,Benign
341074,b86c61c236726894,1519151294323,Benign,Benign
343971,aea58aee390ed67e,1519152586114,Benign,Benign
346416,b86c61c236726894,1519153637344,Benign,Benign
349908,b86c61c236726894,1519154921549,Benign,Benign
350606,b86c61c236726894,1519155153073,Benign,Benign
364957,aea58aee390ed67e,1519161434502,Benign,Benign
367762,c2c8f104b016e2d3,1519216388060,Benign,Benign
368393,c2c8f104b016e2d3,1519216553123,Benign,Benign
369745,10feb4104ba04a1d,1519216999666,Benign,Benign
370134,b86c61c236726894,1519217150632,Benign,Benign
370685,c2c8f104b016e2d3,1519217378435,Benign,Benign
371686,6abe3d73bb82a6dc,1519217787346,Benign,Benign
372810,c2c8f104b016e2d3,1519218203748,Benign,Benign
373309,b24211532158dea9,1519218368811,Benign,Benign
373551,6abe3d73bb82a6dc,1519218447598,Benign,Benign
374356,6abe3d73bb82a6dc,1519218777723,Benign,Benign
378502,c2c8f104b016e2d3,1519220349564,Benign,Benign
379335,c2c8f104b016e2d3,1519220679690,Benign,Benign
380990,b86c61c236726894,1519221230773,Benign,Benign
381350,b86c61c236726894,1519221324925,Benign,Benign
382642,c2c8f104b016e2d3,1519221670068,Benign,Benign
386251,b685fbd660f15a74,1519223159635,Benign,Benign
387176,b86c61c236726894,1519223468011,Benign,Benign
392126,b86c61c236726894,1519225362815,Benign,Benign
398266,b86c61c236726894,1519227680946,Benign,Benign
405168,b86c61c236726894,1519230745467,Benign,Benign
407737,d7b43cd9f023d6fd,1519232410456,Benign,Benign
411161,b86c61c236726894,1519233898338,Benign,Benign
414129,d7b43cd9f023d6fd,1519235138323,Benign,Benign
416921,b86c61c236726894,1519236128023,Benign,Benign
420171,b86c61c236726894,1519236764643,Benign,Benign
424848,10feb4104ba04a1d,1519236972263,Benign,Benign
430979,6abe3d73bb82a6dc,1519237264795,Benign,Benign
431281,10feb4104ba04a1d,1519237302389,Benign,Benign
454280,6abe3d73bb82a6dc,1519238420235,Benign,Benign
457250,65eff1d7c07584ec,1519238585298,Benign,Benign
472381,aea58aee390ed67e,1519239555496,Benign,Benign
473873,c2c8f104b016e2d3,1519239661894,Benign,Benign
481185,6abe3d73bb82a6dc,1519241226308,Benign,Benign
487471,6abe3d73bb82a6dc,1519243867319,Benign,Benign
487651,c2c8f104b016e2d3,1519243953525,Benign,Benign
487856,6abe3d73bb82a6dc,1519244032382,Benign,Benign
489126,b86c61c236726894,1519244463104,Benign,Benign
490139,aea58aee390ed67e,1519244793874,Benign,Benign
490312,65eff1d7c07584ec,1519244857699,Benign,Benign
490336,b86c61c236726894,1519244868910,Benign,Benign
491579,aea58aee390ed67e,1519245321826,Benign,Benign
491703,6abe3d73bb82a6dc,1519245352885,Benign,Benign
491811,10feb4104ba04a1d,1519245390463,Benign,Benign
498791,6abe3d73bb82a6dc,1519248158952,Benign,Benign
498973,c2c8f104b016e2d3,1519248245150,Benign,Benign
