metric,analysis_family,contrast,n_seeds,mean_difference,std_difference,positive_seed_count,negative_seed_count,bootstrap_95_low,bootstrap_95_high,exact_sign_flip_p_raw,holm_p_within_metric_family,holm_p_within_metric_all,holm_p_across_all_tests
Global acquisition macro-F1,factorial_effects,Selection x budget,10,-0.4037463313626165,0.0157143157838135,0,10,-0.4134125223206346,-0.3949921745556326,0.001953125,0.013671875,0.029296875,0.1171875
Global acquisition macro-F1,factorial_effects,Update main: anchored minus naive,10,-0.0003987114728146,0.0004119453011334,1,9,-0.0006531625915095,-0.0001730727871303,0.005859375,0.0234375,0.029296875,0.146484375
Global acquisition macro-F1,simple_effects,At B50: random minus UD,10,0.4054424609114228,0.0165009200257613,10,0,0.3964109983706528,0.4156377203692575,0.001953125,0.0078125,0.029296875,0.1171875
Global acquisition macro-F1,simple_effects,Within UD: B200 minus B50,10,0.3992499287959025,0.012222297430246,10,0,0.3926549328697219,0.406909244686657,0.001953125,0.0078125,0.029296875,0.1171875
Global acquisition macro-F1,simple_effects,Within random: B200 minus B50,10,-0.004496402566714,0.0048329866682763,1,9,-0.0075795345714932,-0.0019612240234056,0.00390625,0.0078125,0.029296875,0.1171875
Global acquisition macro-F1,static_comparisons,Random B200 minus static,10,0.3958190747758053,0.0138721745943849,10,0,0.3883301330814052,0.4045320129189906,0.001953125,0.0078125,0.029296875,0.1171875
Global acquisition macro-F1,static_comparisons,Random B50 minus static,10,0.4003154773425194,0.0173250697810102,10,0,0.390682178035142,0.4109144082349299,0.001953125,0.0078125,0.029296875,0.1171875
Global acquisition macro-F1,static_comparisons,UD B200 minus static,10,0.3941229452269993,0.0130673746945695,10,0,0.3868598066741727,0.4021230267285499,0.001953125,0.0078125,0.029296875,0.1171875
Global acquisition macro-F1,static_comparisons,UD B50 minus static,10,-0.0051269835689032,0.0028292018205117,0,10,-0.0068036550602583,-0.0034919580137373,0.001953125,0.0078125,0.029296875,0.1171875
Novel exact recall,factorial_effects,Selection x budget,10,-0.8181090716019419,0.0060608052317827,0,10,-0.8219925667475728,-0.8149423543689321,0.001953125,0.013671875,0.029296875,0.1171875
Novel exact recall,factorial_effects,Update main: anchored minus naive,10,2.4651092233018977e-05,8.195121869116606e-05,4,1,-2.2754854368933764e-05,7.205703883497172e-05,0.3125,0.625,0.76171875,1.0
Novel exact recall,simple_effects,At B50: random minus UD,10,0.8257433252427184,0.0049741001563708,10,0,0.822679004854369,0.8284966626213593,0.001953125,0.0078125,0.029296875,0.1171875
Novel exact recall,simple_effects,Within UD: B200 minus B50,10,0.8182456007281553,0.0061573542426353,10,0,0.8149878640776699,0.8221518507281556,0.001953125,0.0078125,0.029296875,0.1171875
Novel exact recall,simple_effects,Within random: B200 minus B50,10,0.0001365291262135,0.0003350377988162,8,2,-7.584951456309774e-05,0.0003109830097087,0.25390625,0.25390625,0.76171875,1.0
Novel exact recall,static_comparisons,Random B200 minus static,10,0.8431583737864077,0.0014493455406978,10,0,0.8422936893203884,0.8440078883495146,0.001953125,0.0078125,0.029296875,0.1171875
Novel exact recall,static_comparisons,Random B50 minus static,10,0.8430218446601941,0.0012794633820555,10,0,0.842263349514563,0.8437651699029127,0.001953125,0.0078125,0.029296875,0.1171875
Novel exact recall,static_comparisons,UD B200 minus static,10,0.835524120145631,0.0072574693162169,10,0,0.8313106796116505,0.8397982402912622,0.001953125,0.0078125,0.029296875,0.1171875
Novel exact recall,static_comparisons,UD B50 minus static,10,0.0172785194174756,0.006179116083101,10,0,0.013797026699029,0.0210254854368931,0.001953125,0.0078125,0.029296875,0.1171875
Recovery area,factorial_effects,Selection x budget,10,-0.5025435109827602,0.0121852627609868,0,10,-0.5097743788914191,-0.4954979076616794,0.001953125,0.013671875,0.029296875,0.1171875
Recovery area,factorial_effects,Update main: anchored minus naive,10,-0.000129029685645,0.0003241071555626,2,8,-0.0003142560794695,6.623171624214885e-05,0.240234375,0.48046875,0.720703125,1.0
Recovery area,simple_effects,At B50: random minus UD,10,0.5027754770783994,0.0124516157740485,10,0,0.4956346743649383,0.5101812535575843,0.001953125,0.0078125,0.029296875,0.1171875
Recovery area,simple_effects,Within UD: B200 minus B50,10,0.5000451852398095,0.010353299377837,10,0,0.4940075124210389,0.5061495513302497,0.001953125,0.0078125,0.029296875,0.1171875
Recovery area,simple_effects,Within random: B200 minus B50,10,-0.0024983257429507,0.0022624258837467,0,10,-0.0039485545405851,-0.0013037488623971,0.001953125,0.0078125,0.029296875,0.1171875
