seed,selection_strategy,budget,Benign_queried,DoS_queried,DoS_queried_percent,query_selection_sha256
11,random_nested,50,1,49,98.0,fe930d3703039853db50269fbcef425d4131520eec7ebf6365294cbed00f034f
127,random_nested,50,1,49,98.0,fe930d3703039853db50269fbcef425d4131520eec7ebf6365294cbed00f034f
53,random_nested,200,12,188,94.0,0085c5acf825a08bf3f952713087b9de27db7afa2c727b3a9ce395077178ae24
53,uncertainty_diversity,200,28,172,86.0,b6dfb8f489338a5b5e51a79acb0d459533909f259c140cb4a02a87973ddd4ac3
109,uncertainty_diversity,200,28,172,86.0,5707c7fea17e243012b1c641a07b24adefc66eac89419b02210bd9beef0e90a3
71,random_nested,50,1,49,98.0,fe930d3703039853db50269fbcef425d4131520eec7ebf6365294cbed00f034f
71,uncertainty_diversity,50,27,23,46.0,fefe1e5057344b4363f014341ee920674958b0d92300ed8198417c42eabaa7c2
109,random_nested,200,12,188,94.0,0085c5acf825a08bf3f952713087b9de27db7afa2c727b3a9ce395077178ae24
71,random_nested,200,12,188,94.0,0085c5acf825a08bf3f952713087b9de27db7afa2c727b3a9ce395077178ae24
71,uncertainty_diversity,200,28,172,86.0,f6295703a02a628bd6e9fa3fcf1762d67983ceffe80c656b0c655cb1bcc3deeb
149,uncertainty_diversity,200,28,172,86.0,ce67f256d43da994704021809bd2fcdc4ccaeb4a0879aba5fd448b6ae915c6e8
83,random_nested,50,1,49,98.0,fe930d3703039853db50269fbcef425d4131520eec7ebf6365294cbed00f034f
109,uncertainty_diversity,50,27,23,46.0,a2768f7d68c86343b8e9c73b6a21e6b421b13b42750438329f4784e7dacb0a16
83,uncertainty_diversity,50,27,23,46.0,76111baef56c3e371b7d6e609727de33c8c3d0f50bab78eaaab07c16301e6f16
83,random_nested,200,12,188,94.0,0085c5acf825a08bf3f952713087b9de27db7afa2c727b3a9ce395077178ae24
109,random_nested,50,1,49,98.0,fe930d3703039853db50269fbcef425d4131520eec7ebf6365294cbed00f034f
83,uncertainty_diversity,200,28,172,86.0,a6438e28178f37e4b2b7c38ec0052a03efd850ee03e616c6a8bd84daf4cd1160
97,random_nested,50,1,49,98.0,fe930d3703039853db50269fbcef425d4131520eec7ebf6365294cbed00f034f
97,uncertainty_diversity,200,28,172,86.0,9cf38e7dc3397a6ca20569d2676ebf4595647c669fbb20c51a1a1261c84e8a0c
97,uncertainty_diversity,50,27,23,46.0,438071817e15a9d6887bba0d97c40eb1d58dd0bdda7317791ca1dcf837849829
53,random_nested,50,1,49,98.0,fe930d3703039853db50269fbcef425d4131520eec7ebf6365294cbed00f034f
127,uncertainty_diversity,50,27,23,46.0,dbb035c56060cd55bb9f6dce086ee1c5f9c472190a5fe822a6211df1334e2d83
53,uncertainty_diversity,50,27,23,46.0,0a6058ad19c04fdb18a03537f8867cc5a41f85fafaafdeb54bf8a82b64181f4c
97,random_nested,200,12,188,94.0,0085c5acf825a08bf3f952713087b9de27db7afa2c727b3a9ce395077178ae24
11,uncertainty_diversity,200,28,172,86.0,2838c4be24665a0b38ec8050315db20dd7fff4546fc3a838ff1f16d03c619813
23,uncertainty_diversity,50,27,23,46.0,31f920b8988f9e46f0156624511843cb0e186a78f3a8608d6d6c871a37d350a8
149,random_nested,50,1,49,98.0,fe930d3703039853db50269fbcef425d4131520eec7ebf6365294cbed00f034f
37,uncertainty_diversity,200,28,172,86.0,c6f28dded8c20f260d265fef8fd0b64f39bf5e42412bcb7bfc053e73b8ce32c2
23,random_nested,200,12,188,94.0,0085c5acf825a08bf3f952713087b9de27db7afa2c727b3a9ce395077178ae24
23,uncertainty_diversity,200,28,172,86.0,b56cb50323b63c0e56e29633ee251d972f5f6b6b51398841150190f165c0c730
11,random_nested,200,12,188,94.0,0085c5acf825a08bf3f952713087b9de27db7afa2c727b3a9ce395077178ae24
23,random_nested,50,1,49,98.0,fe930d3703039853db50269fbcef425d4131520eec7ebf6365294cbed00f034f
127,uncertainty_diversity,200,28,172,86.0,34b20c502197540421badfb494809f0c029a1e599a56ddd25887e90b8a732714
149,random_nested,200,12,188,94.0,0085c5acf825a08bf3f952713087b9de27db7afa2c727b3a9ce395077178ae24
37,uncertainty_diversity,50,27,23,46.0,144a3aa0a56d18b870fa1a2bd17fe6c5459f359f76f9db2562365f36576961f7
127,random_nested,200,12,188,94.0,0085c5acf825a08bf3f952713087b9de27db7afa2c727b3a9ce395077178ae24
11,uncertainty_diversity,50,27,23,46.0,5bd93e609e9dc1dd4cd0eedbae32739177221a235d407cf6a1f14ac537bfbe9e
37,random_nested,200,12,188,94.0,0085c5acf825a08bf3f952713087b9de27db7afa2c727b3a9ce395077178ae24
37,random_nested,50,1,49,98.0,fe930d3703039853db50269fbcef425d4131520eec7ebf6365294cbed00f034f
149,uncertainty_diversity,50,27,23,46.0,570acfded5c6ba688ba7221536b6f2eb517ce9f40f531b510fb392ba5291a80b
