metric,contrast,query_seeds,mean_difference,SD_difference,median_difference,minimum_difference,maximum_difference,positive_count,negative_count,bootstrap_95_low,bootstrap_95_high,exact_sign_flip_p_raw,holm_p_within_metric
Recovery area,B50 minus static,10,0.5086146552142539,0.007556210829820079,0.5078020675800108,0.4941414170037761,0.5204607905750007,10,0,0.504130586377788,0.5130343515176903,0.001953125,0.005859375
Recovery area,B200 minus static,10,0.5099305431299146,0.006150534248952749,0.5092511715052499,0.5028289711161422,0.5202566328948126,10,0,0.5064360069694243,0.5136625042041355,0.001953125,0.005859375
Recovery area,B200 minus B50,10,0.0013158879156608516,0.00774363548436717,-0.001114468883893216,-0.008235554104951248,0.01859406727082935,4,6,-0.002779878091259148,0.006224222329169815,0.634765625,0.634765625
Acquisition macro-F1,B50 minus static,10,0.41370243254248207,0.015292271939777346,0.41315810449313695,0.385257707880524,0.4368971103370262,10,0,0.404695577317244,0.4226800585072737,0.001953125,0.005859375
Acquisition macro-F1,B200 minus static,10,0.4160246307109112,0.012265520574399958,0.4149480548091529,0.4016232708716713,0.43422322759776505,10,0,0.40901582971988687,0.4232660160040626,0.001953125,0.005859375
Acquisition macro-F1,B200 minus B50,10,0.0023221981684292126,0.015004334944082182,-0.0024848733452870753,-0.013025348049861663,0.037668240265651964,4,6,-0.005401758153930869,0.012054021529647484,0.69921875,0.69921875
Novel exact recall,B50 minus static,10,0.8375606796116504,0.015235809921821017,0.8435603762135923,0.7956234830097088,0.8445464199029126,10,0,0.827806432038835,0.8436969053398057,0.001953125,0.005859375
Novel exact recall,B200 minus static,10,0.843583131067961,0.0003118143930687807,0.8435603762135923,0.8431811286407767,0.8440154733009708,10,0,0.8434010922330095,0.8437651699029127,0.001953125,0.005859375
Novel exact recall,B200 minus B50,10,0.006022451456310684,0.015195510008178467,0.00018962378640774435,-0.0006067961165048263,0.0479368932038835,5,4,-8.34344660194164e-05,0.015791868932038832,0.20703125,0.20703125
Source forgetting,B50 minus static,10,0.015190798147678871,0.005934540512618177,0.015813029201965006,0.0031051563527072,0.022992291740551,10,0,0.011542141792899691,0.018472449077346506,0.001953125,0.005859375
Source forgetting,B200 minus static,10,0.015229143772294779,0.0058323780254286774,0.01661424189243283,0.0052904242157651,0.0223320569660753,10,0,0.011717430536558434,0.018525260360651215,0.001953125,0.005859375
Source forgetting,B200 minus B50,10,3.834562461590522e-05,0.0044403813104868526,0.001270200783157949,-0.011300548962653301,0.004332556178267255,8,2,-0.002921682819334917,0.002168270211345899,0.9921875,0.9921875
