window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
0,0,250,250,0.0,0.9693312100028517,0.9406659274263961,0.9159387792165203,0.7754649680022814,,,0.944,,0.944,0.056,,0.944,0.0,0.5734065215123554,False,none,0.04793604688096583,0.056,0,0,False,0.974026216640036,0.0
1,250,500,250,0.0,0.9801872814620963,0.9613545379958128,0.9240489098642557,0.784149825169677,,,0.948,,0.948,0.052,,0.948,0.0,0.5752375637780606,False,none,0.08711450910309051,0.052,0,0,False,0.974026216640036,0.0
2,500,750,250,0.0,0.9550224429376373,0.9140762205830699,0.8846562395278877,0.7640179543501098,,,0.924,,0.924,0.076,,0.924,0.0,0.5636840060721281,False,none,0.10951271997747578,0.076,0,0,False,0.974026216640036,0.0
3,750,1000,250,0.0,0.9854529335912314,0.971765601217656,0.9265623290004238,0.7883623468729851,,,0.952,,0.952,0.048,,0.952,0.0,0.5794331546933026,False,none,0.12326051339353009,0.048,0,0,False,0.974026216640036,0.0
4,1000,1250,250,0.064,0.9491997997181219,0.9037456965606572,0.8719551486188555,0.5423998855532125,1.0,1.0,0.9102564102564102,1.0,0.9551282051282051,0.08974358974358974,0.0,0.852,0.0,0.5186269478359498,False,none,0.188327184697873,0.148,0,0,False,0.974026216640036,0.0
5,1250,1500,250,0.252,0.9693627410107694,0.9416868896123114,0.9026103719038152,0.5539215662918682,0.998759551380519,0.9995755878108818,0.9358288770053476,1.0,0.9679144385026738,0.06417112299465241,0.0,0.7,0.0,0.44460413375336,True,unknown_rate,0.4713746263565858,0.3,15,15,True,0.974026216640036,0.0
6,1500,1750,250,0.264,0.967046838337937,0.9366571969696971,0.8860285906219376,0.7986398229392374,0.39685775639691284,0.6206357048748352,0.9184782608695652,1.0,0.9592391304347826,0.08152173913043478,0.7727272727272727,0.88,0.0,0.522704113575566,False,cooldown,0.5259764141877302,0.12,0,15,False,0.974026216640036,0.0
7,1750,2000,250,0.296,0.9523304557441323,0.9096632534132534,0.8755131081660537,0.7875506927271715,0.4349901303344593,0.5916769041769042,0.9090909090909091,1.0,0.9545454545454546,0.09090909090909091,0.8243243243243243,0.884,0.0,0.5417730178781096,False,none,0.5915137135049056,0.116,0,15,False,0.974026216640036,0.0
8,2000,2250,250,0.336,0.9408500008717937,0.889610934945781,0.8456454736624521,0.7934818566368497,0.4346450387377857,0.5736517498565691,0.8795180722891566,1.0,0.9397590361445782,0.12048192771084337,0.8452380952380952,0.868,0.0,0.5282909944539709,False,none,0.6894945055712731,0.132,0,15,False,0.974026216640036,0.0
9,2250,2500,250,0.324,0.9455997392438071,0.8996872942725478,0.8026337076431826,0.7982988608974513,0.3791187345543403,0.5927386953027979,0.8520710059171598,1.0,0.9260355029585798,0.14792899408284024,0.8395061728395061,0.848,0.0,0.5216829080831623,False,none,0.7306816423808539,0.152,0,15,False,0.974026216640036,0.0
10,2500,2750,250,0.296,0.9439414906203479,0.8979585913312693,0.8551172146546974,0.8036808517830561,0.3714190271141586,0.5884520884520885,0.8863636363636364,1.0,0.9431818181818181,0.11363636363636363,0.8648648648648649,0.88,0.0,0.5369901499135573,False,none,0.651306829798531,0.12,0,15,False,0.974026216640036,0.0
11,2750,3000,250,0.272,0.9369007518504199,0.8817309603888942,0.8436437958037085,0.7932904102364391,0.3310171467365333,0.5237556561085972,0.8901098901098901,1.0,0.945054945054945,0.10989010989010989,0.8382352941176471,0.876,0.0,0.5493422315682301,False,none,0.6895595325095683,0.124,0,15,False,0.974026216640036,0.0
12,3000,3250,250,0.24,0.9381009872656562,0.8852116805745838,0.8342311241916802,0.800250656916182,0.2498747575785038,0.4985964912280702,0.8736842105263158,1.0,0.9368421052631579,0.12631578947368421,0.8666666666666667,0.872,0.0,0.5453113731690957,False,none,0.6503243160227629,0.128,0,15,False,0.974026216640036,0.0
13,3250,3500,250,0.308,0.9170263227242117,0.8476495726495726,0.7863346403242119,0.7649130998091195,0.370650141537835,0.5055926732227309,0.8323699421965318,1.0,0.9161849710982659,0.1676300578034682,0.7532467532467533,0.808,0.0,0.4970847405473463,False,none,0.8252446843830902,0.192,0,15,False,0.974026216640036,0.0
14,3500,3750,250,0.22,0.9041847830803544,0.8268894725557461,0.7483548420949964,0.760280430416919,0.27099759131765944,0.5365034965034965,0.7948717948717948,1.0,0.8974358974358974,0.20512820512820512,0.8,0.796,0.0,0.4937815803011115,True,unknown_rate,0.665083786296545,0.204,20,35,True,0.9744297174077912,0.0
15,3750,4000,250,0.292,0.8884579944969396,0.8027583975164619,0.7692328544920228,0.7798587990990986,0.23231303035013015,0.3714882749013234,0.8192090395480226,1.0,0.9096045197740112,0.1807909604519774,0.9041095890410958,0.844,0.0,0.5355566228131896,False,cooldown,0.7466105493423308,0.156,0,35,False,0.9744297174077912,0.0
