window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
0,0,250,250,0.0,0.9632218119367653,0.9292996717074704,0.8946401022953892,0.7705774495494122,,,0.928,,0.928,0.072,,0.928,0.0,0.07078589037111305,False,none,0.05336367290696517,0.072,0,0,False,0.9784236160963549,0.0
1,250,500,250,0.0,0.960067258199442,0.923515390708991,0.8903771109114729,0.7680538065595537,,,0.924,,0.924,0.076,,0.924,0.0,0.07452153482125734,False,none,0.070793596289478,0.076,0,0,False,0.9784236160963549,0.0
2,500,750,250,0.0,0.9621527044086493,0.9283895328415877,0.8912061071276581,0.7697221635269195,,,0.928,,0.928,0.072,,0.928,0.0,0.07062426024368684,False,none,0.0908843319808117,0.072,0,0,False,0.9784236160963549,0.0
3,750,1000,250,0.0,0.9829861442297299,0.9668331430745815,0.9373515400156152,0.7863889153837839,,,0.96,,0.96,0.04,,0.96,0.0,0.039105720891776885,False,none,0.1037134919081234,0.04,0,0,False,0.9784236160963549,0.0
4,1000,1250,250,0.064,0.9724804887092253,0.9467928724818487,0.9237318805669901,0.5557031364052716,0.9692708333333333,0.9975961538461537,0.9487179487179487,1.0,0.9743589743589743,0.05128205128205128,0.0,0.888,0.0,0.10616249652819577,False,none,0.14764265422669,0.112,0,0,False,0.9784236160963549,0.0
5,1250,1500,250,0.252,0.967584392247465,0.9373822271247545,0.9095912307229881,0.5467210750999738,0.9832525987885383,0.9943977591036415,0.9411764705882353,0.9682539682539683,0.9547152194211017,0.058823529411764705,0.031746031746031744,0.712,0.011235955056179775,0.26887750670652594,True,unknown_rate,0.3463812255936136,0.288,0,0,False,0.9784236160963549,0.0
6,1500,1750,250,0.264,0.9813777912294862,0.9638541666666667,0.9215181310057603,0.5516687682405574,0.9890067108633539,0.9955533596837944,0.9456521739130435,0.9545454545454546,0.950098814229249,0.05434782608695652,0.045454545454545456,0.708,0.01694915254237288,0.2697662044846052,False,cooldown,0.4148921608778962,0.292,0,0,False,0.9784236160963549,0.0
7,1750,2000,250,0.296,0.971607695349757,0.945450382950383,0.9263671575057639,0.54951081556218,0.9892717649498328,0.995085995085995,0.9488636363636364,0.972972972972973,0.9609183046683047,0.05113636363636364,0.02702702702702703,0.676,0.011834319526627219,0.29213100720823104,True,unknown_rate,0.458041982048746,0.324,0,0,False,0.9784236160963549,0.0
8,2000,2250,250,0.336,0.9728745527869432,0.9478984795576896,0.9254215763513777,0.5506035747632386,0.9882685419962522,0.9925415949512335,0.9457831325301205,0.9761904761904762,0.9609868043602983,0.05421686746987952,0.023809523809523808,0.636,0.012578616352201259,0.33138004309966546,False,cooldown,0.5620922922019544,0.364,0,0,False,0.9784236160963549,0.0
9,2250,2500,250,0.324,0.945990675990676,0.9022108843537415,0.9156725517529446,0.5349195731804427,0.9884711377804912,0.9947403024326101,0.9467455621301775,0.9876543209876543,0.9671999415589159,0.05325443786982249,0.012345679012345678,0.644,0.006211180124223602,0.3181447403088903,True,unknown_rate,0.5387947098188137,0.356,0,0,False,0.9784236160963549,0.0
10,2500,2750,250,0.296,0.9726455946535734,0.9476715686274509,0.9302027114349084,0.5557974826591848,0.995348231044805,0.9979269041769041,0.9488636363636364,1.0,0.9744318181818181,0.05113636363636364,0.0,0.668,0.0,0.2973524159986695,False,cooldown,0.5405355241593781,0.332,0,0,False,0.9784236160963549,0.0
11,2750,3000,250,0.272,0.9566445480631277,0.9207978049810046,0.9237809532739225,0.5386008061761289,0.9885452804826336,0.9951519069166128,0.9505494505494505,0.9558823529411765,0.9532159017453135,0.04945054945054945,0.04411764705882353,0.704,0.017045454545454544,0.2755638903218618,True,unknown_rate,0.5466453616803267,0.296,0,0,False,0.9784236160963549,0.0
12,3000,3250,250,0.24,0.9641180356348464,0.9322999142987622,0.9169539144672447,0.545217749784021,0.9707043625289454,0.9914912280701754,0.9421052631578948,0.9666666666666667,0.9543859649122808,0.05789473684210526,0.03333333333333333,0.724,0.011049723756906077,0.2560860855150081,False,cooldown,0.5164830548689882,0.276,0,0,False,0.9784236160963549,0.0
13,3250,3500,250,0.308,0.985356598708554,0.9715811965811967,0.965074235862531,0.5487751992620308,0.9946475628044849,0.9975227085053674,0.976878612716763,0.948051948051948,0.9624652803843555,0.023121387283236993,0.05194805194805195,0.692,0.023121387283236993,0.2901113692456384,True,unknown_rate,0.6428745358983813,0.308,0,0,False,0.9784236160963549,0.0
14,3500,3750,250,0.22,0.9598957753792515,0.9268733919382505,0.9163961326925599,0.5453406242879927,0.9875945597770917,0.9964568764568764,0.9435897435897436,0.9818181818181818,0.9627039627039626,0.05641025641025641,0.01818181818181818,0.74,0.005405405405405406,0.2396300023702797,False,cooldown,0.5253402595399442,0.26,0,0,False,0.9784236160963549,0.0
15,3750,4000,250,0.292,0.9671900161030595,0.9383049745952973,0.9403053077202436,0.5477669328601006,0.9939297490398309,0.9974460181100534,0.96045197740113,0.9863013698630136,0.9733766736320718,0.03954802259887006,0.0136986301369863,0.684,0.005847953216374269,0.27555532497395124,True,unknown_rate,0.5956703678695957,0.316,0,0,False,0.9784236160963549,0.0
