window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
0,0,500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0007759576538931444,False,none,0.11239783129532437,0.0,0,0,False,0.7436186002019403,0.0
1,500,1000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0002722588446496532,False,none,0.0908554495211968,0.0,0,0,False,0.7436186002019403,0.0
2,1000,1500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0009280057786302953,False,none,0.10713942492804493,0.0,0,0,False,0.7436186002019403,0.0
3,1500,2000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.00023775213999877032,False,none,0.12156050823421873,0.0,0,0,False,0.7436186002019403,0.0
4,2000,2500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.00020156944656302134,False,none,0.11590679272800368,0.0,0,0,False,0.7436186002019403,0.0
5,2500,3000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.00030551333192474495,False,none,0.11185556130238104,0.0,0,0,False,0.7436186002019403,0.0
6,3000,3500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.00018182883342743317,False,none,0.09788922514262435,0.0,0,0,False,0.7436186002019403,0.0
7,3500,4000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.000215160048859242,False,none,0.09891415312439067,0.0,0,0,False,0.7436186002019403,0.0
8,4000,4500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0008151150140787346,False,none,0.12245760242273974,0.0,0,0,False,0.7436186002019403,0.0
9,4500,5000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.00021938948197774977,False,none,0.10120003733473734,0.0,0,0,False,0.7436186002019403,0.0
10,5000,5500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.00023783936665522365,False,none,0.09245064897303812,0.0,0,0,False,0.7436186002019403,0.0
11,5500,6000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.00026798525642635074,False,none,0.10833012941669884,0.0,0,0,False,0.7436186002019403,0.0
12,6000,6500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.00029221055907646676,False,none,0.09281371551161978,0.0,0,0,False,0.7436186002019403,0.0
13,6500,7000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0008591772749852273,False,none,0.10653764557293365,0.0,0,0,False,0.7436186002019403,0.0
14,7000,7500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0002836175391077722,False,none,0.09528856993752356,0.0,0,0,False,0.7436186002019403,0.0
15,7500,8000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0008428861308539717,False,none,0.11069344665745712,0.0,0,0,False,0.7436186002019403,0.0
16,8000,8500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0002694788002968185,False,none,0.12466631884623687,0.0,0,0,False,0.7436186002019403,0.0
17,8500,9000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0007913276091999766,False,none,0.11611635475842717,0.0,0,0,False,0.7436186002019403,0.0
18,9000,9500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0008474257424088503,False,none,0.10691863262310614,0.0,0,0,False,0.7436186002019403,0.0
19,9500,10000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.00021041543779487526,False,none,0.10048687846842398,0.0,0,0,False,0.7436186002019403,0.0
20,10000,10500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.00023346267035151413,False,none,0.1300247485780476,0.0,0,0,False,0.7436186002019403,0.0
21,10500,11000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0001841239712109255,False,none,0.09519627434944919,0.0,0,0,False,0.7436186002019403,0.0
22,11000,11500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0002655664123003554,False,none,0.09276498776254757,0.0,0,0,False,0.7436186002019403,0.0
23,11500,12000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.00025632181630996786,False,none,0.10140247875053547,0.0,0,0,False,0.7436186002019403,0.0
24,12000,12500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.00019820252128477378,False,none,0.1131977106165747,0.0,0,0,False,0.7436186002019403,0.0
25,12500,13000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0004469962248605519,False,none,0.09313402366330432,0.0,0,0,False,0.7436186002019403,0.0
26,13000,13500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0008186894264006488,False,none,0.09489590678094145,0.0,0,0,False,0.7436186002019403,0.0
27,13500,14000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.00037664246205892926,False,none,0.09108064408431502,0.0,0,0,False,0.7436186002019403,0.0
28,14000,14500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0002844106971804372,False,none,0.09981752477612689,0.0,0,0,False,0.7436186002019403,0.0
29,14500,15000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0007078190367190151,False,none,0.088066494000134,0.0,0,0,False,0.7436186002019403,0.0
30,15000,15500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.00028854628905827795,False,none,0.10737216674031556,0.0,0,0,False,0.7436186002019403,0.0
31,15500,16000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.00022506493642349135,False,none,0.10528186505955786,0.0,0,0,False,0.7436186002019403,0.0
32,16000,16500,500,0.0,0.7594574671974053,0.6328812226645044,0.7995876288659793,0.9346453070323848,0.7594574671974053,,,0.996,,0.7594574671974053,0.0,,1.0,0.004,0.009344893876577883,False,none,0.39607245733677593,0.0,0,0,False,0.7436186002019403,0.0
33,16500,17000,500,0.0,0.7097222222222221,0.7097222222222221,0.6968253968253969,0.8505445085549058,0.7097222222222221,,,0.98,,0.7097222222222221,0.0,,1.0,0.02,0.007785951352687713,False,none,0.06975681055495234,0.0,0,0,False,0.7436186002019403,0.0
34,17000,17500,500,0.0,0.7158972792791382,0.7158972792791382,0.7611656054609074,0.8124675543519796,0.7158972792791382,,,0.962,,0.7158972792791382,0.0,,1.0,0.038,0.023126115745528898,False,none,0.067075883467774,0.0,0,0,False,0.7436186002019403,0.0
35,17500,18000,500,0.0,0.5422585643293086,0.5422585643293086,0.6128968253968254,0.7655863684875567,0.5422585643293086,,,0.954,,0.5422585643293086,0.0,,1.0,0.046,0.0320489819007487,False,none,0.0590960217912049,0.0,0,0,False,0.7436186002019403,0.0
36,18000,18500,500,0.0,0.5555555555555555,0.27777777777777773,0.6666666666666666,0.749623777252474,0.5555555555555555,,,0.998,,0.5555555555555555,0.0,,1.0,0.002,0.0015103377608266279,False,none,0.102595143112005,0.0,0,0,False,0.7436186002019403,0.0
37,18500,19000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.00021430896404806,False,none,0.10259688232813413,0.0,0,0,False,0.7436186002019403,0.0
38,19000,19500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.00024591894637815415,False,none,0.09904392201280847,0.0,0,0,False,0.7436186002019403,0.0
39,19500,20000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0008389277179531962,False,none,0.10192608138207677,0.0,0,0,False,0.7436186002019403,0.0
40,20000,20500,500,0.0,0.8732467532467532,0.7277056277056276,0.85,0.9106360517667111,0.7277056277056276,,,0.992,,0.8732467532467532,0.0,,1.0,0.008,0.007587704302077804,False,none,0.06836716006131252,0.0,0,0,False,0.7436186002019403,0.0
41,20500,21000,500,0.0,0.966023166023166,0.805019305019305,0.95,0.9826164031022017,0.966023166023166,,,0.998,,0.966023166023166,0.0,,1.0,0.002,0.011921379216170648,False,none,0.07536829361099066,0.0,0,0,False,0.7436186002019403,0.0
42,21000,21500,500,0.0,0.6641414141414141,0.6641414141414141,0.7196969696969697,0.8336474861272714,0.6641414141414141,,,0.98,,0.6641414141414141,0.0,,1.0,0.02,0.014766699225495124,False,none,0.06282108309717255,0.0,0,0,False,0.7436186002019403,0.0
43,21500,22000,500,0.0,0.8100178664076427,0.8100178664076427,0.8201582105837425,0.9148573044746863,0.8100178664076427,,,0.99,,0.8100178664076427,0.0,,1.0,0.01,0.010947041298912845,False,none,0.07391637540877798,0.0,0,0,False,0.7436186002019403,0.0
44,22000,22500,500,0.0,0.6593633952254642,0.5494694960212202,0.667948717948718,0.869806683450158,0.5494694960212202,,,0.984,,0.6593633952254642,0.0,,1.0,0.016,0.0101562420121963,False,none,0.08164026799137389,0.0,0,0,False,0.7436186002019403,0.0
45,22500,23000,500,0.0,0.6490100250626567,0.5408416875522138,0.7235294117647059,0.7768668422953582,0.5408416875522138,,,0.968,,0.6490100250626567,0.0,,1.0,0.032,0.015438727914988732,False,none,0.06407395129298755,0.0,0,0,False,0.7436186002019403,0.0
46,23000,23500,500,0.0,0.63510101010101,0.63510101010101,0.7037545787545788,0.8412831568573992,0.63510101010101,,,0.984,,0.63510101010101,0.0,,1.0,0.016,0.014195309299803168,False,none,0.06809657563253578,0.0,0,0,False,0.7436186002019403,0.0
47,23500,24000,500,0.0,0.6639412997903563,0.6639412997903563,0.6481060606060606,0.8123687476799072,0.6639412997903563,,,0.964,,0.6639412997903563,0.0,,1.0,0.036,0.017597658132835425,False,none,0.06885939417596157,0.0,0,0,False,0.7436186002019403,0.0
48,24000,24500,500,0.0,0.7808342759514553,0.650695229959546,0.7533614480529832,0.861279798235737,0.650695229959546,,,0.974,,0.7808342759514553,0.0,,1.0,0.026,0.0358504688943971,False,none,0.11528314260396288,0.0,0,0,False,0.7436186002019403,0.0
49,24500,25000,500,0.0,0.9015873015873016,0.9015873015873016,0.9047619047619048,0.9318523178894813,0.9015873015873016,,,0.984,,0.9015873015873016,0.0,,1.0,0.016,0.06132543217749893,False,none,0.15364223095970284,0.0,0,0,False,0.7436186002019403,0.0
50,25000,25500,500,0.0,0.685239465686393,0.685239465686393,0.7160145308123248,0.8985225581968386,0.685239465686393,,,0.98,,0.685239465686393,0.0,,1.0,0.02,0.030063770868064395,False,none,0.08944137354115814,0.0,0,0,False,0.7436186002019403,0.0
51,25500,26000,500,0.0,0.6199720245697257,0.6199720245697257,0.6222222222222222,0.8649938994183729,0.6199720245697257,,,0.97,,0.6199720245697257,0.0,,1.0,0.03,0.024196776458270983,False,none,0.07750776629298642,0.0,0,0,False,0.7436186002019403,0.0
52,26000,26500,500,0.0,0.7935767935767936,0.7935767935767936,0.7665343915343915,0.9020446348015096,0.7935767935767936,,,0.982,,0.7935767935767936,0.0,,1.0,0.018,0.018255134465983862,False,none,0.052110717817952706,0.0,0,0,False,0.7436186002019403,0.0
53,26500,27000,500,0.0,0.7013797313797313,0.7013797313797313,0.7013888888888888,0.8265673609051963,0.7013797313797313,,,0.966,,0.7013797313797313,0.0,,1.0,0.034,0.057866802468047374,False,none,0.08692759964497915,0.0,0,0,False,0.7436186002019403,0.0
