window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
0,0,500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0029883868281059267,False,none,0.09674017716982268,0.0,0,0,False,0.5482764939522271,0.0
1,500,1000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.002728174622782964,False,none,0.12741487511550892,0.0,0,0,False,0.5482764939522271,0.0
2,1000,1500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.004788196403394817,False,none,0.09587991283539142,0.0,0,0,False,0.5482764939522271,0.0
3,1500,2000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.004301631623503877,False,none,0.11191692663087663,0.0,0,0,False,0.5482764939522271,0.0
4,2000,2500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.002039962055722988,False,none,0.15071032270913165,0.0,0,0,False,0.5482764939522271,0.0
5,2500,3000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0026041763293024323,False,none,0.12368530915855297,0.0,0,0,False,0.5482764939522271,0.0
6,3000,3500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.003292016844557788,False,none,0.09258843263199108,0.0,0,0,False,0.5482764939522271,0.0
7,3500,4000,500,0.0,0.9979959919839679,0.16633266533066132,0.996,,0.49899799599198397,,,0.996,,0.9979959919839679,0.0,,1.0,0.004,0.002190161499734028,False,none,0.10431263943828743,0.0,0,0,False,0.5482764939522271,0.0
8,4000,4500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.002824791265293225,False,none,0.10421726584345804,0.0,0,0,False,0.5482764939522271,0.0
9,4500,5000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.003374844840664864,False,none,0.10143007476193808,0.0,0,0,False,0.5482764939522271,0.0
10,5000,5500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0023329389065573163,False,none,0.12522419689125833,0.0,0,0,False,0.5482764939522271,0.0
11,5500,6000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0018737199910890956,False,none,0.1279953348077347,0.0,0,0,False,0.5482764939522271,0.0
12,6000,6500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0029561025810694863,False,none,0.09716582065666614,0.0,0,0,False,0.5482764939522271,0.0
13,6500,7000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0030325604970587797,False,none,0.11139223559852322,0.0,0,0,False,0.5482764939522271,0.0
14,7000,7500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.003014023814317923,False,none,0.1287435496755995,0.0,0,0,False,0.5482764939522271,0.0
15,7500,8000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.003921825654160267,False,none,0.09720954973100535,0.0,0,0,False,0.5482764939522271,0.0
16,8000,8500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0028738594549053698,False,none,0.0978602730356204,0.0,0,0,False,0.5482764939522271,0.0
17,8500,9000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0026782896345395324,False,none,0.1106896048143373,0.0,0,0,False,0.5482764939522271,0.0
18,9000,9500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0028384616291506903,False,none,0.09850459476096192,0.0,0,0,False,0.5482764939522271,0.0
