window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
0,0,500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.00019587486852745695,False,none,0.09674017716982268,0.0,0,0,False,0.7436186002019403,0.0
1,500,1000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.00015973985776551736,False,none,0.12741487511550892,0.0,0,0,False,0.7436186002019403,0.0
2,1000,1500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.00046838186735997933,False,none,0.09587991283539142,0.0,0,0,False,0.7436186002019403,0.0
3,1500,2000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.00023603017827011907,False,none,0.11191692663087663,0.0,0,0,False,0.7436186002019403,0.0
4,2000,2500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.00017600901164871452,False,none,0.15071032270913165,0.0,0,0,False,0.7436186002019403,0.0
5,2500,3000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.00021551686058807196,False,none,0.12368530915855297,0.0,0,0,False,0.7436186002019403,0.0
6,3000,3500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.00029554891683603035,False,none,0.09258843263199108,0.0,0,0,False,0.7436186002019403,0.0
7,3500,4000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.00036180248478234756,False,none,0.10431263943828743,0.0,0,0,False,0.7436186002019403,0.0
8,4000,4500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0009609616713932567,False,none,0.10421726584345804,0.0,0,0,False,0.7436186002019403,0.0
9,4500,5000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.00022848324101432116,False,none,0.10143007476193808,0.0,0,0,False,0.7436186002019403,0.0
10,5000,5500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0008511655667264111,False,none,0.12522419689125833,0.0,0,0,False,0.7436186002019403,0.0
11,5500,6000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0003059518009483897,False,none,0.1279953348077347,0.0,0,0,False,0.7436186002019403,0.0
12,6000,6500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0008339180065679006,False,none,0.09716582065666614,0.0,0,0,False,0.7436186002019403,0.0
13,6500,7000,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0001949336011396463,False,none,0.11139223559852322,0.0,0,0,False,0.7436186002019403,0.0
14,7000,7500,500,0.0,1.0,0.16666666666666666,1.0,,1.0,,,1.0,,1.0,0.0,,1.0,0.0,0.0002188377132079644,False,none,0.1287435496755995,0.0,0,0,False,0.7436186002019403,0.0
