window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
0,0,500,500,0.0,0.16481294236602628,0.163,,0.32962588473205257,,,0.978,,0.978,0.0,,1.0,0.022,0.6282381257411277,False,none,0.12344098692380093,0.0,0,0,False,0.3402745331018427,0.0
1,500,1000,500,0.0,0.16447146234380278,0.16233333333333333,,0.32894292468760555,,,0.974,,0.974,0.0,,1.0,0.026,0.6230985381277285,False,none,0.105286823325214,0.0,0,0,False,0.3402745331018427,0.0
2,1000,1500,500,0.0,0.16532258064516128,0.164,,0.33064516129032256,,,0.984,,0.984,0.0,,1.0,0.016,0.6295502028679719,False,none,0.1180800878917917,0.0,0,0,False,0.3402745331018427,0.0
3,1500,2000,500,0.0,0.16566063044936283,0.16466666666666666,,0.33132126089872566,,,0.988,,0.988,0.0,,1.0,0.012,0.646016723047722,False,none,0.12539569338618387,0.0,0,0,False,0.3402745331018427,0.0
4,2000,2500,500,0.0,0.16447146234380278,0.16233333333333333,,0.32894292468760555,,,0.974,,0.974,0.0,,1.0,0.026,0.6238791171578281,False,none,0.12214940330260823,0.0,0,0,False,0.3402745331018427,0.0
5,2500,3000,500,0.0,0.16309159005788218,0.15966666666666665,,0.32618318011576436,,,0.958,,0.958,0.0,,1.0,0.042,0.6053139235755701,False,none,0.12829606732230772,0.0,0,0,False,0.3402745331018427,0.0
6,3000,3500,500,0.0,0.1651530440632358,0.16366666666666665,,0.3303060881264716,,,0.982,,0.982,0.0,,1.0,0.018,0.6277309800087861,False,none,0.10408477996856448,0.0,0,0,False,0.3402745331018427,0.0
7,3500,4000,500,0.0,0.16481294236602628,0.163,,0.32962588473205257,,,0.978,,0.978,0.0,,1.0,0.022,0.6261492460261383,False,none,0.10340864520353514,0.0,0,0,False,0.3402745331018427,0.0
8,4000,4500,500,0.0,0.16566063044936283,0.16466666666666666,,0.4969818913480885,,,0.988,,0.988,0.0,,1.0,0.012,0.648317321495399,False,none,0.12873781701154832,0.0,0,0,False,0.3402745331018427,0.0
9,4500,5000,500,0.0,0.16633266533066132,0.166,,0.33266533066132264,,,0.996,,0.996,0.0,,1.0,0.004,0.6480084859275932,False,none,0.10971745013499669,0.0,0,0,False,0.3402745331018427,0.0
10,5000,5500,500,0.0,0.16464237516869096,0.16266666666666665,,0.3292847503373819,,,0.976,,0.976,0.0,,1.0,0.024,0.6319735114564612,False,none,0.1059554858015855,0.0,0,0,False,0.3402745331018427,0.0
11,5500,6000,500,0.0,0.16464237516869096,0.16266666666666665,,0.3292847503373819,,,0.976,,0.976,0.0,,1.0,0.024,0.6372121862410732,False,none,0.12102269774245877,0.0,0,0,False,0.3402745331018427,0.0
12,6000,6500,500,0.0,0.16361167684996605,0.16066666666666665,,0.3272233536999321,,,0.964,,0.964,0.0,,1.0,0.036,0.6278055141561647,False,none,0.10769674869214692,0.0,0,0,False,0.3402745331018427,0.0
13,6500,7000,500,0.0,0.16378433367243134,0.161,,0.3275686673448627,,,0.966,,0.966,0.0,,1.0,0.034,0.6285176553709139,False,none,0.1272246410879876,0.0,0,0,False,0.3402745331018427,0.0
