evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,1,0,0,0,False,Benign,0.9884685413716366,0.16474475689527276,0.9772,,0.32948951379054553,,,0.9772,,0.9884685413716366,0.0,,1.0,0.0228,0.6309279315119193
1,5000,10000,5000,1,0,0,0,False,Benign,0.9903069466882067,0.16505115778136778,0.9808,,0.33010231556273556,,,0.9808,,0.9903069466882067,0.0,,1.0,0.0192,0.6358369937466379
2,10000,15000,5000,1,0,0,0,False,Benign,0.9931534434152235,0.16552557390253725,0.9864,,0.3310511478050745,,,0.9864,,0.9931534434152235,0.0,,1.0,0.0136,0.6226061174652402
3,15000,20000,5000,1,0,0,0,False,Benign,0.9849776695087292,0.16416294491812153,0.9704,,0.32832588983624306,,,0.9704,,0.9849776695087292,0.0,,1.0,0.0296,0.6087084384909135
4,20000,25000,5000,6,0,8,204,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3189248146286515,0.3189248146286515,0.3964979425131001,0.44945657935993116,0.3189248146286515,,,0.9432,,0.3189248146286515,0.0,,1.0,0.0568,0.5852788853982687
5,25000,30000,5000,6,0,12,437,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.2936059353850514,0.2936059353850514,0.3244521998533935,0.4480426688913227,0.2936059353850514,,,0.8882,,0.2936059353850514,0.0,,1.0,0.1118,0.5453876993444732
6,30000,35000,5000,6,0,20,528,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.32184070136974663,0.32184070136974663,0.3806781986097831,0.4547492931372345,0.32184070136974663,,,0.8666,,0.32184070136974663,0.0,,1.0,0.1334,0.5207834420177299
7,35000,40000,5000,6,0,18,458,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.32078333483992844,0.32078333483992844,0.3777529503433891,0.5052421711491842,0.32078333483992844,,,0.9072,,0.32078333483992844,0.0,,1.0,0.0928,0.5578082340645222
8,40000,45000,5000,6,0,12,337,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.33109318374945845,0.33109318374945845,0.3844451724987914,0.4841849155981479,0.33109318374945845,,,0.9246,,0.33109318374945845,0.0,,1.0,0.0754,0.5707416558759597
9,45000,50000,5000,6,0,26,468,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3095311553164512,0.3095311553164512,0.38442998295890746,0.4412913714543273,0.3095311553164512,,,0.8698,,0.3095311553164512,0.0,,1.0,0.1302,0.5264191162874257
10,50000,55000,5000,6,0,23,421,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.2854370596069589,0.2854370596069589,0.3344411728246642,0.4424551320048272,0.2854370596069589,,,0.8896,,0.2854370596069589,0.0,,1.0,0.1104,0.542337374761989
11,55000,60000,5000,6,0,14,406,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.30493545281219386,0.30493545281219386,0.3570592949754103,0.5075373714584863,0.30493545281219386,,,0.9198,,0.30493545281219386,0.0,,1.0,0.0802,0.5714762146874811
12,60000,65000,5000,6,0,28,510,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.2931799740942294,0.2931799740942294,0.358321780104726,0.43922214785485375,0.2931799740942294,,,0.8638,,0.2931799740942294,0.0,,1.0,0.1362,0.5205092101458821
13,65000,70000,5000,6,0,21,421,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3325073661363119,0.3325073661363119,0.37709439847426324,0.48145417033290494,0.3325073661363119,,,0.9006,,0.3325073661363119,0.0,,1.0,0.0994,0.5487414649922505
14,70000,75000,5000,6,0,15,438,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.30555568444951237,0.30555568444951237,0.3488904031039992,0.5111763845280695,0.30555568444951237,,,0.9118,,0.30555568444951237,0.0,,1.0,0.0882,0.5676590512549662
15,75000,80000,5000,6,0,9,455,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.30702815114075804,0.30702815114075804,0.3654691407221217,0.4697465079244927,0.30702815114075804,,,0.8896,,0.30702815114075804,0.0,,1.0,0.1104,0.5420247260423103
16,80000,85000,5000,6,0,16,410,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.33023916467962094,0.33023916467962094,0.41456052008678984,0.448806785216003,0.33023916467962094,,,0.881,,0.33023916467962094,0.0,,1.0,0.119,0.5313001769819414
17,85000,90000,5000,6,0,24,393,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3183701399158915,0.3183701399158915,0.37176225770799554,0.46996665544102517,0.3183701399158915,,,0.8984,,0.3183701399158915,0.0,,1.0,0.1016,0.5585483267078348
18,90000,95000,5000,6,0,27,400,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.29350307880645565,0.29350307880645565,0.32656696540906216,0.45900914876148313,0.29350307880645565,,,0.9074,,0.29350307880645565,0.0,,1.0,0.0926,0.5507257782529745
19,95000,100000,5000,6,0,20,505,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.31890083666104624,0.31890083666104624,0.3609346892223084,0.47798273985242096,0.31890083666104624,,,0.8788,,0.31890083666104624,0.0,,1.0,0.1212,0.5280442778465636
20,100000,105000,5000,6,0,18,331,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3128596828376004,0.3128596828376004,0.3424576871062898,0.492414043694327,0.3128596828376004,,,0.9212,,0.3128596828376004,0.0,,1.0,0.0788,0.5520012003836633
21,105000,110000,5000,6,0,15,375,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3488787709902775,0.3488787709902775,0.3983012958160148,0.5088645555839503,0.3488787709902775,,,0.9184,,0.3488787709902775,0.0,,1.0,0.0816,0.569160107815891
22,110000,115000,5000,6,0,13,527,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3009909278370073,0.3009909278370073,0.32033693706026556,0.46645839364860175,0.3009909278370073,,,0.8768,,0.3009909278370073,0.0,,1.0,0.1232,0.533723357491726
23,115000,120000,5000,6,0,15,364,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3470863111249447,0.3470863111249447,0.4090447674592539,0.4775794840376862,0.3470863111249447,,,0.9024,,0.3470863111249447,0.0,,1.0,0.0976,0.5522639837469373
