evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,1,0,0,0,False,Benign,0.9884685413716366,0.16474475689527276,0.9772,,0.32948951379054553,,,0.9772,,0.9884685413716366,0.0,,1.0,0.0228,0.6309279315119193
1,5000,10000,5000,1,0,0,0,False,Benign,0.9903069466882067,0.16505115778136778,0.9808,,0.33010231556273556,,,0.9808,,0.9903069466882067,0.0,,1.0,0.0192,0.6358369937466379
2,10000,15000,5000,1,0,0,0,False,Benign,0.9931534434152235,0.16552557390253725,0.9864,,0.3310511478050745,,,0.9864,,0.9931534434152235,0.0,,1.0,0.0136,0.6226061174652402
3,15000,20000,5000,1,0,0,0,False,Benign,0.9849776695087292,0.16416294491812153,0.9704,,0.32832588983624306,,,0.9704,,0.9849776695087292,0.0,,1.0,0.0296,0.6087084384909135
4,20000,25000,5000,6,0,8,204,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.31823254811904395,0.31823254811904395,0.3963589377869394,0.44634108383646903,0.31823254811904395,,,0.9424,,0.31823254811904395,0.0,,1.0,0.0576,0.5837004568646913
5,25000,30000,5000,6,0,12,437,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.29345395811726965,0.29345395811726965,0.324811247263723,0.44658550971043154,0.29345395811726965,,,0.8878,,0.29345395811726965,0.0,,1.0,0.1122,0.5441047334838792
6,30000,35000,5000,6,0,20,528,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.32504862635804876,0.32504862635804876,0.3833881654325035,0.45680419997056526,0.32504862635804876,,,0.8668,,0.32504862635804876,0.0,,1.0,0.1332,0.5202519305643772
7,35000,40000,5000,6,0,18,458,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3226575765240964,0.3226575765240964,0.3788138041969978,0.505199560508551,0.3226575765240964,,,0.907,,0.3226575765240964,0.0,,1.0,0.093,0.5567600505809733
8,40000,45000,5000,6,0,12,337,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.33426792137182737,0.33426792137182737,0.3872694636567733,0.4829582651459479,0.33426792137182737,,,0.924,,0.33426792137182737,0.0,,1.0,0.076,0.5692345863670931
9,45000,50000,5000,6,0,26,468,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.31098111138766943,0.31098111138766943,0.385114677910879,0.4402926012236993,0.31098111138766943,,,0.869,,0.31098111138766943,0.0,,1.0,0.131,0.5249203306199068
10,50000,55000,5000,6,0,23,421,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.2857743539398592,0.2857743539398592,0.3293293952892225,0.4422874584919531,0.2857743539398592,,,0.8896,,0.2857743539398592,0.0,,1.0,0.1104,0.5417263443220156
11,55000,60000,5000,6,0,14,406,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.30642491960505835,0.30642491960505835,0.3589169551645899,0.5080777411024592,0.30642491960505835,,,0.9198,,0.30642491960505835,0.0,,1.0,0.0802,0.5706224338467248
12,60000,65000,5000,6,0,28,510,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.30028123741698837,0.30028123741698837,0.36651580551603047,0.44283322008169596,0.30028123741698837,,,0.8642,,0.30028123741698837,0.0,,1.0,0.1358,0.5201491539099701
13,65000,70000,5000,6,0,21,421,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.33336551544228327,0.33336551544228327,0.38220565903943265,0.48220742165119057,0.33336551544228327,,,0.9002,,0.33336551544228327,0.0,,1.0,0.0998,0.5474741310917687
14,70000,75000,5000,6,0,15,438,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.32317746938089703,0.32317746938089703,0.3650820036895637,0.5235313025053594,0.32317746938089703,,,0.9136,,0.32317746938089703,0.0,,1.0,0.0864,0.567989622628621
15,75000,80000,5000,6,0,9,455,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3109762956018356,0.3109762956018356,0.3686966130628518,0.4718062787341293,0.3109762956018356,,,0.8898,,0.3109762956018356,0.0,,1.0,0.1102,0.5413822647669818
16,80000,85000,5000,6,0,16,410,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.32792785780322786,0.32792785780322786,0.41317556248753545,0.4451931845551865,0.32792785780322786,,,0.8804,,0.32792785780322786,0.0,,1.0,0.1196,0.5301582755632126
17,85000,90000,5000,6,0,24,393,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3208392767317973,0.3208392767317973,0.3724423266580034,0.4699352363601871,0.3208392767317973,,,0.898,,0.3208392767317973,0.0,,1.0,0.102,0.5574113920371223
18,90000,95000,5000,6,0,27,400,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.30373469437803374,0.30373469437803374,0.3380048739057942,0.46727467934852335,0.30373469437803374,,,0.9088,,0.30373469437803374,0.0,,1.0,0.0912,0.5511549901851386
19,95000,100000,5000,6,0,20,505,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3294867599909244,0.3294867599909244,0.37643856519130064,0.48507805559343137,0.3294867599909244,,,0.8804,,0.3294867599909244,0.0,,1.0,0.1196,0.5287960607911752
20,100000,105000,5000,6,0,18,331,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.31241421901673133,0.31241421901673133,0.34238629423129874,0.49194666133653686,0.31241421901673133,,,0.9208,,0.31241421901673133,0.0,,1.0,0.0792,0.5503897442728796
21,105000,110000,5000,6,0,15,375,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3498511184896009,0.3498511184896009,0.39630286869002296,0.5079670236794485,0.3498511184896009,,,0.918,,0.3498511184896009,0.0,,1.0,0.082,0.567914666531612
22,110000,115000,5000,6,0,13,527,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3051519098502628,0.3051519098502628,0.3256191917556658,0.4687350231974753,0.3051519098502628,,,0.8768,,0.3051519098502628,0.0,,1.0,0.1232,0.533207740767767
23,115000,120000,5000,6,0,15,364,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3559273924273378,0.3559273924273378,0.42216731083956255,0.4839112100893669,0.3559273924273378,,,0.9034,,0.3559273924273378,0.0,,1.0,0.0966,0.5524000562975847
