evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,1,0,0,0,False,Benign,0.9884685413716366,0.16474475689527276,0.9772,,0.32948951379054553,,,0.9772,,0.9884685413716366,0.0,,1.0,0.0228,0.6309279315119193
1,5000,10000,5000,1,0,0,0,False,Benign,0.9903069466882067,0.16505115778136778,0.9808,,0.33010231556273556,,,0.9808,,0.9903069466882067,0.0,,1.0,0.0192,0.6358369937466379
2,10000,15000,5000,1,0,0,0,False,Benign,0.9931534434152235,0.16552557390253725,0.9864,,0.3310511478050745,,,0.9864,,0.9931534434152235,0.0,,1.0,0.0136,0.6226061174652402
3,15000,20000,5000,1,0,0,0,False,Benign,0.9849776695087292,0.16416294491812153,0.9704,,0.32832588983624306,,,0.9704,,0.9849776695087292,0.0,,1.0,0.0296,0.6087084384909135
4,20000,25000,5000,6,0,8,204,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.31469317481975706,0.31469317481975706,0.39408248357590203,0.44726165866031214,0.31469317481975706,,,0.943,,0.31469317481975706,0.0,,1.0,0.057,0.5858425774247003
5,25000,30000,5000,6,0,12,437,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.2948027162186343,0.2948027162186343,0.32750830329411235,0.4552632585092469,0.2948027162186343,,,0.8908,,0.2948027162186343,0.0,,1.0,0.1092,0.5485660736900007
6,30000,35000,5000,6,0,20,528,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.32593665797739807,0.32593665797739807,0.38580691915939674,0.4630224637029728,0.32593665797739807,,,0.869,,0.32593665797739807,0.0,,1.0,0.131,0.5235300319592338
7,35000,40000,5000,6,0,18,458,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3262065424045182,0.3262065424045182,0.382675294362156,0.5163512116762841,0.3262065424045182,,,0.9096,,0.3262065424045182,0.0,,1.0,0.0904,0.5604424852517222
8,40000,45000,5000,6,0,12,337,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.33357911185471073,0.33357911185471073,0.38744817550179445,0.4858533875509948,0.33357911185471073,,,0.925,,0.33357911185471073,0.0,,1.0,0.075,0.5721934899756738
9,45000,50000,5000,6,0,26,468,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.314563988105301,0.314563988105301,0.38891820585714604,0.44654012467984355,0.314563988105301,,,0.871,,0.314563988105301,0.0,,1.0,0.129,0.5284358441080166
10,50000,55000,5000,6,0,23,421,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.2874371500545109,0.2874371500545109,0.33155161751144474,0.4459326179332357,0.2874371500545109,,,0.89,,0.2874371500545109,0.0,,1.0,0.11,0.5448838926684211
11,55000,60000,5000,6,0,14,406,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3038310287255805,0.3038310287255805,0.3579467558372997,0.503248978781297,0.3038310287255805,,,0.9188,,0.3038310287255805,0.0,,1.0,0.0812,0.5705347307141788
12,60000,65000,5000,6,0,28,510,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.30049123203291556,0.30049123203291556,0.36802855327614675,0.44819452358144385,0.30049123203291556,,,0.8664,,0.30049123203291556,0.0,,1.0,0.1336,0.5232858645271659
13,65000,70000,5000,6,0,21,421,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3408135977543796,0.3408135977543796,0.38900174820429756,0.4940426861872668,0.3408135977543796,,,0.903,,0.3408135977543796,0.0,,1.0,0.097,0.5514897936429397
14,70000,75000,5000,6,0,15,438,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.32149960564959706,0.32149960564959706,0.3615236459522708,0.528262963199637,0.32149960564959706,,,0.9148,,0.32149960564959706,0.0,,1.0,0.0852,0.5699381623498895
15,75000,80000,5000,6,0,9,455,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.30923196646488804,0.30923196646488804,0.3693779092626472,0.4694159440494788,0.30923196646488804,,,0.8884,,0.30923196646488804,0.0,,1.0,0.1116,0.5408475249939678
16,80000,85000,5000,6,0,16,410,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.32457078282593366,0.32457078282593366,0.410675303124531,0.4451960589692047,0.32457078282593366,,,0.8808,,0.32457078282593366,0.0,,1.0,0.1192,0.5326792154685939
17,85000,90000,5000,6,0,24,393,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.31731470654263555,0.31731470654263555,0.37140898999410465,0.47220009195759455,0.31731470654263555,,,0.8994,,0.31731470654263555,0.0,,1.0,0.1006,0.5601668666310483
18,90000,95000,5000,6,0,27,400,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.31233959670534894,0.31233959670534894,0.3461413799770829,0.48360722289927005,0.31233959670534894,,,0.9116,,0.31233959670534894,0.0,,1.0,0.0884,0.5557426079676461
19,95000,100000,5000,6,0,20,505,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3298419998918984,0.3298419998918984,0.37647564342637657,0.48341441252235945,0.3298419998918984,,,0.8806,,0.3298419998918984,0.0,,1.0,0.1194,0.529774322393364
20,100000,105000,5000,6,0,18,331,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3124421104828952,0.3124421104828952,0.3463188517620572,0.49725867995537293,0.3124421104828952,,,0.9212,,0.3124421104828952,0.0,,1.0,0.0788,0.5536983715290766
21,105000,110000,5000,6,0,15,375,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.34910036784421755,0.34910036784421755,0.39748605187320624,0.5112925691784956,0.34910036784421755,,,0.9186,,0.34910036784421755,0.0,,1.0,0.0814,0.5696872859487232
22,110000,115000,5000,6,0,13,527,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3072533871822419,0.3072533871822419,0.33014014463342617,0.4755077542878311,0.3072533871822419,,,0.8784,,0.3072533871822419,0.0,,1.0,0.1216,0.5358988420198681
23,115000,120000,5000,6,0,15,364,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3587648838179451,0.3587648838179451,0.4266206452363066,0.4944406029114583,0.3587648838179451,,,0.9054,,0.3587648838179451,0.0,,1.0,0.0946,0.5559961112970837
