evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,1,0,0,0,False,Benign,0.9884685413716366,0.16474475689527276,0.9772,,0.32948951379054553,,,0.9772,,0.9884685413716366,0.0,,1.0,0.0228,0.6309279315119193
1,5000,10000,5000,1,0,0,0,False,Benign,0.9903069466882067,0.16505115778136778,0.9808,,0.33010231556273556,,,0.9808,,0.9903069466882067,0.0,,1.0,0.0192,0.6358369937466379
2,10000,15000,5000,1,0,0,0,False,Benign,0.9931534434152235,0.16552557390253725,0.9864,,0.3310511478050745,,,0.9864,,0.9931534434152235,0.0,,1.0,0.0136,0.6226061174652402
3,15000,20000,5000,1,0,0,0,False,Benign,0.9849776695087292,0.16416294491812153,0.9704,,0.32832588983624306,,,0.9704,,0.9849776695087292,0.0,,1.0,0.0296,0.6087084384909135
4,20000,25000,5000,6,0,8,204,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3148972232641741,0.3148972232641741,0.39594192360845737,0.4372983523914158,0.3148972232641741,,,0.94,,0.3148972232641741,0.0,,1.0,0.06,0.5800769072662495
5,25000,30000,5000,6,0,12,437,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.29174207136185776,0.29174207136185776,0.32397736604522637,0.44176948559812557,0.29174207136185776,,,0.8856,,0.29174207136185776,0.0,,1.0,0.1144,0.5407965512773973
6,30000,35000,5000,6,0,20,528,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.319966476252138,0.319966476252138,0.37998618589711225,0.4484918217854418,0.319966476252138,,,0.8638,,0.319966476252138,0.0,,1.0,0.1362,0.5161468392436539
7,35000,40000,5000,6,0,18,458,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.32392833615307465,0.32392833615307465,0.3804518250491296,0.5049422556693148,0.32392833615307465,,,0.9064,,0.32392833615307465,0.0,,1.0,0.0936,0.5547812506049595
8,40000,45000,5000,6,0,12,337,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3329510808774186,0.3329510808774186,0.3868405552287227,0.4745375779865048,0.3329510808774186,,,0.9216,,0.3329510808774186,0.0,,1.0,0.0784,0.5654866683057262
9,45000,50000,5000,6,0,26,468,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.30795690921165797,0.30795690921165797,0.38568994432861986,0.4366883729210189,0.30795690921165797,,,0.867,,0.30795690921165797,0.0,,1.0,0.133,0.5218767439995335
10,50000,55000,5000,6,0,23,421,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.28266988335246873,0.28266988335246873,0.3321757149198745,0.43814952464406887,0.28266988335246873,,,0.8874,,0.28266988335246873,0.0,,1.0,0.1126,0.5382621977262055
11,55000,60000,5000,6,0,14,406,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3025831757598534,0.3025831757598534,0.35655138610877257,0.4981722507438061,0.3025831757598534,,,0.917,,0.3025831757598534,0.0,,1.0,0.083,0.5664988217908581
12,60000,65000,5000,6,0,28,510,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.2959724571847468,0.2959724571847468,0.3635528257523837,0.43796853600957175,0.2959724571847468,,,0.8626,,0.2959724571847468,0.0,,1.0,0.1374,0.517466944430261
13,65000,70000,5000,6,0,21,421,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.32660846557337797,0.32660846557337797,0.3753149805432088,0.47440361224156075,0.32660846557337797,,,0.8972,,0.32660846557337797,0.0,,1.0,0.1028,0.5432599766072599
14,70000,75000,5000,6,0,15,438,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.303861474220605,0.303861474220605,0.35304555331998233,0.5012733787086123,0.303861474220605,,,0.9084,,0.303861474220605,0.0,,1.0,0.0916,0.5611539623358741
15,75000,80000,5000,6,0,9,455,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3072296682512236,0.3072296682512236,0.36688656539141795,0.46495199739846965,0.3072296682512236,,,0.887,,0.3072296682512236,0.0,,1.0,0.113,0.5374348843998459
16,80000,85000,5000,6,0,16,410,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.32218748177816753,0.32218748177816753,0.40752144899028475,0.43487414566695815,0.32218748177816753,,,0.8776,,0.32218748177816753,0.0,,1.0,0.1224,0.5260739717463708
17,85000,90000,5000,6,0,24,393,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3151386317137407,0.3151386317137407,0.36961129147775046,0.46341157367085717,0.3151386317137407,,,0.8954,,0.3151386317137407,0.0,,1.0,0.1046,0.5535706375838585
18,90000,95000,5000,6,0,27,400,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.2997139873872883,0.2997139873872883,0.3339754160592008,0.4623055741290295,0.2997139873872883,,,0.907,,0.2997139873872883,0.0,,1.0,0.093,0.5477550850502814
19,95000,100000,5000,6,0,20,505,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.32292928745182153,0.32292928745182153,0.3686820845918904,0.47882088979466153,0.32292928745182153,,,0.8774,,0.32292928745182153,0.0,,1.0,0.1226,0.5245859437312014
20,100000,105000,5000,6,0,18,331,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.30821536105244984,0.30821536105244984,0.3406351856586009,0.4827843142198527,0.30821536105244984,,,0.9182,,0.30821536105244984,0.0,,1.0,0.0818,0.5459856613821549
21,105000,110000,5000,6,0,15,375,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.34674908497885143,0.34674908497885143,0.39786886338358246,0.5016885931816152,0.34674908497885143,,,0.916,,0.34674908497885143,0.0,,1.0,0.084,0.5646418846156054
22,110000,115000,5000,6,0,13,527,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.29901375169964844,0.29901375169964844,0.32015882009811103,0.459237101495464,0.29901375169964844,,,0.8738,,0.29901375169964844,0.0,,1.0,0.1262,0.5290736582655962
23,115000,120000,5000,6,0,15,364,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3472379728590805,0.3472379728590805,0.41323510155953186,0.4756879199264966,0.3472379728590805,,,0.901,,0.3472379728590805,0.0,,1.0,0.099,0.5486735550910405
