evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,1,0,0,0,False,Benign,0.9901030094930318,0.16501716824883864,0.9804,,0.33003433649767727,,,0.9804,,0.9901030094930318,0.0,,1.0,0.0196,0.639810223144315
1,5000,10000,5000,1,0,0,0,False,Benign,0.9912236457177444,0.1652039409529574,0.9826,,0.3304078819059148,,,0.9826,,0.9912236457177444,0.0,,1.0,0.0174,0.6433323424062669
2,10000,15000,5000,1,0,0,0,False,Benign,0.9934574735782586,0.16557624559637643,0.987,,0.33115249119275286,,,0.987,,0.9934574735782586,0.0,,1.0,0.013,0.6288938017917374
3,15000,20000,5000,1,0,0,0,False,Benign,0.9883662114314619,0.16472770190524363,0.977,,0.32945540381048727,,,0.977,,0.9883662114314619,0.0,,1.0,0.023,0.6203877156248097
4,20000,25000,5000,6,0,8,204,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.39205230466577556,0.39205230466577556,0.4529798483438292,0.510473102868492,0.39205230466577556,,,0.952,,0.39205230466577556,0.0,,1.0,0.048,0.6018494247941057
5,25000,30000,5000,6,0,12,437,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.2846611333536744,0.2846611333536744,0.32233288872767213,0.4278594375290121,0.2846611333536744,,,0.8872,,0.2846611333536744,0.0,,1.0,0.1128,0.5503516429298779
6,30000,35000,5000,6,0,20,528,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.31242010773462364,0.31242010773462364,0.3621917243248179,0.4227485836109753,0.31242010773462364,,,0.864,,0.31242010773462364,0.0,,1.0,0.136,0.5237739725071984
7,35000,40000,5000,6,0,18,458,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3605083094303187,0.3605083094303187,0.41089626505300386,0.5394631903054711,0.3605083094303187,,,0.9164,,0.3605083094303187,0.0,,1.0,0.0836,0.5735665392423884
8,40000,45000,5000,6,0,12,337,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3282410894970247,0.3282410894970247,0.39550730463707945,0.48124269053836605,0.3282410894970247,,,0.9284,,0.3282410894970247,0.0,,1.0,0.0716,0.5818979254826601
9,45000,50000,5000,6,0,26,468,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3047019769115483,0.3047019769115483,0.3652173627390531,0.4093488864492489,0.3047019769115483,,,0.8682,,0.3047019769115483,0.0,,1.0,0.1318,0.5309796354021128
10,50000,55000,5000,6,0,23,421,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3356399049187219,0.3356399049187219,0.3759642934478171,0.48495052923287774,0.3356399049187219,,,0.9034,,0.3356399049187219,0.0,,1.0,0.0966,0.5628723275784578
11,55000,60000,5000,6,0,14,406,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.30767244227519924,0.30767244227519924,0.3631519867434987,0.5048224017122483,0.30767244227519924,,,0.9216,,0.30767244227519924,0.0,,1.0,0.0784,0.5802140081387559
12,60000,65000,5000,6,0,28,510,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3119562008947322,0.3119562008947322,0.37042605664019407,0.4300596916345081,0.3119562008947322,,,0.8684,,0.3119562008947322,0.0,,1.0,0.1316,0.5320797316628084
13,65000,70000,5000,6,0,21,421,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.34714109303929724,0.34714109303929724,0.39594880387491255,0.46325185708627753,0.34714109303929724,,,0.902,,0.34714109303929724,0.0,,1.0,0.098,0.5567332679858701
14,70000,75000,5000,6,0,15,438,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3414575359362193,0.3414575359362193,0.365684071000048,0.5462989355120986,0.3414575359362193,,,0.92,,0.3414575359362193,0.0,,1.0,0.08,0.5812575632643814
15,75000,80000,5000,6,0,9,455,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.32423959791320794,0.32423959791320794,0.40187545109314726,0.47740407603708485,0.32423959791320794,,,0.8952,,0.32423959791320794,0.0,,1.0,0.1048,0.5531316257968112
