evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,1,0,0,0,False,Benign,0.9952778056867276,0.16587963428112126,0.9906,,0.3317592685622425,,,0.9906,,0.9952778056867276,0.0,,1.0,0.0094,0.6466100897692233
1,5000,10000,5000,1,0,0,0,False,Benign,0.9954796584630838,0.16591327641051398,0.991,,0.33182655282102796,,,0.991,,0.9954796584630838,0.0,,1.0,0.009,0.6476660643867748
2,10000,15000,5000,1,0,0,0,False,Benign,0.9970915655400662,0.16618192759001102,0.9942,,0.33236385518002204,,,0.9942,,0.9970915655400662,0.0,,1.0,0.0058,0.6369209084591225
3,15000,20000,5000,1,0,0,0,False,Benign,0.9912236457177444,0.1652039409529574,0.9826,,0.3304078819059148,,,0.9826,,0.9912236457177444,0.0,,1.0,0.0174,0.6261803315201793
4,20000,25000,5000,6,0,8,204,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3148832463393811,0.3148832463393811,0.3554901535994475,0.46793104055455803,0.3148832463393811,,,0.9498,,0.3148832463393811,0.0,,1.0,0.0502,0.5970409449082429
5,25000,30000,5000,6,0,12,437,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.27827260304012585,0.27827260304012585,0.3213672474249397,0.4443705092568424,0.27827260304012585,,,0.8946,,0.27827260304012585,0.0,,1.0,0.1054,0.5555038334600614
6,30000,35000,5000,6,0,20,528,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3010620209478334,0.3010620209478334,0.35524724104171157,0.4394715729478861,0.3010620209478334,,,0.8718,,0.3010620209478334,0.0,,1.0,0.1282,0.5301609974449776
7,35000,40000,5000,6,0,18,458,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.33984201030671524,0.33984201030671524,0.3672468661728738,0.5412011165813745,0.33984201030671524,,,0.9198,,0.33984201030671524,0.0,,1.0,0.0802,0.5724059007453135
8,40000,45000,5000,6,0,12,337,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.31537850595572553,0.31537850595572553,0.36536476034668136,0.49764748228731526,0.31537850595572553,,,0.9328,,0.31537850595572553,0.0,,1.0,0.0672,0.5815938039197276
9,45000,50000,5000,6,0,26,468,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.28905538444184964,0.28905538444184964,0.3648864381177397,0.4188633613900611,0.28905538444184964,,,0.873,,0.28905538444184964,0.0,,1.0,0.127,0.5352030470045626
10,50000,55000,5000,6,0,23,421,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.2849274009514878,0.2849274009514878,0.31844457163714013,0.45617918035563465,0.2849274009514878,,,0.901,,0.2849274009514878,0.0,,1.0,0.099,0.5618652722608696
11,55000,60000,5000,6,0,14,406,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3153189402893792,0.3153189402893792,0.36705441409986084,0.5280592112185449,0.3153189402893792,,,0.927,,0.3153189402893792,0.0,,1.0,0.073,0.580798768115316
12,60000,65000,5000,6,0,28,510,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.28019410091761515,0.28019410091761515,0.34150472779837276,0.42465339480098546,0.28019410091761515,,,0.8706,,0.28019410091761515,0.0,,1.0,0.1294,0.5318983966661288
13,65000,70000,5000,6,0,21,421,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3183728644845854,0.3183728644845854,0.35651293256960076,0.4631244168565422,0.3183728644845854,,,0.9046,,0.3183728644845854,0.0,,1.0,0.0954,0.5548709577048295
14,70000,75000,5000,6,0,15,438,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3276806661405494,0.3276806661405494,0.34757509174903084,0.5568163554962008,0.3276806661405494,,,0.9246,,0.3276806661405494,0.0,,1.0,0.0754,0.5837291292041643
15,75000,80000,5000,6,0,9,455,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.2993791170781425,0.2993791170781425,0.354788263920404,0.46705140005580925,0.2993791170781425,,,0.8958,,0.2993791170781425,0.0,,1.0,0.1042,0.550040671569726
16,80000,85000,5000,6,0,16,410,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3078476719591064,0.3078476719591064,0.36778850376807787,0.4072168063606002,0.3078476719591064,,,0.8856,,0.3078476719591064,0.0,,1.0,0.1144,0.5399511742072602
17,85000,90000,5000,6,0,24,393,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3210820836047419,0.3210820836047419,0.35842140517411236,0.4790495436805258,0.3210820836047419,,,0.909,,0.3210820836047419,0.0,,1.0,0.091,0.5713332944684198
18,90000,95000,5000,6,0,27,400,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3217925861642719,0.3217925861642719,0.3597108402466917,0.5008115881230001,0.3217925861642719,,,0.9206,,0.3217925861642719,0.0,,1.0,0.0794,0.567404956015135
19,95000,100000,5000,6,0,20,505,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.28054720795742305,0.28054720795742305,0.33020708176734814,0.4267672231990361,0.28054720795742305,,,0.8766,,0.28054720795742305,0.0,,1.0,0.1234,0.5283036918551368
20,100000,105000,5000,6,0,18,331,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.28370380274788426,0.28370380274788426,0.3148605109169771,0.4698959835934858,0.28370380274788426,,,0.924,,0.28370380274788426,0.0,,1.0,0.076,0.5591367757466593
21,105000,110000,5000,6,0,15,375,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3930507933356298,0.3930507933356298,0.40646950531517884,0.5404293319379387,0.3930507933356298,,,0.9308,,0.3930507933356298,0.0,,1.0,0.0692,0.582895760290695
22,110000,115000,5000,6,0,13,527,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.2865732950813021,0.2865732950813021,0.3039033574487679,0.4384316807833896,0.2865732950813021,,,0.8798,,0.2865732950813021,0.0,,1.0,0.1202,0.5395125215284838
23,115000,120000,5000,6,0,15,364,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.34660530862304634,0.34660530862304634,0.4046301274456568,0.47253473193281526,0.34660530862304634,,,0.9108,,0.34660530862304634,0.0,,1.0,0.0892,0.5637606834082302
