window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,queried_label_counts,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
0,0,500,500,0.0,0.9868287740628167,0.16447146234380278,0.974,,0.49341438703140833,,,0.974,,0.9868287740628167,0.0,,1.0,0.026,0.6232534418405835,False,warmup,0.043887351906205754,0.0,0,{},0,False,0.3300804536920476,0.0
1,500,1000,500,0.0,0.9929506545820745,0.1654917757636791,0.986,,0.49647532729103727,,,0.986,,0.9929506545820745,0.0,,1.0,0.014,0.6426790675047269,False,warmup,0.08045826567319081,0.0,0,{},0,False,0.3300804536920476,0.0
2,1000,1500,500,0.0,0.9909182643794148,0.1651530440632358,0.982,,0.3303060881264716,,,0.982,,0.9909182643794148,0.0,,1.0,0.018,0.6355817625089459,False,warmup,0.0936190478968353,0.0,0,{},0,False,0.3300804536920476,0.0
3,1500,2000,500,0.0,0.9878542510121457,0.16464237516869096,0.976,,0.3292847503373819,,,0.976,,0.9878542510121457,0.0,,1.0,0.024,0.6352008879406927,False,warmup,0.06469154277943685,0.0,0,{},0,False,0.3300804536920476,0.0
4,2000,2500,500,0.0,0.982706002034588,0.16378433367243134,0.966,,0.491353001017294,,,0.966,,0.982706002034588,0.0,,1.0,0.034,0.632631814861192,False,warmup,0.10358824534649702,0.0,0,{},0,False,0.3300804536920476,0.0
5,2500,3000,500,0.0,0.9919354838709677,0.16532258064516128,0.984,,0.4959677419354839,,,0.984,,0.9919354838709677,0.0,,1.0,0.016,0.6361561497422776,False,warmup,0.07318934782579847,0.0,0,{},0,False,0.3300804536920476,0.0
6,3000,3500,500,0.0,0.9878542510121457,0.16464237516869096,0.976,,0.3292847503373819,,,0.976,,0.9878542510121457,0.0,,1.0,0.024,0.6381300938584117,False,warmup,0.03249980131334251,0.0,0,{},0,False,0.3300804536920476,0.0
7,3500,4000,500,0.0,0.9816700610997964,0.16361167684996605,0.964,,0.3272233536999321,,,0.964,,0.9816700610997964,0.0,,1.0,0.036,0.6169482588607885,False,warmup,0.11512248424886691,0.0,0,{},0,False,0.3300804536920476,0.0
8,4000,4500,500,0.0,0.9909182643794148,0.1651530440632358,0.982,,0.4954591321897074,,,0.982,,0.9909182643794148,0.0,,1.0,0.018,0.653798295921626,False,warmup,0.08583677243349701,0.0,0,{},0,False,0.3300804536920476,0.0
9,4500,5000,500,0.0,0.983739837398374,0.16395663956639567,0.968,,0.32791327913279134,,,0.968,,0.983739837398374,0.0,,1.0,0.032,0.6283462428539461,False,warmup,0.05283972340114401,0.0,0,{},0,False,0.3300804536920476,0.0
10,5000,5500,500,0.0,0.98989898989899,0.16498316498316498,0.98,,0.32996632996632996,,,0.98,,0.98989898989899,0.0,,1.0,0.02,0.6409137252529031,False,warmup,0.0716241244422372,0.0,0,{},0,False,0.3300804536920476,0.0
11,5500,6000,500,0.0,0.9888776541961577,0.16481294236602628,0.978,,0.49443882709807885,,,0.978,,0.9888776541961577,0.0,,1.0,0.022,0.6469536314340188,False,warmup,0.0771574980261164,0.0,0,{},0,False,0.3300804536920476,0.0
12,6000,6500,500,0.0,0.9959839357429718,0.16599732262382863,0.992,,0.4979919678714859,,,0.992,,0.9959839357429718,0.0,,1.0,0.008,0.6392556541001373,False,warmup,0.0678386202543863,0.0,0,{},0,False,0.3300804536920476,0.0
13,6500,7000,500,0.0,0.9816700610997964,0.16361167684996605,0.964,,0.3272233536999321,,,0.964,,0.9816700610997964,0.0,,1.0,0.036,0.6168893151029772,False,warmup,0.05888638400422812,0.0,0,{},0,False,0.3300804536920476,0.0
