evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,1,0,0,0,False,Benign,0.9873417721518988,0.16455696202531647,0.975,,0.32911392405063294,,,0.975,,0.9873417721518988,0.0,,1.0,0.025,0.6249663108295588
1,5000,10000,5000,1,0,0,0,False,Benign,0.98989898989899,0.16498316498316498,0.98,,0.32996632996632996,,,0.98,,0.98989898989899,0.0,,1.0,0.02,0.6311958830559301
2,10000,15000,5000,1,0,0,0,False,Benign,0.9920370930349763,0.1653395155058294,0.9842,,0.3306790310116588,,,0.9842,,0.9920370930349763,0.0,,1.0,0.0158,0.61804674539405
3,15000,20000,5000,1,0,0,0,False,Benign,0.9832231825114387,0.1638705304185731,0.967,,0.3277410608371462,,,0.967,,0.9832231825114387,0.0,,1.0,0.033,0.6026840152185691
4,20000,25000,5000,6,0,8,204,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.32227829732962815,0.32227829732962815,0.3864655437192334,0.4446659443989816,0.32227829732962815,,,0.9412,,0.32227829732962815,0.0,,1.0,0.0588,0.580685947517367
5,25000,30000,5000,6,0,12,437,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.2850990357255899,0.2850990357255899,0.33102302125290634,0.4407010041602539,0.2850990357255899,,,0.886,,0.2850990357255899,0.0,,1.0,0.114,0.5419175573249193
6,30000,35000,5000,6,0,20,528,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.31117931210706157,0.31117931210706157,0.3767938720229842,0.45611699627647806,0.31117931210706157,,,0.866,,0.31117931210706157,0.0,,1.0,0.134,0.5182297600355635
7,35000,40000,5000,6,0,18,458,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3395116098506372,0.3395116098506372,0.37812166435282385,0.510923624864382,0.3395116098506372,,,0.9068,,0.3395116098506372,0.0,,1.0,0.0932,0.5532498869820265
8,40000,45000,5000,6,0,12,337,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.33611597057246795,0.33611597057246795,0.38615871474427427,0.4727661938057936,0.33611597057246795,,,0.9214,,0.33611597057246795,0.0,,1.0,0.0786,0.5635783499679602
9,45000,50000,5000,6,0,26,468,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.30626060076627,0.30626060076627,0.39606340341887575,0.4447027431789737,0.30626060076627,,,0.8676,,0.30626060076627,0.0,,1.0,0.1324,0.5226622017647697
10,50000,55000,5000,6,0,23,421,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.27740172869929497,0.27740172869929497,0.31602054887527437,0.4443545261489884,0.27740172869929497,,,0.8898,,0.27740172869929497,0.0,,1.0,0.1102,0.5381512450870753
11,55000,60000,5000,6,0,14,406,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.32565662290621566,0.32565662290621566,0.3814404018238658,0.5071468534029809,0.32565662290621566,,,0.9178,,0.32565662290621566,0.0,,1.0,0.0822,0.5661035636593174
