evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,1,0,0,0,False,Benign,0.9884685413716366,0.16474475689527276,0.9772,,0.32948951379054553,,,0.9772,,0.9884685413716366,0.0,,1.0,0.0228,0.6309279315119193
1,5000,10000,5000,1,0,0,0,False,Benign,0.9903069466882067,0.16505115778136778,0.9808,,0.33010231556273556,,,0.9808,,0.9903069466882067,0.0,,1.0,0.0192,0.6358369937466379
2,10000,15000,5000,1,0,0,0,False,Benign,0.9931534434152235,0.16552557390253725,0.9864,,0.3310511478050745,,,0.9864,,0.9931534434152235,0.0,,1.0,0.0136,0.6226061174652402
3,15000,20000,5000,1,0,0,0,False,Benign,0.9849776695087292,0.16416294491812153,0.9704,,0.32832588983624306,,,0.9704,,0.9849776695087292,0.0,,1.0,0.0296,0.6087084384909135
4,20000,25000,5000,6,0,8,204,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3188510200876145,0.3188510200876145,0.3963936889684796,0.44714601665511566,0.3188510200876145,,,0.9426,,0.3188510200876145,0.0,,1.0,0.0574,0.5831531633900543
5,25000,30000,5000,6,0,12,437,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.2934347500011447,0.2934347500011447,0.32477472158617166,0.44615932337111114,0.2934347500011447,,,0.8876,,0.2934347500011447,0.0,,1.0,0.1124,0.5431754389918291
6,30000,35000,5000,6,0,20,528,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.32415967745748847,0.32415967745748847,0.3823092298332191,0.45513530219703335,0.32415967745748847,,,0.8664,,0.32415967745748847,0.0,,1.0,0.1336,0.5191225758526644
7,35000,40000,5000,6,0,18,458,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3215021812362278,0.3215021812362278,0.3778663628300836,0.5030724428832822,0.3215021812362278,,,0.9066,,0.3215021812362278,0.0,,1.0,0.0934,0.5555825719747544
8,40000,45000,5000,6,0,12,337,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.33177487163014535,0.33177487163014535,0.38474615909871446,0.47816699000216745,0.33177487163014535,,,0.9234,,0.33177487163014535,0.0,,1.0,0.0766,0.5677794223140292
9,45000,50000,5000,6,0,26,468,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.31072522592493784,0.31072522592493784,0.38504112686645414,0.43957142448960207,0.31072522592493784,,,0.8686,,0.31072522592493784,0.0,,1.0,0.1314,0.5238317956057633
10,50000,55000,5000,6,0,23,421,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.2864679989463849,0.2864679989463849,0.3294385894364162,0.44365222800702364,0.2864679989463849,,,0.8902,,0.2864679989463849,0.0,,1.0,0.1098,0.5415121061572445
11,55000,60000,5000,6,0,14,406,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.30659938275198584,0.30659938275198584,0.3589532343693496,0.508768271713453,0.30659938275198584,,,0.92,,0.30659938275198584,0.0,,1.0,0.08,0.5699917515338645
12,60000,65000,5000,6,0,28,510,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3017888441720257,0.3017888441720257,0.36769447755231605,0.4440770813318129,0.3017888441720257,,,0.8646,,0.3017888441720257,0.0,,1.0,0.1354,0.5197991657582889
13,65000,70000,5000,6,0,21,421,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3338776114136796,0.3338776114136796,0.3822784551375618,0.4838155879022454,0.3338776114136796,,,0.9006,,0.3338776114136796,0.0,,1.0,0.0994,0.547055579737732
14,70000,75000,5000,6,0,15,438,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.321911900367493,0.321911900367493,0.36401027331813635,0.5213174200800064,0.321911900367493,,,0.9132,,0.321911900367493,0.0,,1.0,0.0868,0.5662825722696438
15,75000,80000,5000,6,0,9,455,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3112843850971269,0.3112843850971269,0.3686966130628518,0.47187017689735133,0.3112843850971269,,,0.8898,,0.3112843850971269,0.0,,1.0,0.1102,0.5405692194348355
16,80000,85000,5000,6,0,16,410,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3271897123834065,0.3271897123834065,0.4118165003441596,0.4425924453299601,0.3271897123834065,,,0.88,,0.3271897123834065,0.0,,1.0,0.12,0.5289777886157384
17,85000,90000,5000,6,0,24,393,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.32105732464833664,0.32105732464833664,0.3724423266580034,0.47060303815592164,0.32105732464833664,,,0.898,,0.32105732464833664,0.0,,1.0,0.102,0.5566884955822649
18,90000,95000,5000,6,0,27,400,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3036842471411962,0.3036842471411962,0.3379686420217362,0.46673013333503266,0.3036842471411962,,,0.9086,,0.3036842471411962,0.0,,1.0,0.0914,0.5500274279676456
19,95000,100000,5000,6,0,20,505,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.3308667306169324,0.3308667306169324,0.3772807964054426,0.48644597017754176,0.3308667306169324,,,0.8808,,0.3308667306169324,0.0,,1.0,0.1192,0.5283571354071255
20,100000,105000,5000,6,0,18,331,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.31353857877989716,0.31353857877989716,0.34242199066879425,0.4926125046020138,0.31353857877989716,,,0.921,,0.31353857877989716,0.0,,1.0,0.079,0.5495356342345986
21,105000,110000,5000,6,0,15,375,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.350073194365829,0.350073194365829,0.39633890472605904,0.5085771453215099,0.350073194365829,,,0.9182,,0.350073194365829,0.0,,1.0,0.0818,0.5672688353103444
22,110000,115000,5000,6,0,13,527,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.30576303707216496,0.30576303707216496,0.3255819311550249,0.46743810576880984,0.30576303707216496,,,0.8766,,0.30576303707216496,0.0,,1.0,0.1234,0.5322509034591824
23,115000,120000,5000,6,0,15,364,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,0.35598421345171,0.35598421345171,0.42216731083956255,0.4846073707918019,0.35598421345171,,,0.9034,,0.35598421345171,0.0,,1.0,0.0966,0.5515747965106029
