evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,1,0,0,0,False,Benign,0.8258776564518022,0.2752925521506007,0.7034,,0.20646941411295056,,,0.7034,,,,,0.8258776564518022,0.8258776564518022,0.0338,,0.9662,0.2719933761126061,0.4070368798597656
1,5000,10000,5000,1,0,0,0,False,Benign,0.8370740783812071,0.2790246927937357,0.7198,,0.20926851959530177,,,0.7198,,,,,0.8370740783812071,0.8370740783812071,0.0476,,0.9524,0.24422511549769005,0.42373746346009045
2,10000,15000,5000,1,0,0,0,False,Benign,0.8532110091743119,0.28440366972477066,0.744,,0.21330275229357798,,,0.744,,,,,0.8532110091743119,0.8532110091743119,0.0238,,0.9762,0.23786109403810696,0.4345890984823858
3,15000,20000,5000,1,0,0,0,False,Benign,0.8374796558939781,0.2791598852979927,0.7204,,0.20936991397349453,,,0.7204,,,,,0.8374796558939781,0.8374796558939781,0.0356,,0.9644,0.2530070510161759,0.4295110285190261
4,20000,25000,5000,1,1,0,3002,True,Benign|DDoS,0.8346456692913385,0.27821522309711283,0.7162162162162162,,0.08913111180317658,0.5695534184524094,0.567650095131774,0.7162162162162162,0.0029980013324450365,0.0,0.0029980013324450365,0.997001998667555,0.41882183531189177,0.22282777950794144,0.02952952952952953,0.997001998667555,0.9864,0.7098540145985401,0.2260191495174414
5,25000,30000,5000,1,1,0,3144,True,Benign|DDoS,0.8197138314785374,0.2732379438261791,0.6945043103448276,,0.08198441723644459,0.7040546769538392,0.7197307611103798,0.6945043103448276,0.0,0.0,0.0,1.0,0.4098569157392687,0.20496104309111146,0.030711206896551723,1.0,0.9886,0.7392271899656079,0.1227614321477744
6,30000,35000,5000,1,1,0,4202,True,Benign|DDoS,0.7853881278538812,0.2617960426179604,0.6466165413533834,,0.03741841914430747,0.769784914822246,0.47582425840899256,0.6466165413533834,0.0,0.0,0.0,1.0,0.3926940639269406,0.09354604786076867,0.10651629072681704,1.0,0.983,0.8950152594099695,0.2677060502764818
7,35000,40000,5000,1,1,0,3541,True,Benign|DDoS,0.7927182457592056,0.26423941525306854,0.656614119259767,,0.06431688486069151,0.6670266979294212,0.5605912062340711,0.656614119259767,0.0,0.0,0.0,1.0,0.3963591228796028,0.16079221215172876,0.12885538039753255,1.0,0.9624,0.8009143807148794,0.2116255969922561
8,40000,45000,5000,1,1,0,2989,True,Benign|DDoS,0.7972488038277512,0.26574960127591707,0.6628543013426156,,0.08419390494236538,0.5804308499988711,0.5898275443574892,0.6628543013426156,0.0,0.0,0.0,1.0,0.3986244019138756,0.21048476235591346,0.14868224763799104,1.0,0.9402,0.7164433099340566,0.13945749645796074
9,45000,50000,5000,1,1,0,3101,True,Benign|DDoS,0.7720659553831232,0.25735531846104104,0.6287519747235387,,0.07710687762350663,0.6265011774742868,0.6351439402159932,0.6287519747235387,0.0,0.0,0.0,1.0,0.3860329776915616,0.19276719405876655,0.10689836756187467,1.0,0.9594,0.7510944340212633,0.1625734064336564
10,50000,55000,5000,1,1,0,3118,True,Benign|DDoS,0.815979867882982,0.27199328929432737,0.6891604675876727,,0.08238843893917738,0.6377279058765998,0.6384907080276397,0.6891604675876727,0.0,0.0,0.0,1.0,0.407989933941491,0.20597109734794347,0.039851222104144525,1.0,0.985,0.7366497461928934,0.1535606040443652
11,55000,60000,5000,1,1,0,3154,True,Benign|DDoS,0.810183693200129,0.27006123106670965,0.680931744312026,,0.080357999041074,0.630011360876652,0.6194867855982291,0.680931744312026,0.0,0.0,0.0,1.0,0.4050918466000645,0.200894997602685,0.047670639219934995,1.0,0.9824,0.7440960912052117,0.14957232117628083
12,60000,65000,5000,1,1,0,3161,True,Benign|DDoS,0.8139309900032248,0.2713103300010749,0.686242523110386,,0.08061322261258383,0.6346386342870236,0.6253670387070261,0.686242523110386,0.0,0.0,0.0,1.0,0.4069654950016124,0.2015330565314596,0.052202283849918436,1.0,0.9808,0.7426590538336052,0.16653958691636014
13,65000,70000,5000,1,1,0,3211,True,Benign|DDoS,0.840194489465154,0.280064829821718,0.7244270542202348,,0.08233799237611181,0.647624178105417,0.6336879288791899,0.7244270542202348,0.0,0.0,0.0,1.0,0.420097244732577,0.20584498094027953,0.044717719396310786,1.0,0.984,0.7365853658536585,0.15300888951341024
14,70000,75000,5000,1,1,0,2903,True,Benign|DDoS,0.8578431372549019,0.28594771241830064,0.7510729613733905,,0.09581749049429658,0.5851317213535663,0.621940928685912,0.7510729613733905,0.0,0.0,0.0,1.0,0.42892156862745096,0.23954372623574144,0.04482594182164998,1.0,0.9812,0.6789645332246229,0.14015667327547546
15,75000,80000,5000,1,1,0,3149,True,Benign|DDoS,0.8668503213957759,0.2889501071319253,0.7649918962722853,,0.0882793017456359,0.6553322415064857,0.662220982401349,0.7649918962722853,0.0,0.0,0.0,1.0,0.43342516069788795,0.22069825436408977,0.02215018908698001,1.0,0.9918,0.7144585601935874,0.15144367545939036
16,80000,85000,5000,1,1,0,3161,True,Benign|DDoS,0.8676108374384236,0.2892036124794745,0.7661772702555737,,0.08793883601185833,0.654641176423638,0.6538366328756241,0.7661772702555737,0.0,0.0,0.0,1.0,0.4338054187192118,0.2198470900296458,0.021207177814029365,1.0,0.9922,0.7159846805079622,0.144906375871508
17,85000,90000,5000,1,1,0,3063,True,Benign|DDoS,0.8757980266976204,0.2919326755658735,0.7790397521941146,,0.09273313873098786,0.6238251942394832,0.6339174698396149,0.7790397521941146,0.0,0.0,0.0,1.0,0.4378990133488102,0.23183284682746966,0.027878162106350027,1.0,0.9892,0.6949049737161342,0.11776920087835648
18,90000,95000,5000,1,1,0,2945,True,Benign|DDoS,0.8813282525857377,0.29377608419524587,0.7878345498783454,,0.09783955280253814,0.6236994373517565,0.6670242358899369,0.7878345498783454,0.0,0.0,0.0,1.0,0.44066412629286883,0.24459888200634536,0.0170316301703163,1.0,0.993,0.6739174219536758,0.10117702426152703
19,95000,100000,5000,1,1,0,2645,True,Benign|DDoS,0.8639652677279306,0.28798842257597684,0.7605095541401274,,0.1054925636872331,0.5724943148413595,0.6701895576720087,0.7605095541401274,0.0,0.0,0.0,1.0,0.4319826338639653,0.26373140921808275,0.019957537154989383,1.0,0.9906,0.6384009691096305,0.11536472042314058
20,100000,105000,5000,1,1,0,2973,True,Benign|DDoS,0.8567399887196842,0.2855799962398947,0.7493833251110015,,0.09320447921460347,0.6323972464981907,0.6647820849742736,0.7493833251110015,0.0,0.0,0.0,1.0,0.4283699943598421,0.23301119803650866,0.018746916625555006,1.0,0.9924,0.6938734381297864,0.10289603796225107
21,105000,110000,5000,1,1,0,3429,True,Benign|DDoS,0.8129958443520967,0.27099861478403225,0.6849140674729471,,0.07083607636603029,0.6776461505272415,0.605531803750502,0.6849140674729471,0.0,0.0,0.0,1.0,0.40649792217604835,0.17709019091507572,0.022278803309993635,1.0,0.993,0.7832829808660624,0.1592355176149764
22,110000,115000,5000,1,1,0,3097,True,Benign|DDoS,0.8406944867499239,0.28023149558330795,0.7251707829742512,,0.08652037617554859,0.6212375005731305,0.6175895137616437,0.7251707829742512,0.0,0.0,0.0,1.0,0.42034724337496193,0.21630094043887146,0.02995270625328429,1.0,0.9886,0.7208173174185717,0.12258576917673282
23,115000,120000,5000,1,1,0,3227,True,Benign|DDoS,0.8377581120943953,0.2792527040314651,0.7208121827411168,,0.08142720611659764,0.6841381688969214,0.6811171462723487,0.7208121827411168,0.0,0.0,0.0,1.0,0.41887905604719766,0.2035680152914941,0.021996615905245348,1.0,0.9922,0.7423906470469663,0.14936774717367884
