evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,1,0,0,0,False,Benign,0.8258776564518022,0.2752925521506007,0.7034,,0.20646941411295056,,,0.7034,,,,,0.8258776564518022,0.8258776564518022,0.0338,,0.9662,0.2719933761126061,0.4070368798597656
1,5000,10000,5000,1,0,0,0,False,Benign,0.8370740783812071,0.2790246927937357,0.7198,,0.20926851959530177,,,0.7198,,,,,0.8370740783812071,0.8370740783812071,0.0476,,0.9524,0.24422511549769005,0.42373746346009045
2,10000,15000,5000,1,0,0,0,False,Benign,0.8532110091743119,0.28440366972477066,0.744,,0.21330275229357798,,,0.744,,,,,0.8532110091743119,0.8532110091743119,0.0238,,0.9762,0.23786109403810696,0.4345890984823858
3,15000,20000,5000,1,0,0,0,False,Benign,0.8374796558939781,0.2791598852979927,0.7204,,0.20936991397349453,,,0.7204,,,,,0.8374796558939781,0.8374796558939781,0.0356,,0.9644,0.2530070510161759,0.4295110285190261
4,20000,25000,5000,1,1,0,3002,True,Benign|DDoS,0.7912885662431942,0.2637628554143981,0.6546546546546547,,0.3248061295004674,0.4183162373214362,0.11835753141549277,0.6546546546546547,0.8880746169220519,0.8850766155896069,0.0029980013324450365,0.11192538307794804,0.839681591582623,0.8120153237511685,0.02952952952952953,0.997001998667555,0.9864,0.19606650446066504,0.2569068606489399
5,25000,30000,5000,1,1,0,3144,True,Benign|DDoS,0.7429732475448696,0.2476577491816232,0.5910560344827587,,0.3397483202796078,0.6328659995786878,0.5236957573813283,0.5910560344827587,1.0,1.0,0.0,0.0,0.8714866237724348,0.8493708006990194,0.029094827586206896,1.0,0.9892,0.14253942579862516,0.5018683417255876
6,30000,35000,5000,1,1,0,4202,True,Benign|DDoS,0.7353407290015848,0.24511357633386158,0.581453634085213,,0.17428135814508963,0.7476378033088095,0.36383617301225457,0.581453634085213,0.4512137077582104,0.4512137077582104,0.0,0.5487862922417897,0.5932772183798976,0.43570339536272407,0.10275689223057644,1.0,0.9836,0.5201301342008947,0.28936809335490243
7,35000,40000,5000,1,1,0,3541,True,Benign|DDoS,0.7099911582670203,0.2366637194223401,0.5503769705277587,,0.24869976561873813,0.6040217722124595,0.35189522753047187,0.5503769705277587,0.6707144874329285,0.6707144874329285,0.0,0.32928551256707145,0.6903528228499745,0.6217494140468454,0.12748457847840988,1.0,0.9628,0.3398421271292065,0.23699749134105227
8,40000,45000,5000,1,1,0,2989,True,Benign|DDoS,0.7046698872785829,0.2348899624261943,0.5440079562406763,,0.33026097666395093,0.45951132299038167,0.2540650044693963,0.5440079562406763,1.0,1.0,0.0,0.0,0.8523349436392915,0.8256524416598774,0.147687717553456,1.0,0.9406,0.13183074633212843,0.4059612172680712
9,45000,50000,5000,1,1,0,3101,True,Benign|DDoS,0.7151556156968877,0.2383852052322959,0.5566087414428647,,0.3356760351567479,0.4892506072637864,0.26828934049200864,0.5566087414428647,0.9967752337955498,0.9967752337955498,0.0,0.0032247662044501773,0.8559654247462187,0.8391900878918697,0.105318588730911,1.0,0.96,0.13583333333333333,0.4101149022708106
10,50000,55000,5000,1,1,0,3118,True,Benign|DDoS,0.7192922762844505,0.23976409209481683,0.5616365568544102,,0.33398040647640226,0.5159957025012775,0.3104641112350965,0.5616365568544102,1.0,1.0,0.0,0.0,0.8596461381422252,0.8349510161910056,0.038788522848034,1.0,0.9854,0.15262837426425818,0.42356070215612895
11,55000,60000,5000,1,1,0,3154,True,Benign|DDoS,0.7113438045375218,0.23711460151250727,0.5520043336944745,,0.3313291535345087,0.5081753087650236,0.2791605493651632,0.5520043336944745,1.0,1.0,0.0,0.0,0.8556719022687609,0.8283228838362717,0.04658721560130011,1.0,0.9828,0.15079365079365079,0.41869863670420915
12,60000,65000,5000,1,1,0,3161,True,Benign|DDoS,0.7162303664921466,0.23874345549738218,0.5579119086460033,,0.33275446658380103,0.5090392943126936,0.28157418813678603,0.5579119086460033,1.0,1.0,0.0,0.0,0.8581151832460733,0.8318861664595025,0.05057096247960848,1.0,0.9814,0.14672916242103118,0.4217785720031552
13,65000,70000,5000,1,1,0,3211,True,Benign|DDoS,0.7563434132777198,0.2521144710925733,0.6081609837898267,,0.341860758631208,0.5209383138982221,0.2836217174786434,0.6081609837898267,1.0,1.0,0.0,0.0,0.8781717066388599,0.8546518965780201,0.043599776411403016,1.0,0.9844,0.12657456318569688,0.4389228451687624
14,70000,75000,5000,1,1,0,2903,True,Benign|DDoS,0.7591715976331361,0.25305719921104536,0.6118264186933715,,0.33948784247426783,0.4490891063613983,0.26274909073227815,0.6118264186933715,1.0,1.0,0.0,0.0,0.8795857988165681,0.8487196061856696,0.042441583214115404,1.0,0.9822,0.14762777438403585,0.41869032155606967
15,75000,80000,5000,1,1,0,3149,True,Benign|DDoS,0.7753886867350315,0.25846289557834384,0.6331712587790383,,0.34363434733119147,0.5098536322431035,0.2794459030067772,0.6331712587790383,0.9968243886948237,0.9968243886948237,0.0,0.0031756113051762463,0.8861065377149275,0.8590858683279787,0.02215018908698001,1.0,0.9918,0.1306715063520871,0.4334273880438737
16,80000,85000,5000,1,1,0,3161,True,Benign|DDoS,0.7421340629274966,0.2473780209758322,0.589994562262099,,0.3345595963334752,0.5185495444178322,0.2914888994283408,0.589994562262099,1.0,1.0,0.0,0.0,0.8710670314637483,0.836398990833688,0.01794453507340946,1.0,0.9934,0.14515804308435676,0.4189333098099829
17,85000,90000,5000,1,1,0,3063,True,Benign|DDoS,0.7487080103359173,0.2495693367786391,0.5983479607640682,,0.33636764928729007,0.49364885937323427,0.28728823429373623,0.5983479607640682,1.0,1.0,0.0,0.0,0.8743540051679586,0.8409191232182252,0.026845637583892617,1.0,0.9896,0.14672594987873888,0.4224463768186524
18,90000,95000,5000,1,1,0,2945,True,Benign|DDoS,0.7639097744360902,0.2546365914786967,0.6180048661800487,,0.3389975729713154,0.4777388933161969,0.30098505033480805,0.6180048661800487,1.0,1.0,0.0,0.0,0.8819548872180452,0.8474939324282885,0.01654501216545012,1.0,0.9932,0.15122835279903343,0.4280130549913992
19,95000,100000,5000,1,1,0,2645,True,Benign|DDoS,0.7756693527423967,0.2585564509141322,0.6335456475583864,,0.3412703941234265,0.4150923165457472,0.2890522116399568,0.6335456475583864,1.0,1.0,0.0,0.0,0.8878346763711984,0.8531759853085663,0.019532908704883226,1.0,0.9908,0.16491723859507468,0.4251292896459558
20,100000,105000,5000,1,1,0,2973,True,Benign|DDoS,0.7591062136516682,0.25303540455055606,0.6117414898865319,,0.33714759497265334,0.48660167265134263,0.30712973246639586,0.6117414898865319,0.9868819374369324,0.9868819374369324,0.0,0.013118062563067608,0.8729940755443003,0.8428689874316333,0.018746916625555006,1.0,0.9924,0.15880693268843207,0.42007333465753804
21,105000,110000,5000,1,1,0,3429,True,Benign|DDoS,0.6669495120916419,0.22231650403054729,0.5003182686187142,,0.31159839754994284,0.5676325416391398,0.28480948156464525,0.5003182686187142,0.9620880723242928,0.9620880723242928,0.0,0.037911927675707204,0.8145187922079673,0.7789959938748571,0.021642266072565246,1.0,0.9932,0.17740636327023762,0.3876294252716186
22,110000,115000,5000,1,1,0,3097,True,Benign|DDoS,0.7102677058624195,0.23675590195413984,0.5507094062007357,,0.32641828760198305,0.49927119733879244,0.2893176672761989,0.5507094062007357,0.9903132063287052,0.9903132063287052,0.0,0.009686793671294802,0.8502904560955624,0.8160457190049576,0.02627430373095113,1.0,0.99,0.1686868686868687,0.4070427638472981
23,115000,120000,5000,1,1,0,3227,True,Benign|DDoS,0.7666086956521739,0.255536231884058,0.6215454032712916,,0.3401693971256856,0.5370503951384411,0.3004846131353283,0.6215454032712916,0.9814068794546018,0.9814068794546018,0.0,0.018593120545398203,0.8740077875533878,0.850423492814214,0.021996615905245348,1.0,0.9922,0.13948800645031242,0.43109547975766527
