evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,1,0,0,0,False,Benign,0.8258776564518022,0.2752925521506007,0.7034,,0.20646941411295056,,,0.7034,,,,,0.8258776564518022,0.8258776564518022,0.0338,,0.9662,0.2719933761126061,0.4070368798597656
1,5000,10000,5000,1,0,0,0,False,Benign,0.8370740783812071,0.2790246927937357,0.7198,,0.20926851959530177,,,0.7198,,,,,0.8370740783812071,0.8370740783812071,0.0476,,0.9524,0.24422511549769005,0.42373746346009045
2,10000,15000,5000,1,0,0,0,False,Benign,0.8532110091743119,0.28440366972477066,0.744,,0.21330275229357798,,,0.744,,,,,0.8532110091743119,0.8532110091743119,0.0238,,0.9762,0.23786109403810696,0.4345890984823858
3,15000,20000,5000,1,0,0,0,False,Benign,0.8374796558939781,0.2791598852979927,0.7204,,0.20936991397349453,,,0.7204,,,,,0.8374796558939781,0.8374796558939781,0.0356,,0.9644,0.2530070510161759,0.4295110285190261
4,20000,25000,5000,1,1,0,3002,True,Benign|DDoS,0.84375,0.28125,0.7297297297297297,,0.09043262521321135,0.5566469334660483,0.5404671827056904,0.7297297297297297,0.0029980013324450365,0.0,0.0029980013324450365,0.997001998667555,0.4233740006662225,0.22608156303302837,0.02952952952952953,0.997001998667555,0.9864,0.7043795620437956,0.2096280756002199
5,25000,30000,5000,1,1,0,3144,True,Benign|DDoS,0.8334380892520428,0.27781269641734757,0.7144396551724138,,0.0838444514701233,0.6987094284275448,0.7083955413156972,0.7144396551724138,0.0,0.0,0.0,1.0,0.4167190446260214,0.20961112867530826,0.02747844827586207,1.0,0.9898,0.7320670842594463,0.11119544936269099
6,30000,35000,5000,1,1,0,4202,True,Benign|DDoS,0.8009015777610818,0.2669671925870273,0.6679197994987469,,0.03853244171335622,0.7661076183688365,0.4639418632254124,0.6679197994987469,0.0,0.0,0.0,1.0,0.4004507888805409,0.09633110428339056,0.09649122807017543,1.0,0.9846,0.8917326833231769,0.26388491040403456
7,35000,40000,5000,1,1,0,3541,True,Benign|DDoS,0.8006576243321003,0.26688587477736675,0.6675805346127485,,0.06521593572145966,0.661303670527923,0.5465943934162796,0.6675805346127485,0.0,0.0,0.0,1.0,0.40032881216605015,0.16303983930364915,0.12748457847840988,1.0,0.9628,0.7976734524304113,0.1957492732569462
8,40000,45000,5000,1,1,0,2989,True,Benign|DDoS,0.8114657210401891,0.270488573680063,0.6827449030333168,,0.08617605523301428,0.5734115334912014,0.574974974541993,0.6827449030333168,0.0,0.0,0.0,1.0,0.40573286052009455,0.2154401380825357,0.14719045251118845,1.0,0.9408,0.7081207482993197,0.11919951452113034
9,45000,50000,5000,1,1,0,3101,True,Benign|DDoS,0.7815206929740135,0.2605068976580045,0.641390205371248,,0.07835316822129303,0.6191854781316151,0.6202286748112815,0.641390205371248,0.0,0.0,0.0,1.0,0.39076034648700675,0.19588292055323256,0.10321221695629279,1.0,0.9608,0.7464612822647794,0.14196552104287577
10,50000,55000,5000,1,1,0,3118,True,Benign|DDoS,0.8397040690505548,0.2799013563501849,0.7236981934112646,,0.08563344860106885,0.6298260472061379,0.6224203640170987,0.7236981934112646,0.0,0.0,0.0,1.0,0.4198520345252774,0.21408362150267213,0.035600425079702444,1.0,0.9866,0.7239002635313196,0.12651310383868575
11,55000,60000,5000,1,1,0,3154,True,Benign|DDoS,0.8301647655259823,0.27672158850866074,0.7096424702058505,,0.08304278922345484,0.6205486025049443,0.599203164943517,0.7096424702058505,0.0,0.0,0.0,1.0,0.41508238276299114,0.2076069730586371,0.04550379198266522,1.0,0.9832,0.7335231895850285,0.12887380019676797
12,60000,65000,5000,1,1,0,3161,True,Benign|DDoS,0.8286624203821656,0.2762208067940552,0.7074497009244154,,0.08259006506903666,0.6270225288932936,0.6096954815167659,0.7074497009244154,0.0,0.0,0.0,1.0,0.4143312101910828,0.20647516267259164,0.05057096247960848,1.0,0.9814,0.7348685551253311,0.14460945998442296
13,65000,70000,5000,1,1,0,3211,True,Benign|DDoS,0.8476650563607085,0.28255501878690287,0.7356064840693125,,0.08334388853704876,0.6389623196952678,0.6150836307348324,0.7356064840693125,0.0,0.0,0.0,1.0,0.4238325281803543,0.2083597213426219,0.041922861934041364,1.0,0.985,0.7327918781725888,0.1346204752615272
14,70000,75000,5000,1,1,0,2903,True,Benign|DDoS,0.86709886547812,0.28903295515937333,0.765379113018598,,0.09719909159727479,0.577702084109897,0.6072066930909124,0.765379113018598,0.0,0.0,0.0,1.0,0.43354943273906,0.24299772899318697,0.04053409632808774,1.0,0.983,0.6734486266531028,0.12511535919090264
15,75000,80000,5000,1,1,0,3149,True,Benign|DDoS,0.8795399515738499,0.29317998385794997,0.7849810913019989,,0.09006663567333023,0.646720392446338,0.6456604525220375,0.7849810913019989,0.0,0.0,0.0,1.0,0.43976997578692495,0.22516658918332558,0.02106969205834684,1.0,0.9922,0.7071155009070752,0.12907047268343197
16,80000,85000,5000,1,1,0,3161,True,Benign|DDoS,0.8810465470033465,0.2936821823344488,0.7873844480696031,,0.08982630272952855,0.6464213575521722,0.6382631304339748,0.7873844480696031,0.0,0.0,0.0,1.0,0.44052327350167325,0.22456575682382135,0.021207177814029365,1.0,0.9922,0.7081233622253578,0.12470602484334849
17,85000,90000,5000,1,1,0,3063,True,Benign|DDoS,0.8832516575381955,0.2944172191793985,0.7909137842023748,,0.09381506429883649,0.6153403394658246,0.616594452312823,0.7909137842023748,0.0,0.0,0.0,1.0,0.44162582876909773,0.23453766074709123,0.02632937532266391,1.0,0.9898,0.690442513639119,0.10152677278739851
18,90000,95000,5000,1,1,0,2945,True,Benign|DDoS,0.887987012987013,0.295995670995671,0.7985401459854015,,0.09884053606384581,0.6136170398868716,0.648058195878205,0.7985401459854015,0.0,0.0,0.0,1.0,0.4439935064935065,0.24710134015961452,0.01508515815085158,1.0,0.9938,0.6697524652847655,0.0824534822130231
19,95000,100000,5000,1,1,0,2645,True,Benign|DDoS,0.874282982791587,0.291427660930529,0.7766454352441614,,0.10713135158881242,0.561405447858013,0.6513113313185557,0.7766454352441614,0.0,0.0,0.0,1.0,0.4371414913957935,0.26782837897203104,0.017834394904458598,1.0,0.9916,0.6311012505042356,0.10439409277684857
20,100000,105000,5000,1,1,0,2973,True,Benign|DDoS,0.8666480290746436,0.2888826763582145,0.7646768623581648,,0.09465648854961832,0.621369196611833,0.6444484491321417,0.7646768623581648,0.0,0.0,0.0,1.0,0.4333240145373218,0.2366412213740458,0.01726689689195856,1.0,0.993,0.6878147029204431,0.07162017884252525
21,105000,110000,5000,1,1,0,3429,True,Benign|DDoS,0.8410180745112504,0.28033935817041683,0.7256524506683641,,0.0742671009771987,0.6703644415358108,0.5897327230446715,0.7256524506683641,0.0,0.0,0.0,1.0,0.4205090372556252,0.18566775244299674,0.021005728835136857,1.0,0.9934,0.7704852023354137,0.14785952875069508
22,110000,115000,5000,1,1,0,3097,True,Benign|DDoS,0.8536144578313253,0.28453815261044174,0.744613767735155,,0.08832787907121707,0.6129309739769948,0.6008241834222973,0.744613767735155,0.0,0.0,0.0,1.0,0.42680722891566264,0.2208196976780427,0.02627430373095113,1.0,0.99,0.7137373737373738,0.10709819328164127
23,115000,120000,5000,1,1,0,3227,True,Benign|DDoS,0.8516839378238342,0.28389464594127806,0.7416807670614777,,0.08329374505146477,0.6722655163530378,0.6576876820663777,0.7416807670614777,0.0,0.0,0.0,1.0,0.4258419689119171,0.2082343626286619,0.02030456852791878,1.0,0.9928,0.7350926672038679,0.12533199861353111
