evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,1,0,0,0,False,Benign,0.8258776564518022,0.2752925521506007,0.7034,,0.20646941411295056,,,0.7034,,,,,0.8258776564518022,0.8258776564518022,0.0338,,0.9662,0.2719933761126061,0.4070368798597656
1,5000,10000,5000,1,0,0,0,False,Benign,0.8370740783812071,0.2790246927937357,0.7198,,0.20926851959530177,,,0.7198,,,,,0.8370740783812071,0.8370740783812071,0.0476,,0.9524,0.24422511549769005,0.42373746346009045
2,10000,15000,5000,1,0,0,0,False,Benign,0.8532110091743119,0.28440366972477066,0.744,,0.21330275229357798,,,0.744,,,,,0.8532110091743119,0.8532110091743119,0.0238,,0.9762,0.23786109403810696,0.4345890984823858
3,15000,20000,5000,1,0,0,0,False,Benign,0.8374796558939781,0.2791598852979927,0.7204,,0.20936991397349453,,,0.7204,,,,,0.8374796558939781,0.8374796558939781,0.0356,,0.9644,0.2530070510161759,0.4295110285190261
4,20000,25000,5000,1,1,0,3002,True,Benign|DDoS,0.7901907356948229,0.2633969118982743,0.6531531531531531,,0.3244405520575239,0.41826937637645856,0.11798690762714749,0.6531531531531531,0.8880746169220519,0.8850766155896069,0.0029980013324450365,0.11192538307794804,0.8391326763084375,0.8111013801438098,0.02952952952952953,0.997001998667555,0.9864,0.19667477696674776,0.21282176866548952
5,25000,30000,5000,1,1,0,3144,True,Benign|DDoS,0.7438240270727581,0.24794134235758603,0.5921336206896551,,0.33991847618518545,0.6306416255365896,0.5186226364394139,0.5921336206896551,1.0,1.0,0.0,0.0,0.871912013536379,0.8497961904629636,0.03017241379310345,1.0,0.9888,0.14178802588996764,0.4894165037501826
6,30000,35000,5000,1,1,0,4202,True,Benign|DDoS,0.7353407290015848,0.24511357633386158,0.581453634085213,,0.17426165095280638,0.7467171657172731,0.3603296675768431,0.581453634085213,0.4512137077582104,0.4512137077582104,0.0,0.5487862922417897,0.5932772183798976,0.4356541273820159,0.10651629072681704,1.0,0.983,0.5198372329603256,0.283870604671541
7,35000,40000,5000,1,1,0,3541,True,Benign|DDoS,0.709420610349403,0.23647353678313432,0.5496915695681974,,0.24861038684716683,0.6020242974173262,0.3462083932486554,0.5496915695681974,0.6707144874329285,0.6707144874329285,0.0,0.32928551256707145,0.6900675488911657,0.6215259671179171,0.12885538039753255,1.0,0.9624,0.3397755610972569,0.22517648661289147
8,40000,45000,5000,1,1,0,2989,True,Benign|DDoS,0.7050869285254346,0.23502897617514487,0.5445052212829438,,0.3303443849133213,0.45663690624560516,0.24681714604469665,0.5445052212829438,1.0,1.0,0.0,0.0,0.8525434642627173,0.8258609622833033,0.14868224763799104,1.0,0.9402,0.13124867049563924,0.3911153507851172
9,45000,50000,5000,1,1,0,3101,True,Benign|DDoS,0.7134146341463414,0.23780487804878048,0.5545023696682464,,0.3352680486242351,0.48579105923038457,0.259940948909956,0.5545023696682464,0.9967752337955498,0.9967752337955498,0.0,0.0032247662044501773,0.8550949339709456,0.8381701215605877,0.10689836756187467,1.0,0.9594,0.13612674588284343,0.39329241672728676
10,50000,55000,5000,1,1,0,3118,True,Benign|DDoS,0.715358361774744,0.238452787258248,0.5568544102019128,,0.3330488239162588,0.5122360912442498,0.30213838402910936,0.5568544102019128,1.0,1.0,0.0,0.0,0.857679180887372,0.832622059790647,0.040382571732199786,1.0,0.9848,0.15393988627132413,0.4073047152570144
11,55000,60000,5000,1,1,0,3154,True,Benign|DDoS,0.7095421181405103,0.2365140393801701,0.5498374864572048,,0.33085555557358654,0.5049262499049898,0.27129559464979724,0.5498374864572048,1.0,1.0,0.0,0.0,0.8547710590702551,0.8271388889339664,0.04658721560130011,1.0,0.9828,0.1516076516076516,0.4028755439980565
12,60000,65000,5000,1,1,0,3161,True,Benign|DDoS,0.7144355120587207,0.23814517068624022,0.55573681348559,,0.3323670964174387,0.5058761457584935,0.27391903671014967,0.55573681348559,1.0,1.0,0.0,0.0,0.8572177560293603,0.8309177410435968,0.0511147362697118,1.0,0.9812,0.14737056665307785,0.40603172742909066
13,65000,70000,5000,1,1,0,3211,True,Benign|DDoS,0.7559109874826148,0.2519703291608716,0.6076020122973729,,0.3417177263498088,0.5178169819923933,0.27601371682270925,0.6076020122973729,1.0,1.0,0.0,0.0,0.8779554937413074,0.854294315874522,0.043040804918949134,1.0,0.9846,0.126955108673573,0.4230728899265359
14,70000,75000,5000,1,1,0,2903,True,Benign|DDoS,0.7569650266745702,0.2523216755581901,0.60896518836433,,0.33883449040351776,0.44565735795920575,0.2543963613849879,0.60896518836433,1.0,1.0,0.0,0.0,0.8784825133372851,0.8470862260087944,0.04339532665712923,1.0,0.9818,0.14850275005092686,0.40276001993856264
15,75000,80000,5000,1,1,0,3149,True,Benign|DDoS,0.7733598409542743,0.2577866136514248,0.6304700162074555,,0.3431152633111775,0.5061637257406527,0.2711239485183826,0.6304700162074555,0.9968243886948237,0.9968243886948237,0.0,0.0031756113051762463,0.885092114824549,0.8577881582779436,0.02215018908698001,1.0,0.9918,0.1316797741480137,0.41717861687929914
16,80000,85000,5000,1,1,0,3161,True,Benign|DDoS,0.7429938482570062,0.24766461608566873,0.5910821098423056,,0.3346767681797309,0.5149022039582449,0.2830678888072913,0.5910821098423056,1.0,1.0,0.0,0.0,0.8714969241285031,0.8366919204493273,0.01794453507340946,1.0,0.9934,0.14475538554459433,0.4041658678561804
17,85000,90000,5000,1,1,0,3063,True,Benign|DDoS,0.7474943420627223,0.24916478068757408,0.5967991739803821,,0.33603967231023024,0.4901405363405015,0.2790888839111072,0.5967991739803821,1.0,1.0,0.0,0.0,0.8737471710313611,0.8400991807755755,0.027878162106350027,1.0,0.9892,0.14698746461787301,0.407311877940324
18,90000,95000,5000,1,1,0,2945,True,Benign|DDoS,0.7639097744360902,0.2546365914786967,0.6180048661800487,,0.3389093051795233,0.47359636823635604,0.291853981551477,0.6180048661800487,1.0,1.0,0.0,0.0,0.8819548872180452,0.8472732629488082,0.0170316301703163,1.0,0.993,0.1510574018126888,0.41458272340180025
19,95000,100000,5000,1,1,0,2645,True,Benign|DDoS,0.773117999479031,0.2577059998263437,0.6301486199575371,,0.34069465160175066,0.4111607060146139,0.28012714772494673,0.6301486199575371,1.0,1.0,0.0,0.0,0.8865589997395156,0.8517366290043766,0.020806794055201697,1.0,0.9902,0.1660270652393456,0.41166485657222623
20,100000,105000,5000,1,1,0,2973,True,Benign|DDoS,0.7587262706674831,0.25290875688916103,0.611248149975333,,0.3370421321548803,0.4824750780770056,0.29820630369925283,0.611248149975333,0.9868819374369324,0.9868819374369324,0.0,0.013118062563067608,0.8728041040522078,0.8426053303872008,0.018253576714356193,1.0,0.9926,0.15917791658271208,0.4063943426885699
21,105000,110000,5000,1,1,0,3429,True,Benign|DDoS,0.6629787234042553,0.22099290780141845,0.4958625079567155,,0.31069634625736786,0.5643698516569672,0.277288726348205,0.4958625079567155,0.9620880723242928,0.9620880723242928,0.0,0.037911927675707204,0.8125333978642741,0.7767408656434196,0.022278803309993635,1.0,0.993,0.17865055387714,0.370524374000362
22,110000,115000,5000,1,1,0,3097,True,Benign|DDoS,0.709393014581214,0.236464338193738,0.5496584340514976,,0.3262441512822073,0.4959255005938213,0.28110756243519447,0.5496584340514976,0.9903132063287052,0.9903132063287052,0.0,0.009686793671294802,0.8498531104549596,0.8156103782055183,0.027850761954808196,1.0,0.9894,0.16858702243784113,0.3924105099858897
23,115000,120000,5000,1,1,0,3227,True,Benign|DDoS,0.7653203342618384,0.2551067780872795,0.6198533558939651,,0.3397998926915766,0.5333217101421719,0.29207016866816243,0.6198533558939651,0.9814068794546018,0.9814068794546018,0.0,0.018593120545398203,0.8733636068582201,0.8494997317289416,0.021996615905245348,1.0,0.9922,0.140092723241282,0.41609120213351464
