evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,1,0,0,0,False,Benign,0.8258776564518022,0.2752925521506007,0.7034,,0.20646941411295056,,,0.7034,,,,,0.8258776564518022,0.8258776564518022,0.0338,,0.9662,0.2719933761126061,0.4070368798597656
1,5000,10000,5000,1,0,0,0,False,Benign,0.8370740783812071,0.2790246927937357,0.7198,,0.20926851959530177,,,0.7198,,,,,0.8370740783812071,0.8370740783812071,0.0476,,0.9524,0.24422511549769005,0.42373746346009045
2,10000,15000,5000,1,0,0,0,False,Benign,0.8532110091743119,0.28440366972477066,0.744,,0.21330275229357798,,,0.744,,,,,0.8532110091743119,0.8532110091743119,0.0238,,0.9762,0.23786109403810696,0.4345890984823858
3,15000,20000,5000,1,0,0,0,False,Benign,0.8374796558939781,0.2791598852979927,0.7204,,0.20936991397349453,,,0.7204,,,,,0.8374796558939781,0.8374796558939781,0.0356,,0.9644,0.2530070510161759,0.4295110285190261
4,20000,25000,5000,1,1,0,3002,True,Benign|DDoS,0.7967479674796748,0.26558265582655827,0.6621621621621622,,0.325950251083627,0.4179231823435288,0.11732135199823406,0.6621621621621622,0.8880746169220519,0.8850766155896069,0.0029980013324450365,0.11192538307794804,0.8424112922008633,0.8148756277090675,0.02952952952952953,0.997001998667555,0.9864,0.19302514193025141,0.22229391363528417
5,25000,30000,5000,1,1,0,3144,True,Benign|DDoS,0.7463694697737251,0.24878982325790835,0.5953663793103449,,0.3404566242679101,0.6293370840990238,0.5153076193296482,0.5953663793103449,1.0,1.0,0.0,0.0,0.8731847348868625,0.8511415606697753,0.02747844827586207,1.0,0.9898,0.14144271570014144,0.4925376231438185
6,30000,35000,5000,1,1,0,4202,True,Benign|DDoS,0.7383399209486166,0.24611330698287218,0.5852130325814536,,0.1745736981586267,0.7467113163576129,0.3599825360641012,0.5852130325814536,0.4512137077582104,0.4512137077582104,0.0,0.5487862922417897,0.5947768143534135,0.4364342453965667,0.09774436090225563,1.0,0.9844,0.519910605444941,0.28044987493175366
7,35000,40000,5000,1,1,0,3541,True,Benign|DDoS,0.7116997792494482,0.23723325974981604,0.5524331734064428,,0.24896758932917976,0.6000145270464944,0.34114134260776385,0.5524331734064428,0.6707144874329285,0.6707144874329285,0.0,0.32928551256707145,0.6912071333411883,0.6224189733229494,0.12679917751884853,1.0,0.963,0.3393561786085151,0.22828304502206104
8,40000,45000,5000,1,1,0,2989,True,Benign|DDoS,0.7055037013196009,0.235167900439867,0.5450024863252113,,0.33042773947215454,0.45458393318664186,0.24181388445849603,0.5450024863252113,1.0,1.0,0.0,0.0,0.8527518506598004,0.8260693486803864,0.14719045251118845,1.0,0.9408,0.13159013605442177,0.39333688510268583
9,45000,50000,5000,1,1,0,3101,True,Benign|DDoS,0.7181910226122173,0.23939700753740578,0.5602948920484465,,0.3362218954559387,0.48365116536001607,0.2548144366958356,0.5602948920484465,0.9967752337955498,0.9967752337955498,0.0,0.0032247662044501773,0.8574831282038835,0.8405547386398469,0.10321221695629279,1.0,0.9608,0.13509575353871772,0.3976114755261459
10,50000,55000,5000,1,1,0,3118,True,Benign|DDoS,0.7288078351908139,0.24293594506360464,0.573326248671626,,0.3359705040520411,0.5101649757005111,0.29737890238640396,0.573326248671626,1.0,1.0,0.0,0.0,0.864403917595407,0.8399262601301027,0.036131774707757705,1.0,0.9864,0.14902676399026765,0.4153027938068246
11,55000,60000,5000,1,1,0,3154,True,Benign|DDoS,0.7207207207207207,0.24024024024024024,0.5633802816901409,,0.3332045367711485,0.5031107145972487,0.2669170724066363,0.5633802816901409,1.0,1.0,0.0,0.0,0.8603603603603603,0.8330113419278712,0.04604550379198267,1.0,0.983,0.1466937945066124,0.4096464980554217
12,60000,65000,5000,1,1,0,3161,True,Benign|DDoS,0.719805081796032,0.239935027265344,0.5622620989668298,,0.3334694096445781,0.5039605428186436,0.26933213878565904,0.5622620989668298,1.0,1.0,0.0,0.0,0.859902540898016,0.8336735241114452,0.04948341489940185,1.0,0.9818,0.1454471379099613,0.4102612791623677
13,65000,70000,5000,1,1,0,3211,True,Benign|DDoS,0.7589316684009713,0.25297722280032375,0.61151481274455,,0.3424349903523035,0.5155098101954585,0.2706729365709232,0.61151481274455,1.0,1.0,0.0,0.0,0.8794658342004856,0.8560874758807587,0.04136389044158748,1.0,0.9852,0.12606577344701583,0.4265000312401256
14,70000,75000,5000,1,1,0,2903,True,Benign|DDoS,0.7639257294429708,0.2546419098143236,0.6180257510729614,,0.34040834834456446,0.4431458669682311,0.24829986114375946,0.6180257510729614,1.0,1.0,0.0,0.0,0.8819628647214854,0.8510208708614111,0.03862660944206009,1.0,0.9838,0.14637121366131328,0.40867565263845895
15,75000,80000,5000,1,1,0,3149,True,Benign|DDoS,0.7749834546657842,0.2583278182219281,0.6326310102647218,,0.3435533995857667,0.5036298701752989,0.2653910351000266,0.6326310102647218,0.9968243886948237,0.9968243886948237,0.0,0.0031756113051762463,0.885903921680304,0.8588834989644167,0.02106969205834684,1.0,0.9922,0.13122354364039507,0.42003820028597366
16,80000,85000,5000,1,1,0,3161,True,Benign|DDoS,0.7429938482570062,0.24766461608566873,0.5910821098423056,,0.334813791742712,0.5123598026520386,0.27768846767780037,0.5910821098423056,1.0,1.0,0.0,0.0,0.8714969241285031,0.83703447935678,0.018488308863512777,1.0,0.9932,0.1445831655255739,0.4061153587013573
17,85000,90000,5000,1,1,0,3063,True,Benign|DDoS,0.7515307766677409,0.250510258889247,0.6019617965926691,,0.3369890747301656,0.4872590706144346,0.2729109286636122,0.6019617965926691,1.0,1.0,0.0,0.0,0.8757653883338705,0.842472686825414,0.02581311306143521,1.0,0.99,0.14565656565656565,0.4113818437807816
18,90000,95000,5000,1,1,0,2945,True,Benign|DDoS,0.7653950135175729,0.2551316711725243,0.6199513381995134,,0.3393240619920521,0.47036913300670097,0.2848846864040251,0.6199513381995134,1.0,1.0,0.0,0.0,0.8826975067587864,0.8483101549801303,0.015571776155717762,1.0,0.9936,0.15076489533011272,0.41752081408
19,95000,100000,5000,1,1,0,2645,True,Benign|DDoS,0.7766233766233767,0.25887445887445887,0.6348195329087049,,0.3414939521151029,0.4081903389751719,0.27336423729425785,0.6348195329087049,1.0,1.0,0.0,0.0,0.8883116883116884,0.8537348802877573,0.018683651804670912,1.0,0.9912,0.16464891041162227,0.4161231392726271
20,100000,105000,5000,1,1,0,2973,True,Benign|DDoS,0.7606236624885356,0.25354122082951186,0.613714849531327,,0.3374496732227634,0.4793136742990262,0.2914717907641392,0.613714849531327,0.9868819374369324,0.9868819374369324,0.0,0.013118062563067608,0.873752799962734,0.8436241830569086,0.01726689689195856,1.0,0.993,0.15850956696878146,0.4095560427159719
21,105000,110000,5000,1,1,0,3429,True,Benign|DDoS,0.6759376316898441,0.2253125438966147,0.5105028644175684,,0.31339921571935125,0.5627335984965536,0.2735266780385743,0.5105028644175684,0.9620880723242928,0.9620880723242928,0.0,0.037911927675707204,0.8190128520070685,0.7834980392983781,0.021005728835136857,1.0,0.9934,0.17435071471713307,0.3768460339391604
22,110000,115000,5000,1,1,0,3097,True,Benign|DDoS,0.7172227839568588,0.23907426131895293,0.55911718339464,,0.3278311533789672,0.49359295745432086,0.2758208026311971,0.55911718339464,0.9903132063287052,0.9903132063287052,0.0,0.009686793671294802,0.853767995142782,0.8195778834474179,0.023646873357856018,1.0,0.991,0.16629667003027246,0.3979354848026039
23,115000,120000,5000,1,1,0,3227,True,Benign|DDoS,0.7721606648199446,0.25738688827331485,0.6288776085730401,,0.34141357801064676,0.530886680449976,0.28697043120554144,0.6288776085730401,0.9814068794546018,0.9814068794546018,0.0,0.018593120545398203,0.8767837721372732,0.8535339450266168,0.02030456852791878,1.0,0.9928,0.13738920225624496,0.42119449846438245
