evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,1,0,0,0,False,Benign,0.88666221331552,0.44333110665776,0.7964,,0.29555407110517334,,,0.7964,,,,,0.88666221331552,0.88666221331552,0.0616,,0.9384,0.15132139812446718,0.5032907107176285
1,5000,10000,5000,1,0,0,0,False,Benign,0.8699288055147474,0.4349644027573737,0.7698,,0.2899762685049158,,,0.7698,,,,,0.8699288055147474,0.8699288055147474,0.111,,0.889,0.1340832395950506,0.4901216186665993
2,10000,15000,5000,1,0,0,0,False,Benign,0.8796773470759579,0.43983867353797895,0.7852,,0.29322578235865265,,,0.7852,,,,,0.8796773470759579,0.8796773470759579,0.112,,0.888,0.11576576576576576,0.48523460637161314
3,15000,20000,5000,1,0,0,0,False,Benign,0.8720956462891947,0.43604782314459734,0.7732,,0.2906985487630649,,,0.7732,,,,,0.8720956462891947,0.8720956462891947,0.0938,,0.9062,0.14676671816376075,0.47031191806998457
4,20000,25000,5000,1,1,0,2084,True,Benign|DoS,0.9247787610619469,0.46238938053097345,0.8600823045267489,,0.17721876766534767,0.2772259164597871,0.12447802711362817,0.8600823045267489,0.019193857965451054,0.0,0.019193857965451054,0.980806142034549,0.47198630951369897,0.35443753533069533,0.042866941015089165,0.980806142034549,0.967,0.481282316442606,0.3755874957701996
5,25000,30000,5000,1,1,0,2483,True,Benign|DoS,0.9125081011017498,0.4562540505508749,0.8390941597139452,,0.15570628133294012,0.3764894067084529,0.1912702843379478,0.8390941597139452,0.04752315747080145,0.0,0.04752315747080145,0.9524768425291985,0.48001562928627567,0.31141256266588024,0.04251092570520461,0.9524768425291985,0.955,0.557696335078534,0.3297737876377097
6,30000,35000,5000,1,1,0,2571,True,Benign|DoS,0.8873110398534128,0.4436555199267064,0.7974475092630712,,0.14645395433237562,0.365921839365311,0.12651580258573356,0.7974475092630712,0.03733955659276546,0.0,0.03733955659276546,0.9626604434072346,0.4623252982230891,0.29290790866475125,0.04981473857554549,0.9626604434072346,0.9566,0.595024043487351,0.3639018266263851
7,35000,40000,5000,1,1,0,3182,True,Benign|DoS,0.8914634146341464,0.4457317073170732,0.8041804180418042,,0.12285714285714286,0.4844678365299332,0.1569375039326686,0.8041804180418042,0.03708359522313011,0.0,0.03708359522313011,0.9629164047768699,0.4642735049286382,0.24571428571428572,0.041804180418041806,0.9629164047768699,0.9612,0.6957969205160216,0.332146192175613
8,40000,45000,5000,1,1,0,2458,True,Benign|DoS,0.8986135181975736,0.4493067590987868,0.8158929976396538,,0.14959607616849394,0.43785069353116624,0.3148290173418546,0.8158929976396538,0.05777054515866558,0.0,0.05777054515866558,0.9422294548413345,0.4781920316781196,0.29919215233698787,0.04523996852871755,0.9422294548413345,0.9486,0.5627240143369175,0.2529532117946342
9,45000,50000,5000,1,1,0,1414,True,Benign|DoS,0.9070405364218226,0.4535202682109113,0.8298940323480201,,0.18883248730964466,0.2639336545172952,0.3510911126169584,0.8298940323480201,0.06789250353606789,0.0,0.06789250353606789,0.9321074964639321,0.48746651997894525,0.37766497461928933,0.048243167875069715,0.9321074964639321,0.9462,0.3709575142675967,0.30380409623597354
