evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,1,0,0,0,False,Benign,0.88666221331552,0.44333110665776,0.7964,,0.29555407110517334,,,0.7964,,,,,0.88666221331552,0.88666221331552,0.0616,,0.9384,0.15132139812446718,0.5032907107176285
1,5000,10000,5000,1,0,0,0,False,Benign,0.8699288055147474,0.4349644027573737,0.7698,,0.2899762685049158,,,0.7698,,,,,0.8699288055147474,0.8699288055147474,0.111,,0.889,0.1340832395950506,0.4901216186665993
2,10000,15000,5000,1,0,0,0,False,Benign,0.8796773470759579,0.43983867353797895,0.7852,,0.29322578235865265,,,0.7852,,,,,0.8796773470759579,0.8796773470759579,0.112,,0.888,0.11576576576576576,0.48523460637161314
3,15000,20000,5000,1,0,0,0,False,Benign,0.8720956462891947,0.43604782314459734,0.7732,,0.2906985487630649,,,0.7732,,,,,0.8720956462891947,0.8720956462891947,0.0938,,0.9062,0.14676671816376075,0.47031191806998457
4,20000,25000,5000,1,1,0,2084,True,Benign|DoS,0.8542239685658153,0.42711198428290764,0.7455418381344308,,0.3731317627939196,0.2688023217661092,0.09339842526111809,0.7455418381344308,0.6626679462571977,0.6434740882917467,0.019193857965451054,0.3373320537428023,0.7584459574115066,0.7462635255878391,0.02709190672153635,0.980806142034549,0.9762,0.27986068428600697,0.28979613683621025
5,25000,30000,5000,1,1,0,2483,True,Benign|DoS,0.8765900468645391,0.43829502343226956,0.7802940007945968,,0.4530870254540277,0.3536706327531687,0.10630251542831341,0.7802940007945968,1.0,0.9532823197744664,0.04671768022553363,0.0,0.9382950234322696,0.9061740509080554,0.025824394119984106,0.9532823197744664,0.9638,0.10126582278481013,0.41489425292794446
6,30000,35000,5000,1,1,0,2571,True,Benign|DoS,0.845532319391635,0.4227661596958175,0.7324001646768218,,0.44591477331999957,0.34993827039120207,0.06399401501274869,0.7324001646768218,1.0,0.9642162582652665,0.035783741734733567,0.0,0.9227661596958174,0.8918295466399991,0.02470152326060107,0.9642162582652665,0.9696,0.1216996699669967,0.3951071437752001
7,35000,40000,5000,1,1,0,3182,True,Benign|DoS,0.8555240793201133,0.42776203966005666,0.7475247524752475,,0.4541570549617724,0.4601218200029257,0.07788170394663603,0.7475247524752475,1.0,0.9629164047768699,0.03708359522313011,0.0,0.9277620396600567,0.9083141099235448,0.030803080308030802,0.9629164047768699,0.9652,0.0835060091172814,0.40643579918056444
8,40000,45000,5000,1,1,0,2458,True,Benign|DoS,0.8641644325290437,0.43208221626452187,0.7608182533438238,,0.4200318063700028,0.3895065190941486,0.18026847897550605,0.7608182533438238,0.886899918633035,0.8291293734743694,0.05777054515866558,0.11310008136696502,0.8755321755810394,0.8400636127400056,0.024390243902439025,0.9422294548413345,0.9592,0.17180984153461218,0.38701423320222195
9,45000,50000,5000,1,1,0,1414,True,Benign|DoS,0.8439716312056738,0.4219858156028369,0.7300613496932515,,0.37106023075905564,0.25754554854331446,0.2882792661387085,0.7300613496932515,0.7595473833097596,0.693069306930693,0.06647807637906648,0.24045261669024046,0.8017595072577166,0.7421204615181113,0.025655326268823202,0.9335219236209336,0.9628,0.25259659326963024,0.36764783314180693
