evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,1,0,0,0,False,Benign,0.88666221331552,0.44333110665776,0.7964,,0.29555407110517334,,,0.7964,,,,,0.88666221331552,0.88666221331552,0.0616,,0.9384,0.15132139812446718,0.5032907107176285
1,5000,10000,5000,1,0,0,0,False,Benign,0.8699288055147474,0.4349644027573737,0.7698,,0.2899762685049158,,,0.7698,,,,,0.8699288055147474,0.8699288055147474,0.111,,0.889,0.1340832395950506,0.4901216186665993
2,10000,15000,5000,1,0,0,0,False,Benign,0.8796773470759579,0.43983867353797895,0.7852,,0.29322578235865265,,,0.7852,,,,,0.8796773470759579,0.8796773470759579,0.112,,0.888,0.11576576576576576,0.48523460637161314
3,15000,20000,5000,1,0,0,0,False,Benign,0.8720956462891947,0.43604782314459734,0.7732,,0.2906985487630649,,,0.7732,,,,,0.8720956462891947,0.8720956462891947,0.0938,,0.9062,0.14676671816376075,0.47031191806998457
4,20000,25000,5000,1,1,0,2084,True,Benign|DoS,0.8444620566673271,0.42223102833366355,0.7307956104252401,,0.3688515866873065,0.2692599323296735,0.09619390930704644,0.7307956104252401,0.6626679462571977,0.6434740882917467,0.019193857965451054,0.3373320537428023,0.7535650014622624,0.737703173374613,0.026406035665294925,0.980806142034549,0.9766,0.28896170387057135,0.2845788173457526
5,25000,30000,5000,1,1,0,2483,True,Benign|DoS,0.8628868308109329,0.43144341540546643,0.7588398887564561,,0.44714525091743795,0.35406285925843983,0.10891287613139232,0.7588398887564561,1.0,0.9532823197744664,0.04671768022553363,0.0,0.9314434154054665,0.8942905018348759,0.025824394119984106,0.9532823197744664,0.9638,0.11247146710935879,0.41019219747571517
6,30000,35000,5000,1,1,0,2571,True,Benign|DoS,0.8319307525847559,0.41596537629237795,0.7122272540139976,,0.440665248686831,0.349852071672605,0.06716585329063009,0.7122272540139976,1.0,0.9642162582652665,0.035783741734733567,0.0,0.915965376292378,0.881330497373662,0.027583367641004528,0.9642162582652665,0.9682,0.1305515389382359,0.39052870092848047
7,35000,40000,5000,1,1,0,3182,True,Benign|DoS,0.8446139180171592,0.4223069590085796,0.731023102310231,,0.45026694914686827,0.46034483163011625,0.079607929366161,0.731023102310231,1.0,0.9629164047768699,0.03708359522313011,0.0,0.9223069590085796,0.9005338982937365,0.030803080308030802,0.9629164047768699,0.9652,0.08972233733941153,0.40635539303292395
8,40000,45000,5000,1,1,0,2458,True,Benign|DoS,0.8508137432188065,0.42540687160940327,0.7403619197482297,,0.41438328231388033,0.3913798348630019,0.19000978836266746,0.7403619197482297,0.886899918633035,0.8291293734743694,0.05777054515866558,0.11310008136696502,0.8688568309259208,0.8287665646277607,0.025570416994492525,0.9422294548413345,0.9586,0.18214062174003756,0.38080690989983595
9,45000,50000,5000,1,1,0,1414,True,Benign|DoS,0.8321120338707051,0.41605601693535255,0.7124930284439487,,0.3645787576345726,0.2578184378161258,0.29083241365328477,0.7124930284439487,0.7595473833097596,0.693069306930693,0.06647807637906648,0.24045261669024046,0.7958297085902324,0.7291575152691452,0.026213050752928055,0.9335219236209336,0.9624,0.265378221113882,0.3569916186222195
