evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,1,0,0,0,False,Benign,0.88666221331552,0.44333110665776,0.7964,,0.29555407110517334,,,0.7964,,,,,0.88666221331552,0.88666221331552,0.0616,,0.9384,0.15132139812446718,0.5032907107176285
1,5000,10000,5000,1,0,0,0,False,Benign,0.8699288055147474,0.4349644027573737,0.7698,,0.2899762685049158,,,0.7698,,,,,0.8699288055147474,0.8699288055147474,0.111,,0.889,0.1340832395950506,0.4901216186665993
2,10000,15000,5000,1,0,0,0,False,Benign,0.8796773470759579,0.43983867353797895,0.7852,,0.29322578235865265,,,0.7852,,,,,0.8796773470759579,0.8796773470759579,0.112,,0.888,0.11576576576576576,0.48523460637161314
3,15000,20000,5000,1,0,0,0,False,Benign,0.8720956462891947,0.43604782314459734,0.7732,,0.2906985487630649,,,0.7732,,,,,0.8720956462891947,0.8720956462891947,0.0938,,0.9062,0.14676671816376075,0.47031191806998457
4,20000,25000,5000,1,1,0,2084,True,Benign|DoS,0.854449027695934,0.427224513847967,0.7458847736625515,,0.16378082998027357,0.27395295457950203,0.1235576631938685,0.7458847736625515,0.022072936660268713,0.005758157389635317,0.016314779270633396,0.9779270633397313,0.43826098217810133,0.32756165996054715,0.02400548696844993,0.9836852207293666,0.9792,0.5533088235294118,0.3227341875311072
5,25000,30000,5000,1,1,0,2483,True,Benign|DoS,0.8690181981577174,0.4345090990788587,0.7683750496622964,,0.16990554862663826,0.36368390524976524,0.18641661990450437,0.7683750496622964,0.08296415626258558,0.049134111961337094,0.03383004430124849,0.9170358437374144,0.4759911772101515,0.3398110972532765,0.025824394119984106,0.9661699556987515,0.9702,0.5761698618841476,0.331056743547006
6,30000,35000,5000,1,1,0,2571,True,Benign|DoS,0.8411259541984732,0.4205629770992366,0.7258130918073281,,0.14416837190403128,0.3557108564333535,0.12237998680215512,0.7258130918073281,0.043562816024893036,0.015558148580318941,0.028004667444574097,0.9564371839751069,0.44234438511168317,0.28833674380806257,0.026759983532317826,0.9719953325554259,0.9726,0.6292412091301666,0.3425919704029707
7,35000,40000,5000,1,1,0,3182,True,Benign|DoS,0.8500948766603416,0.4250474383301708,0.7392739273927392,,0.12400667366864407,0.4738400303178055,0.15276386218131555,0.7392739273927392,0.044626021370207415,0.018227529855436832,0.026398491514770583,0.9553739786297926,0.4473604490152745,0.24801334733728814,0.032453245324532455,0.9736015084852294,0.9714,0.7113444513073914,0.32469335506133873
8,40000,45000,5000,1,1,0,2458,True,Benign|DoS,0.85340550293189,0.426702751465945,0.7442958300550747,,0.1478328173374613,0.4358301342778456,0.31343630426251506,0.7442958300550747,0.06509357200976404,0.01627339300244101,0.04882017900732303,0.9349064279902359,0.45924953747082703,0.2956656346749226,0.02675059008654603,0.951179820992677,0.9624,0.5985037406483791,0.23382028923642867
9,45000,50000,5000,1,1,0,1414,True,Benign|DoS,0.8445303689382955,0.42226518446914774,0.7308979364194088,,0.17958162537992162,0.272619792350811,0.3549490356572905,0.7308979364194088,0.07072135785007072,0.014144271570014143,0.056577086280056574,0.9292786421499293,0.4576258633941831,0.35916325075984323,0.028165086447295037,0.9434229137199435,0.9638,0.451960987756796,0.24099801865465384
