evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,1,0,0,0,False,Benign,0.88666221331552,0.44333110665776,0.7964,,0.29555407110517334,,,0.7964,,,,,0.88666221331552,0.88666221331552,0.0616,,0.9384,0.15132139812446718,0.5032907107176285
1,5000,10000,5000,1,0,0,0,False,Benign,0.8699288055147474,0.4349644027573737,0.7698,,0.2899762685049158,,,0.7698,,,,,0.8699288055147474,0.8699288055147474,0.111,,0.889,0.1340832395950506,0.4901216186665993
2,10000,15000,5000,1,0,0,0,False,Benign,0.8796773470759579,0.43983867353797895,0.7852,,0.29322578235865265,,,0.7852,,,,,0.8796773470759579,0.8796773470759579,0.112,,0.888,0.11576576576576576,0.48523460637161314
3,15000,20000,5000,1,0,0,0,False,Benign,0.8720956462891947,0.43604782314459734,0.7732,,0.2906985487630649,,,0.7732,,,,,0.8720956462891947,0.8720956462891947,0.0938,,0.9062,0.14676671816376075,0.47031191806998457
4,20000,25000,5000,1,1,0,2084,True,Benign|DoS,0.8539988209864413,0.42699941049322065,0.74519890260631,,0.16372819395420762,0.2739855584666876,0.12374262458235588,0.74519890260631,0.022072936660268713,0.005758157389635317,0.016314779270633396,0.9779270633397313,0.438035878823355,0.32745638790841525,0.02400548696844993,0.9836852207293666,0.9792,0.5537173202614379,0.3131548896926627
5,25000,30000,5000,1,1,0,2483,True,Benign|DoS,0.868509777478085,0.4342548887390425,0.767580452920143,,0.16984313437557583,0.3641396859687561,0.1874979499052036,0.767580452920143,0.08296415626258558,0.049134111961337094,0.03383004430124849,0.9170358437374144,0.4757369668703353,0.33968626875115165,0.025824394119984106,0.9661699556987515,0.9702,0.5765821480107194,0.3226277925157658
6,30000,35000,5000,1,1,0,2571,True,Benign|DoS,0.839742058753284,0.419871029376642,0.7237546315356114,,0.14397117678758506,0.3558257101898049,0.1229785495789484,0.7237546315356114,0.043562816024893036,0.015558148580318941,0.028004667444574097,0.9564371839751069,0.44165243738908855,0.2879423535751701,0.026759983532317826,0.9719953325554259,0.9726,0.63026938104051,0.3373488016525846
7,35000,40000,5000,1,1,0,3182,True,Benign|DoS,0.8490028490028491,0.42450142450142453,0.7376237623762376,,0.12400676237355766,0.4739183609563351,0.15276247926489694,0.7376237623762376,0.044626021370207415,0.018227529855436832,0.026398491514770583,0.9553739786297926,0.44681443518652825,0.24801352474711533,0.032453245324532455,0.9736015084852294,0.9714,0.7119621165328393,0.3193368177319392
8,40000,45000,5000,1,1,0,2458,True,Benign|DoS,0.8521110860239332,0.4260555430119666,0.7423288749016522,,0.1475656275617938,0.43607977656804686,0.31355537786985,0.7423288749016522,0.06509357200976404,0.01627339300244101,0.04882017900732303,0.9349064279902359,0.4586023290168486,0.2951312551235876,0.02675059008654603,0.951179820992677,0.9624,0.5995428096425602,0.2253320720841085
9,45000,50000,5000,1,1,0,1414,True,Benign|DoS,0.8437852651942609,0.42189263259713045,0.7297824874511991,,0.17940543656600594,0.2729176396069508,0.35553989228896593,0.7297824874511991,0.07072135785007072,0.014144271570014143,0.056577086280056574,0.9292786421499293,0.4572533115221658,0.3588108731320119,0.028165086447295037,0.9434229137199435,0.9638,0.45279103548454036,0.23405873024686108
