evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,1,0,0,0,False,Benign,0.8653126063769432,0.4326563031884716,0.7626,,0.28843753545898104,,,0.7626,,,,,0.8653126063769432,0.8653126063769432,0.0614,,0.9386,0.18751331770722351,0.4773131656028804
1,5000,10000,5000,1,0,0,0,False,Benign,0.8522896820842419,0.42614484104212097,0.7426,,0.2840965606947473,,,0.7426,,,,,0.8522896820842419,0.8522896820842419,0.1102,,0.8898,0.16543043380534952,0.4699062772192594
2,10000,15000,5000,1,0,0,0,False,Benign,0.8672405980969642,0.4336202990484821,0.7656,,0.2890801993656547,,,0.7656,,,,,0.8672405980969642,0.8672405980969642,0.1118,,0.8882,0.13803197478045484,0.4717855116523058
3,15000,20000,5000,1,0,0,0,False,Benign,0.8571428571428571,0.42857142857142855,0.75,,0.2857142857142857,,,0.75,,,,,0.8571428571428571,0.8571428571428571,0.0934,,0.9066,0.1727332892124421,0.45460648173923845
4,20000,25000,5000,1,1,0,2084,True,Benign|DoS,0.9131569139023481,0.45657845695117405,0.8401920438957476,,0.19650304780237407,0.2833546580665665,0.15760816620985812,0.8401920438957476,0.02015355086372361,0.0,0.02015355086372361,0.9798464491362764,0.46665523238303586,0.39300609560474814,0.04252400548696845,0.9798464491362764,0.9668,0.4931733553992553,0.30179252101238563
5,25000,30000,5000,1,1,0,2483,True,Benign|DoS,0.8991909031270501,0.44959545156352504,0.8168454509336511,,0.16458533461415306,0.4000093672461596,0.266091024048952,0.8168454509336511,0.04752315747080145,0.0,0.04752315747080145,0.9524768425291985,0.4733570302989258,0.3291706692283061,0.04290822407628129,0.9524768425291985,0.9548,0.5693338919145371,0.20865764007638032
6,30000,35000,5000,1,1,0,2571,True,Benign|DoS,0.8652184069142723,0.43260920345713616,0.7624536846438864,,0.15938037865748708,0.3830274092325428,0.19259309788903337,0.7624536846438864,0.038895371450797356,0.0,0.038895371450797356,0.9611046285492026,0.45205688918253484,0.31876075731497416,0.05104981473857555,0.9611046285492026,0.9552,0.6122278056951423,0.2168359084583395
7,35000,40000,5000,1,1,0,3182,True,Benign|DoS,0.8683473389355743,0.4341736694677871,0.7673267326732673,,0.1344707923655292,0.5093566863843629,0.23200289859281342,0.7673267326732673,0.03771213073538655,0.0,0.03771213073538655,0.9622878692646134,0.4530297348354804,0.2689415847310584,0.0407040704070407,0.9622878692646134,0.9612,0.7097378277153558,0.17031146835674238
8,40000,45000,5000,1,1,0,2458,True,Benign|DoS,0.8833735998242916,0.4416867999121458,0.7911093627065303,,0.1545258951897956,0.45667270687661005,0.3759954009419618,0.7911093627065303,0.05370219690805533,0.0,0.05370219690805533,0.9462978030919447,0.4685378983661735,0.3090517903795912,0.04602675059008655,0.9462978030919447,0.9502,0.5767206903809724,0.17650653590768256
9,45000,50000,5000,1,1,0,1414,True,Benign|DoS,0.8921841210997837,0.44609206054989187,0.8053541550474066,,0.19135966074741584,0.26700630934319247,0.3812883041152494,0.8053541550474066,0.056577086280056574,0.0,0.056577086280056574,0.9434229137199435,0.47438060368992013,0.3827193214948317,0.04852203011712214,0.9434229137199435,0.9492,0.3914875684787189,0.26823921400157513
