evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,1,0,0,0,False,Benign,0.776459072555977,0.19411476813899425,0.6346,,0.1552918145111954,,,0.6346,,,,,0.776459072555977,0.776459072555977,0.071,,0.929,0.31689989235737354,0.3438879706946311
1,5000,10000,5000,1,0,0,0,False,Benign,0.8136196464586547,0.20340491161466367,0.6858,,0.16272392929173093,,,0.6858,,,,,0.8136196464586547,0.8136196464586547,0.0712,,0.9288,0.2616279069767442,0.39129730895272685
2,10000,15000,5000,1,0,0,0,False,Benign,0.8075363701407107,0.20188409253517767,0.6772,,0.16150727402814213,,,0.6772,,,,,0.8075363701407107,0.8075363701407107,0.057,,0.943,0.28186638388123014,0.37778823798665456
3,15000,20000,5000,1,0,0,0,False,Benign,0.660594695954996,0.165148673988749,0.4932,,0.1321189391909992,,,0.4932,,,,,0.660594695954996,0.660594695954996,0.0496,,0.9504,0.4810606060606061,0.22915765024183696
4,20000,25000,5000,1,1,0,10,True,Benign|Web Attacks,0.6726958372123952,0.1681739593030988,0.5068136272545091,,0.11207125764424354,0.047879654655663635,0.7031062124248497,0.5068136272545091,0.5,0.0,0.5,0.5,0.5863479186061976,0.33621377293273064,0.06973947895791584,0.5,0.9294,0.4557779212395094,0.2647372772232475
5,25000,30000,5000,1,1,0,2,True,Benign|Web Attacks,0.7682070240295749,0.19205175600739371,0.6236494597839136,,0.12803450400492913,0.10526315789473684,0.9965986394557823,0.6236494597839136,1.0,0.0,1.0,0.0,0.8841035120147874,0.38410351201478743,0.07202881152460984,0.0,0.9276,0.3279430789133247,0.3506140533904755
6,30000,35000,5000,1,1,0,3,True,Benign|Web Attacks,0.7370150385441678,0.18425375963604196,0.5835501300780468,,0.12282031842304776,0.027147954764005115,0.9106797411780401,0.5835501300780468,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.7018408526054172,0.3684609552691433,0.040224134480688414,0.3333333333333333,0.9594,0.3921200750469043,0.290591095215506
7,35000,40000,5000,1,1,0,5,True,Benign|Web Attacks,0.7391139719803105,0.18477849299507762,0.5861861861861862,,0.1231545741324921,0.04919708964495324,0.8627427427427428,0.5861861861861862,0.4,0.0,0.4,0.6,0.5695569859901553,0.3694637223974763,0.04384384384384384,0.6,0.9558,0.38731952291274324,0.30863811536548397
8,40000,45000,5000,1,1,0,3,True,Benign|Web Attacks,0.7252551020408163,0.18131377551020408,0.5689413648188913,,0.12086043446839263,0.040986790986790984,0.8815956240410913,0.5689413648188913,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.6959608843537415,0.3625813034051779,0.06663998399039424,0.3333333333333333,0.933,0.39056806002143624,0.3178817546550726
9,45000,50000,5000,1,1,0,7,True,Benign|Web Attacks,0.6713677488025546,0.16784193720063864,0.5053074304025635,,0.11186485767491354,0.11036067611115129,0.8088752825384109,0.5053074304025635,0.5714285714285714,0.0,0.5714285714285714,0.42857142857142855,0.6213981601155629,0.3355945730247406,0.06008411776487082,0.42857142857142855,0.9392,0.4627342419080068,0.2888361001673535
10,50000,55000,5000,1,1,0,8,True,Benign|Web Attacks,0.6371826371826372,0.1592956592956593,0.4675480769230769,,0.10616812227074235,0.007594946471664158,0.3840645032051282,0.4675480769230769,0.25,0.0,0.25,0.75,0.4435913185913186,0.31850436681222705,0.07291666666666667,0.75,0.9268,0.4963314630988347,0.27830870484949455
11,55000,60000,5000,1,1,0,3,True,Benign|Web Attacks,0.5992992291520672,0.1498248072880168,0.4278567140284171,,0.09988320485867787,0.06778711484593838,0.9935961576946168,0.4278567140284171,1.0,0.0,1.0,0.0,0.7996496145760337,0.2996496145760336,0.05163097858715229,0.0,0.9478,0.5488499683477527,0.18927991556240387
12,60000,65000,5000,1,1,0,2,True,Benign|Web Attacks,0.5831325301204819,0.14578313253012049,0.41156462585034015,,0.09718875502008033,0.08,0.9953981592637055,0.41156462585034015,1.0,0.0,1.0,0.0,0.791566265060241,0.29156626506024097,0.061224489795918366,0.0,0.9384,0.5615942028985508,0.2214224082189143
13,65000,70000,5000,1,1,0,5,True,Benign|Web Attacks,0.7695529006035225,0.19238822515088064,0.6254254254254255,,0.12822722981570414,0.0724200321551124,0.8885285285285285,0.6254254254254255,0.6,0.0,0.6,0.4,0.6847764503017613,0.38468168944711245,0.051451451451451455,0.4,0.948,0.3409282700421941,0.3525202488410855
14,70000,75000,5000,1,1,0,4,True,Benign|Web Attacks,0.5800767372459855,0.14501918431149638,0.40852682145716573,,0.09667945620766426,0.04037225160990397,0.5298738991192955,0.40852682145716573,0.5,0.0,0.5,0.5,0.5400383686229928,0.29003836862299276,0.06064851881505204,0.5,0.939,0.5652822151224707,0.21751634728344493
15,75000,80000,5000,1,1,0,7,True,Benign|Web Attacks,0.6014005602240896,0.1503501400560224,0.4300020028039255,,0.1002193903748308,0.06084778737791057,0.5380103573574433,0.4300020028039255,0.42857142857142855,0.0,0.42857142857142855,0.5714285714285714,0.514985994397759,0.3006581711244924,0.07049869817744843,0.5714285714285714,0.929,0.5377825618945102,0.2324842446062226
16,80000,85000,5000,1,1,0,4,True,Benign|Web Attacks,0.6480855094033283,0.16202137735083208,0.47938350680544434,,0.10799963924963925,0.06747452747723046,0.7792233787029623,0.47938350680544434,0.5,0.0,0.5,0.5,0.5740427547016642,0.32399891774891776,0.04823859087269816,0.5,0.9514,0.4965314273701913,0.26747984161509053
17,85000,90000,5000,1,1,0,12,True,Benign|Web Attacks,0.6098104793756968,0.1524526198439242,0.43865276663993585,,0.10157845868152275,0.05054919611327997,0.7295342154504143,0.43865276663993585,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.47157190635451507,0.30473537604456824,0.05272654370489174,0.6666666666666666,0.9466,0.5377139235157405,0.22913773518512145
18,90000,95000,5000,1,1,0,4,True,Benign|Web Attacks,0.6641711229946524,0.1660427807486631,0.49719775820656525,,0.11068039032214945,0.1256125644523007,0.6628803042433946,0.49719775820656525,0.5,0.0,0.5,0.5,0.5820855614973262,0.33204117096644836,0.041032826261008806,0.5,0.9586,0.4817442103066973,0.24141226591330486
19,95000,100000,5000,1,1,0,3,True,Benign|Web Attacks,0.6435939196525515,0.16089847991313788,0.4744846908144887,,0.10726565327542525,0.2698412698412699,0.9987992795677406,0.4744846908144887,1.0,0.0,1.0,0.0,0.8217969598262758,0.32179695982627576,0.06063638182909746,0.0,0.9388,0.49488708990200253,0.21922599409919302
20,100000,105000,5000,1,1,0,5,True,Benign|Web Attacks,0.6426630434782609,0.16066576086956522,0.47347347347347346,,0.10709595616537608,0.1349184573447432,0.6136536536536537,0.47347347347347346,0.6,0.0,0.6,0.4,0.6213315217391304,0.3212878684961282,0.05925925925925926,0.4,0.9402,0.4969155498830036,0.2446996399072572
21,105000,110000,5000,1,1,0,7,True,Benign|Web Attacks,0.6496281271129142,0.16240703177822854,0.4810735029040657,,0.1082420801225722,0.20915654187678492,0.5918285599839777,0.4810735029040657,0.5714285714285714,0.0,0.5714285714285714,0.42857142857142855,0.6105283492707427,0.32472624036771663,0.0608852393350691,0.42857142857142855,0.9384,0.4880647911338448,0.2613197441262661
22,110000,115000,5000,1,1,0,7,True,Benign|Web Attacks,0.7394597323908104,0.1848649330977026,0.5866212697776888,,0.12319663512092534,0.06982485659869202,0.7457869588852966,0.5866212697776888,0.42857142857142855,0.0,0.42857142857142855,0.5714285714285714,0.5840155804811195,0.36958990536277603,0.044462247146004406,0.5714285714285714,0.955,0.38659685863874343,0.3201241910945182
23,115000,120000,5000,1,1,0,1,True,Benign|Web Attacks,0.8298220973782772,0.2074555243445693,0.7091418283656732,,0.13828749756192707,0.00020403999183840033,0.019803960792158404,0.7091418283656732,0.0,0.0,0.0,1.0,0.4149110486891386,0.4148624926857812,0.020404080816163232,1.0,0.9796,0.27623519804001634,0.4070272657738323
