window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,queried_label_counts,queried_target_row_indices,query_selection_sha256,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
0,0,500,500,0.0,0.727735368956743,0.18193384223918574,0.572,,0.1455470737913486,,,0.572,,,,,0.727735368956743,0.727735368956743,0.072,,0.928,0.38362068965517243,0.2999456592542958,False,warmup,0.2035674222922274,0.072,0,{},[],,0,False,0.5028470218005215,0.0
1,500,1000,500,0.0,0.6431478968792401,0.16078697421981003,0.474,,0.128629579375848,,,0.474,,,,,0.6431478968792401,0.6431478968792401,0.112,,0.888,0.46621621621621623,0.22666743800524905,False,warmup,0.2429325961585658,0.112,0,{},[],,0,False,0.5028470218005215,0.0
2,1000,1500,500,0.0,0.6772486772486772,0.1693121693121693,0.512,,0.13544973544973543,,,0.512,,,,,0.6772486772486772,0.6772486772486772,0.086,,0.914,0.43982494529540483,0.26622673652558754,False,warmup,0.2019089117003887,0.086,0,{},[],,0,False,0.5028470218005215,0.0
3,1500,2000,500,0.0,0.8123515439429929,0.20308788598574823,0.684,,0.16247030878859858,,,0.684,,,,,0.8123515439429929,0.8123515439429929,0.052,,0.948,0.27848101265822783,0.3829362552722568,False,warmup,0.0972754091077429,0.052,0,{},[],,0,False,0.5028470218005215,0.0
4,2000,2500,500,0.0,0.7980769230769231,0.19951923076923078,0.664,,0.15961538461538463,,,0.664,,,,,0.7980769230769231,0.7980769230769231,0.086,,0.914,0.2735229759299781,0.3752252089311718,False,warmup,0.09168928608922787,0.086,0,{},[],,0,False,0.5028470218005215,0.0
5,2500,3000,500,0.0,0.8023952095808383,0.20059880239520958,0.67,,0.16047904191616766,,,0.67,,,,,0.8023952095808383,0.8023952095808383,0.076,,0.924,0.2748917748917749,0.3778943731910612,False,warmup,0.09639152045780391,0.076,0,{},[],,0,False,0.5028470218005215,0.0
6,3000,3500,500,0.0,0.8358556461001164,0.2089639115250291,0.718,,0.16717112922002328,,,0.718,,,,,0.8358556461001164,0.8358556461001164,0.048,,0.952,0.24579831932773108,0.4152981702279338,False,warmup,0.09738347625250936,0.048,0,{},[],,0,False,0.5028470218005215,0.0
7,3500,4000,500,0.0,0.851894374282434,0.2129735935706085,0.742,,0.17037887485648678,,,0.742,,,,,0.851894374282434,0.851894374282434,0.05,,0.95,0.21894736842105264,0.42579744394910285,False,warmup,0.09007949398683675,0.05,0,{},[],,0,False,0.5028470218005215,0.0
8,4000,4500,500,0.0,0.8425925925925926,0.21064814814814814,0.728,,0.1685185185185185,,,0.728,,,,,0.8425925925925926,0.8425925925925926,0.052,,0.948,0.2320675105485232,0.415354744810115,False,warmup,0.11469707609646153,0.052,0,{},[],,0,False,0.5028470218005215,0.0
9,4500,5000,500,0.0,0.8235294117647058,0.20588235294117646,0.7,,0.16470588235294117,,,0.7,,,,,0.8235294117647058,0.8235294117647058,0.066,,0.934,0.2505353319057816,0.38634468251280374,False,warmup,0.11173000868868707,0.066,0,{},[],,0,False,0.5028470218005215,0.0
10,5000,5500,500,0.0,0.7654320987654321,0.19135802469135801,0.62,,0.1530864197530864,,,0.62,,,,,0.7654320987654321,0.7654320987654321,0.108,,0.892,0.30493273542600896,0.3478526405143192,False,warmup,0.12006291150106735,0.108,0,{},[],,0,False,0.5028470218005215,0.0
11,5500,6000,500,0.0,0.8109393579072532,0.2027348394768133,0.682,,0.16218787158145065,,,0.682,,,,,0.8109393579072532,0.8109393579072532,0.086,,0.914,0.2538293216630197,0.3843089538933243,False,warmup,0.10310418170903304,0.086,0,{},[],,0,False,0.5028470218005215,0.0
12,6000,6500,500,0.0,0.7922705314009661,0.19806763285024154,0.656,,0.15845410628019324,,,0.656,,,,,0.7922705314009661,0.7922705314009661,0.084,,0.916,0.2838427947598253,0.3749017552443821,False,warmup,0.13419268782745736,0.084,0,{},[],,0,False,0.5028470218005215,0.0
13,6500,7000,500,0.0,0.847926267281106,0.2119815668202765,0.736,,0.1695852534562212,,,0.736,,,,,0.847926267281106,0.847926267281106,0.068,,0.932,0.21030042918454936,0.43567822974035914,False,warmup,0.14934305141823737,0.068,0,{},[],,0,False,0.5028470218005215,0.0
14,7000,7500,500,0.0,0.8492520138089759,0.21231300345224396,0.738,,0.16985040276179517,,,0.738,,,,,0.8492520138089759,0.8492520138089759,0.052,,0.948,0.22151898734177214,0.43454978323232313,False,warmup,0.15797197187692044,0.052,0,{},[],,0,False,0.5028470218005215,0.0
15,7500,8000,500,0.0,0.8038277511961722,0.20095693779904306,0.672,,0.16076555023923444,,,0.672,,,,,0.8038277511961722,0.8038277511961722,0.056,,0.944,0.288135593220339,0.3773301544996067,False,warmup,0.08067944090144065,0.056,0,{},[],,0,False,0.5028470218005215,0.0
16,8000,8500,500,0.0,0.8674971687429218,0.21687429218573046,0.766,,0.17349943374858437,,,0.766,,,,,0.8674971687429218,0.8674971687429218,0.034,,0.966,0.2070393374741201,0.45201051690664135,False,warmup,0.10322597190442359,0.034,0,{},[],,0,False,0.5028470218005215,0.0
17,8500,9000,500,0.0,0.7951807228915663,0.19879518072289157,0.66,,0.15903614457831325,,,0.66,,,,,0.7951807228915663,0.7951807228915663,0.074,,0.926,0.28725701943844495,0.3748784732105846,False,warmup,0.1114626544928205,0.074,0,{},[],,0,False,0.5028470218005215,0.0
18,9000,9500,500,0.0,0.8123515439429929,0.20308788598574823,0.684,,0.16247030878859858,,,0.684,,,,,0.8123515439429929,0.8123515439429929,0.076,,0.924,0.2597402597402597,0.39252693733202776,False,warmup,0.13434297309577461,0.076,0,{},[],,0,False,0.5028470218005215,0.0
19,9500,10000,500,0.0,0.8425925925925926,0.21064814814814814,0.728,,0.1685185185185185,,,0.728,,,,,0.8425925925925926,0.8425925925925926,0.058,,0.942,0.22717622080679406,0.4314832992352867,False,warmup,0.09251999449127637,0.058,0,{},[],,0,False,0.5028470218005215,0.0
20,10000,10500,500,0.0,0.8123515439429929,0.20308788598574823,0.684,,0.16247030878859858,,,0.684,,,,,0.8123515439429929,0.8123515439429929,0.064,,0.936,0.2692307692307692,0.3926020906379445,False,warmup,0.10728173464656272,0.064,0,{},[],,0,False,0.5028470218005215,0.0
21,10500,11000,500,0.0,0.8081048867699643,0.20202622169249107,0.678,,0.16162097735399286,,,0.678,,,,,0.8081048867699643,0.8081048867699643,0.084,,0.916,0.259825327510917,0.390789891909491,False,warmup,0.12829386608674992,0.084,0,{},[],,0,False,0.5028470218005215,0.0
22,11000,11500,500,0.0,0.8372093023255814,0.20930232558139536,0.72,,0.16744186046511628,,,0.72,,,,,0.8372093023255814,0.8372093023255814,0.052,,0.948,0.24050632911392406,0.41488265775082095,False,warmup,0.10280814376886503,0.052,0,{},[],,0,False,0.5028470218005215,0.0
23,11500,12000,500,0.0,0.7878787878787878,0.19696969696969696,0.65,,0.15757575757575756,,,0.65,,,,,0.7878787878787878,0.7878787878787878,0.054,,0.946,0.3128964059196617,0.35553995405041505,False,warmup,0.084176984389742,0.054,0,{},[],,0,False,0.5028470218005215,0.0
24,12000,12500,500,0.0,0.7966305655836342,0.19915764139590855,0.662,,0.15932611311672684,,,0.662,,,,,0.7966305655836342,0.7966305655836342,0.032,,0.968,0.31611570247933884,0.3593613414746718,False,warmup,0.08233084580992489,0.032,0,{},[],,0,False,0.5028470218005215,0.0
25,12500,13000,500,0.0,0.7421383647798742,0.18553459119496854,0.59,,0.14842767295597484,,,0.59,,,,,0.7421383647798742,0.7421383647798742,0.052,,0.948,0.37763713080168776,0.3028708917611132,False,warmup,0.1557997387266206,0.052,0,{},[],,0,False,0.5028470218005215,0.0
26,13000,13500,500,0.0,0.7760097919216646,0.19400244798041616,0.634,,0.15520195838433293,,,0.634,,,,,0.7760097919216646,0.7760097919216646,0.08,,0.92,0.3108695652173913,0.34388183654057647,False,warmup,0.40260421076510816,0.08,0,{},[],,0,False,0.5028470218005215,0.0
27,13500,14000,500,0.0,0.854524627720504,0.213631156930126,0.746,,0.1709049255441008,,,0.746,,,,,0.854524627720504,0.854524627720504,0.052,,0.948,0.21308016877637131,0.43948470897612135,False,warmup,0.1592479956473937,0.052,0,{},[],,0,False,0.5028470218005215,0.0
