evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,1,0,0,0,False,Benign,0.8653126063769432,0.4326563031884716,0.7626,,0.28843753545898104,,,0.7626,,,,,0.8653126063769432,0.8653126063769432,0.0614,,0.9386,0.18751331770722351,0.4773131656028804
1,5000,10000,5000,1,0,0,0,False,Benign,0.8522896820842419,0.42614484104212097,0.7426,,0.2840965606947473,,,0.7426,,,,,0.8522896820842419,0.8522896820842419,0.1102,,0.8898,0.16543043380534952,0.4699062772192594
2,10000,15000,5000,1,0,0,0,False,Benign,0.8672405980969642,0.4336202990484821,0.7656,,0.2890801993656547,,,0.7656,,,,,0.8672405980969642,0.8672405980969642,0.1118,,0.8882,0.13803197478045484,0.4717855116523058
3,15000,20000,5000,1,0,0,0,False,Benign,0.8571428571428571,0.42857142857142855,0.75,,0.2857142857142857,,,0.75,,,,,0.8571428571428571,0.8571428571428571,0.0934,,0.9066,0.1727332892124421,0.45460648173923845
4,20000,25000,5000,1,1,0,2084,True,Benign|DoS,0.830793905372895,0.4153969526864475,0.710562414266118,,0.3718163001948732,0.2708887405593273,0.0997873273145186,0.710562414266118,0.6626679462571977,0.6434740882917467,0.019193857965451054,0.3373320537428023,0.7467309258150463,0.7436326003897464,0.02091906721536351,0.980806142034549,0.9798,0.3033272096346193,0.2878950058402862
5,25000,30000,5000,1,1,0,2483,True,Benign|DoS,0.8485818847209515,0.42429094236047576,0.7369884783472388,,0.44150593629651697,0.35532855824242576,0.10962170890781989,0.7369884783472388,1.0,0.9532823197744664,0.04671768022553363,0.0,0.9242909423604757,0.8830118725930339,0.01708382995629718,0.9532823197744664,0.9682,0.12786614335881016,0.41165300429525853
6,30000,35000,5000,1,1,0,2571,True,Benign|DoS,0.8078527607361963,0.40392638036809814,0.677645121449156,,0.43286855531072566,0.35255196072012907,0.07135291040341497,0.677645121449156,1.0,0.9642162582652665,0.035783741734733567,0.0,0.9039263803680981,0.8657371106214513,0.020172910662824207,0.9642162582652665,0.9718,0.1510598888660218,0.38730598562827034
7,35000,40000,5000,1,1,0,3182,True,Benign|DoS,0.81640625,0.408203125,0.6897689768976898,,0.44210063038876807,0.46140899317186773,0.080778568114511,0.6897689768976898,1.0,0.9629164047768699,0.03708359522313011,0.0,0.908203125,0.8842012607775361,0.028052805280528052,0.9629164047768699,0.9662,0.10618919478368868,0.4067298383052321
8,40000,45000,5000,1,1,0,2458,True,Benign|DoS,0.8277611252017524,0.4138805626008762,0.7061369000786782,,0.40573243607356513,0.393297820527725,0.20112300495691904,0.7061369000786782,0.8820179007323027,0.8291293734743694,0.05288852725793328,0.11798209926769732,0.8548895129670275,0.8114648721471303,0.01770259638080252,0.9471114727420668,0.965,0.2055958549222798,0.37532813957308814
9,45000,50000,5000,1,1,0,1414,True,Benign|DoS,0.813564929693962,0.406782464846981,0.6857222532069158,,0.35557619276309066,0.2544358120574002,0.2953888728048966,0.6857222532069158,0.7482319660537482,0.693069306930693,0.055162659123055166,0.25176803394625175,0.7808984478738551,0.7111523855261813,0.019799219185722253,0.9448373408769448,0.9702,0.29107400535971967,0.3504640999537511
