evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,1,0,0,0,False,Benign,0.8653126063769432,0.4326563031884716,0.7626,,0.28843753545898104,,,0.7626,,,,,0.8653126063769432,0.8653126063769432,0.0614,,0.9386,0.18751331770722351,0.4773131656028804
1,5000,10000,5000,1,0,0,0,False,Benign,0.8522896820842419,0.42614484104212097,0.7426,,0.2840965606947473,,,0.7426,,,,,0.8522896820842419,0.8522896820842419,0.1102,,0.8898,0.16543043380534952,0.4699062772192594
2,10000,15000,5000,1,0,0,0,False,Benign,0.8672405980969642,0.4336202990484821,0.7656,,0.2890801993656547,,,0.7656,,,,,0.8672405980969642,0.8672405980969642,0.1118,,0.8882,0.13803197478045484,0.4717855116523058
3,15000,20000,5000,1,0,0,0,False,Benign,0.8571428571428571,0.42857142857142855,0.75,,0.2857142857142857,,,0.75,,,,,0.8571428571428571,0.8571428571428571,0.0934,,0.9066,0.1727332892124421,0.45460648173923845
4,20000,25000,5000,1,1,0,2084,True,Benign|DoS,0.830793905372895,0.4153969526864475,0.710562414266118,,0.3717725209654633,0.26988982171261067,0.09610620074827084,0.710562414266118,0.6626679462571977,0.6434740882917467,0.019193857965451054,0.3373320537428023,0.7467309258150463,0.7435450419309266,0.019204389574759947,0.980806142034549,0.9808,0.3040375203915171,0.2931665586339578
5,25000,30000,5000,1,1,0,2483,True,Benign|DoS,0.8498971898560658,0.4249485949280329,0.7389749702026222,,0.4409368878136941,0.3543454893051291,0.10902648138449923,0.7389749702026222,0.9887233185662505,0.9420056383407168,0.04671768022553363,0.011276681433749497,0.9193102542111582,0.8818737756273882,0.0166865315852205,0.9532823197744664,0.9684,0.13279636513837256,0.41406436109422307
6,30000,35000,5000,1,1,0,2571,True,Benign|DoS,0.8084375766494972,0.4042187883247486,0.6784685055578428,,0.4294250841434707,0.35192812082808633,0.06770837086360375,0.6784685055578428,0.97121742512641,0.9354336833916764,0.035783741734733567,0.028782574873590042,0.8898275008879536,0.8588501682869414,0.019761218608480857,0.9642162582652665,0.972,0.16604938271604938,0.3809310162187872
7,35000,40000,5000,1,1,0,3182,True,Benign|DoS,0.8152492668621701,0.40762463343108507,0.6881188118811881,,0.4384113398760908,0.46109914415316167,0.08048573556287118,0.6881188118811881,0.972972972972973,0.9358893777498428,0.03708359522313011,0.02702702702702703,0.8941111199175715,0.8768226797521816,0.028052805280528052,0.9629164047768699,0.9662,0.12461188159801283,0.39808062401910344
8,40000,45000,5000,1,1,0,2458,True,Benign|DoS,0.8283014519474533,0.41415072597372665,0.7069236821400472,,0.4060408338662178,0.39140892064130667,0.19119700344225155,0.7069236821400472,0.8820179007323027,0.8291293734743694,0.05288852725793328,0.11798209926769732,0.855159676339878,0.8120816677324356,0.016915814319433516,0.9471114727420668,0.9654,0.20551066915268282,0.38025580125252123
9,45000,50000,5000,1,1,0,1414,True,Benign|DoS,0.813564929693962,0.406782464846981,0.6857222532069158,,0.3560082932063655,0.2565173647619554,0.2981755230737798,0.6857222532069158,0.7482319660537482,0.6916548797736917,0.056577086280056574,0.25176803394625175,0.7808984478738551,0.712016586412731,0.019799219185722253,0.9434229137199435,0.9698,0.29119406063105796,0.3529780141561764
