evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,1,0,0,0,False,Benign,0.869162049078367,0.4345810245391835,0.7686,,0.28972068302612236,,,0.7686,,,,,0.869162049078367,0.869162049078367,0.062,,0.938,0.18059701492537314,0.48272576531740186
1,5000,10000,5000,1,0,0,0,False,Benign,0.8555733577477683,0.42778667887388416,0.7476,,0.2851911192492561,,,0.7476,,,,,0.8555733577477683,0.8555733577477683,0.111,,0.889,0.15905511811023623,0.4746046644985373
2,10000,15000,5000,1,0,0,0,False,Benign,0.8709495314440555,0.43547476572202776,0.7714,,0.2903165104813518,,,0.7714,,,,,0.8709495314440555,0.8709495314440555,0.112,,0.888,0.1313063063063063,0.4767529044478419
3,15000,20000,5000,1,0,0,0,False,Benign,0.8629903354178511,0.43149516770892554,0.759,,0.2876634451392837,,,0.759,,,,,0.8629903354178511,0.8629903354178511,0.094,,0.906,0.16225165562913907,0.46213674996069415
4,20000,25000,5000,1,1,0,2084,True,Benign|DoS,0.8414779499404053,0.42073897497020263,0.7263374485596708,,0.1858319848667867,0.2792670587620642,0.15810578474970313,0.7263374485596708,0.04222648752399232,0.026871401151631478,0.015355086372360844,0.9577735124760077,0.44185221873219876,0.3716639697335734,0.016803840877914953,0.9846449136276392,0.9838,0.5580402520837568,0.24481408993047235
5,25000,30000,5000,1,1,0,2483,True,Benign|DoS,0.8566886213945037,0.4283443106972519,0.7493047278506159,,0.18667864680927979,0.3847301297406964,0.26117879690756896,0.7493047278506159,0.10873942811115586,0.07652033830044301,0.03221908981071285,0.8912605718888441,0.4827140247528298,0.37335729361855957,0.015891934843067144,0.9677809101892871,0.976,0.5745901639344262,0.21155170938914017
6,30000,35000,5000,1,1,0,2571,True,Benign|DoS,0.8200145737187272,0.4100072868593636,0.6949361877315767,,0.1606385440143583,0.3698075510087115,0.18714886678999815,0.6949361877315767,0.059898872034227925,0.034227926876701675,0.025670945157526253,0.940101127965772,0.4399567228764776,0.3212770880287166,0.0177027583367641,0.9743290548424738,0.9782,0.6368840727867512,0.19806737353663165
7,35000,40000,5000,1,1,0,3182,True,Benign|DoS,0.8301158301158301,0.41505791505791506,0.7095709570957096,,0.13222488428173462,0.49664710182878524,0.22887335873750797,0.7095709570957096,0.0458830923947203,0.023884349465744813,0.02199874292897549,0.9541169076052797,0.4379994612552752,0.26444976856346925,0.027502750275027504,0.9780012570710245,0.976,0.7200819672131148,0.1607196984640544
8,40000,45000,5000,1,1,0,2458,True,Benign|DoS,0.8411214953271028,0.4205607476635514,0.7258064516129032,,0.1479069595821021,0.45688804252237203,0.3760683815400059,0.7258064516129032,0.060211554109031735,0.01871440195280716,0.04149715215622457,0.9397884458909682,0.4506665247180673,0.2958139191642042,0.016522423288749016,0.9585028478437754,0.9712,0.6105848434925865,0.14506096358993847
9,45000,50000,5000,1,1,0,1414,True,Benign|DoS,0.8279130576891649,0.41395652884458245,0.7063580591187953,,0.17792473032552727,0.2812767015974753,0.3912322871200354,0.7063580591187953,0.0594059405940594,0.015558698727015558,0.04384724186704385,0.9405940594059405,0.4436594991416122,0.35584946065105455,0.01784718349135527,0.9561527581329562,0.9748,0.475789905621666,0.19858958450892758
10,50000,55000,5000,1,0,0,0,False,Benign,0.8206156386366317,0.41030781931831584,0.6958,,0.20515390965915792,,,0.6958,,,,,0.8206156386366317,0.8206156386366317,0.023,,0.977,0.2878198567041965,0.385631215432739
11,55000,60000,5000,1,0,0,0,False,Benign,0.8021082894106373,0.40105414470531864,0.6696,,0.20052707235265932,,,0.6696,,,,,0.8021082894106373,0.8021082894106373,0.0456,,0.9544,0.29840737636211234,0.3631615601041444
12,60000,65000,5000,1,0,0,0,False,Benign,0.8225597550924291,0.41127987754621453,0.6986,,0.20563993877310727,,,0.6986,,,,,0.8225597550924291,0.8225597550924291,0.026,,0.974,0.2827515400410678,0.3971825533940122
13,65000,70000,5000,1,1,0,1819,True,Benign|DoS,0.8130597014925374,0.4065298507462687,0.685004715498271,,0.15345070422535212,0.33163117682323795,0.4869401350341733,0.685004715498271,0.0,0.0,0.0,1.0,0.4065298507462687,0.30690140845070424,0.022634391700723042,1.0,0.9856,0.5578327922077922,0.11346343099834615
14,70000,75000,5000,1,1,0,3219,True,Benign|DoS,0.8220899470899471,0.41104497354497355,0.6979225154407637,,0.1501801990746866,0.5126845801337151,0.2607238499511341,0.6979225154407637,0.0521901211556384,0.027337682510096304,0.024852438645542093,0.9478098788443616,0.43714003412279273,0.3003603981493732,0.03874227961819203,0.9751475613544579,0.9702,0.7256235827664399,0.1429217733738421
15,75000,80000,5000,1,1,0,2720,True,Benign|DoS,0.8373278939316675,0.41866394696583376,0.7201754385964912,,0.16432688105186247,0.48895160487011324,0.437390995872033,0.7201754385964912,0.04926470588235294,0.03235294117647059,0.016911764705882352,0.950735294117647,0.44329629990701025,0.32865376210372493,0.01929824561403509,0.9830882352941176,0.982,0.6476578411405295,0.07737775588934888
16,80000,85000,5000,1,1,0,2674,True,Benign|DoS,0.8031901209158734,0.4015950604579367,0.6711092003439381,,0.1483586503483747,0.4671912363469356,0.40918117910055174,0.6711092003439381,0.04038893044128646,0.018698578908002993,0.02169035153328347,0.9596110695587136,0.4217895256785799,0.2967173006967494,0.025795356835769563,0.9783096484667165,0.9764,0.6700122900450635,0.08630308884518323
17,85000,90000,5000,1,1,0,1730,True,Benign|DoS,0.7855153203342619,0.39275766016713093,0.6467889908256881,,0.17800475116930375,0.2398216427613274,0.2377338212158173,0.6467889908256881,0.056647398843930635,0.027745664739884393,0.028901734104046242,0.9433526011560693,0.42108135958909626,0.3560095023386075,0.09755351681957186,0.9710982658959537,0.9262,0.532930252645217,0.18322289415046708
18,90000,95000,5000,1,1,0,14,True,Benign|DoS,0.7982646420824295,0.39913232104121477,0.6642599277978339,,0.19927797833935018,0.010536988893277466,0.8393501805054151,0.6642599277978339,0.14285714285714285,0.0,0.14285714285714285,0.8571428571428571,0.47056089246978616,0.39855595667870036,0.08804653028479743,0.8571428571428571,0.9118,0.2735248958104848,0.3719050590635402
19,95000,100000,5000,1,0,0,0,False,Benign,0.8058275614998806,0.4029137807499403,0.6748,,0.20145689037497014,,,0.6748,,,,,0.8058275614998806,0.8058275614998806,0.0416,,0.9584,0.2959098497495826,0.3746604756099751
20,100000,105000,5000,1,0,0,0,False,Benign,0.8123515439429929,0.40617577197149646,0.684,,0.20308788598574823,,,0.684,,,,,0.8123515439429929,0.8123515439429929,0.0396,,0.9604,0.28779675135360266,0.38363923737071143
21,105000,110000,5000,1,0,0,0,False,Benign,0.8278044777868948,0.4139022388934474,0.7062,,0.2069511194467237,,,0.7062,,,,,0.8278044777868948,0.8278044777868948,0.0284,,0.9716,0.2731576780568135,0.40140447323727607
22,110000,115000,5000,1,0,0,0,False,Benign,0.8429943306722203,0.42149716533611015,0.7286,,0.21074858266805507,,,0.7286,,,,,0.8429943306722203,0.8429943306722203,0.0218,,0.9782,0.25516254344714784,0.4151692697157237
23,115000,120000,5000,1,0,0,0,False,Benign,0.854262144821265,0.4271310724106325,0.7456,,0.21356553620531624,,,0.7456,,,,,0.854262144821265,0.854262144821265,0.0256,,0.9744,0.2348111658456486,0.4321944835100559
