evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,1,0,0,0,False,Benign,0.871331828442438,0.435665914221219,0.772,,0.290443942814146,,,0.772,,,,,0.871331828442438,0.871331828442438,0.0632,,0.9368,0.17591801878736124,0.485902572852528
1,5000,10000,5000,1,0,0,0,False,Benign,0.8601390630343098,0.4300695315171549,0.7546,,0.2867130210114366,,,0.7546,,,,,0.8601390630343098,0.8601390630343098,0.112,,0.888,0.15022522522522522,0.4814455519225231
2,10000,15000,5000,1,0,0,0,False,Benign,0.872858431018936,0.436429215509468,0.7744,,0.2909528103396453,,,0.7744,,,,,0.872858431018936,0.872858431018936,0.1118,,0.8882,0.1281242963296555,0.4797421047474325
3,15000,20000,5000,1,0,0,0,False,Benign,0.8647973663298899,0.43239868316494495,0.7618,,0.28826578877662995,,,0.7618,,,,,0.8647973663298899,0.8647973663298899,0.0938,,0.9062,0.1593467225777974,0.46517736186847236
4,20000,25000,5000,1,1,0,2084,True,Benign|DoS,0.8361604470165636,0.4180802235082818,0.7184499314128944,,0.37105874414471696,0.26949209252369694,0.10040836315095218,0.7184499314128944,0.6626679462571977,0.6444337811900192,0.018234165067178502,0.3373320537428023,0.7494141966368806,0.7421174882894339,0.022290809327846366,0.9817658349328215,0.9794,0.2979375127629161,0.29076983812145607
5,25000,30000,5000,1,1,0,2483,True,Benign|DoS,0.855909090909091,0.4279545454545455,0.7481128327373858,,0.4438456428395453,0.35286987592201263,0.10922649063292686,0.7481128327373858,1.0,0.9565042287555376,0.04349577124446234,0.0,0.9279545454545455,0.8876912856790906,0.01748112832737386,0.9565042287555376,0.9696,0.1216996699669967,0.41514872354397553
6,30000,35000,5000,1,1,0,2571,True,Benign|DoS,0.8191541079241614,0.4095770539620807,0.6937011115685467,,0.43567935829961946,0.3489888122908609,0.07050902976304567,0.6937011115685467,1.0,0.9657720731232984,0.034227926876701675,0.0,0.9095770539620807,0.8713587165992389,0.02058460271716756,0.9657720731232984,0.9724,0.14273961332784862,0.3919935999300562
7,35000,40000,5000,1,1,0,3182,True,Benign|DoS,0.8263395739186572,0.4131697869593286,0.7040704070407041,,0.44473931324042243,0.45958313002905615,0.08034398662996407,0.7040704070407041,1.0,0.9635449402891263,0.036455059710873663,0.0,0.9131697869593286,0.8894786264808449,0.028052805280528052,0.9635449402891263,0.9666,0.10076557003931305,0.4080318079442209
8,40000,45000,5000,1,1,0,2458,True,Benign|DoS,0.8371454711802379,0.4185727355901189,0.7199055861526357,,0.40781770581514615,0.3908593595007562,0.19999916776511004,0.7199055861526357,0.8803905614320586,0.8291293734743694,0.05126118795768918,0.11960943856794141,0.8587680163061482,0.8156354116302923,0.01730920535011802,0.9487388120423108,0.966,0.19917184265010351,0.3794318486659978
9,45000,50000,5000,1,1,0,1414,True,Benign|DoS,0.8227183191070256,0.4113591595535128,0.6988287785833798,,0.35808852803945246,0.2513826559030849,0.2937792026354256,0.6988287785833798,0.7454031117397454,0.6944837340876945,0.05091937765205092,0.2545968882602546,0.7840607154233855,0.7161770560789049,0.020078081427774678,0.9490806223479491,0.9712,0.28171334431630973,0.3563862308350682
10,50000,55000,5000,1,0,0,0,False,Benign,0.8183859151601087,0.40919295758005436,0.6926,,0.20459647879002718,,,0.6926,,,,,0.8183859151601087,0.8183859151601087,0.0254,,0.9746,0.28934947670839317,0.38311911939319904
11,55000,60000,5000,1,0,0,0,False,Benign,0.8035415171093563,0.40177075855467814,0.6716,,0.20088537927733907,,,0.6716,,,,,0.8035415171093563,0.8035415171093563,0.0476,,0.9524,0.29483410331793364,0.36574289736012827
12,60000,65000,5000,1,0,0,0,False,Benign,0.8157271435338702,0.4078635717669351,0.6888,,0.20393178588346755,,,0.6888,,,,,0.8157271435338702,0.8157271435338702,0.0298,,0.9702,0.29004329004329005,0.38769001141373166
13,65000,70000,5000,1,1,0,1819,True,Benign|DoS,0.8121732636295743,0.40608663181478716,0.6837472492926753,,0.2107172241807666,0.33091401670004444,0.4801796123526872,0.6837472492926753,0.14898295766904893,0.14898295766904893,0.0,0.8510170423309511,0.4805781106493116,0.4214344483615332,0.02672115686890915,1.0,0.983,0.5023397761953204,0.16178115784735364
14,70000,75000,5000,1,1,0,3219,True,Benign|DoS,0.8209202250910295,0.41046011254551473,0.6962380685008422,,0.44078866014411844,0.46251228616313184,0.06147908639728423,0.6962380685008422,1.0,0.9602360981671326,0.03976390183286735,0.0,0.9104601125455147,0.8815773202882369,0.043234138124649074,0.9602360981671326,0.959,0.0967674661105318,0.42799446843170963
15,75000,80000,5000,1,1,0,2720,True,Benign|DoS,0.8364378668027558,0.4182189334013779,0.718859649122807,,0.44279930627288144,0.37455064924492637,0.0756656346749226,0.718859649122807,1.0,0.9639705882352941,0.03602941176470588,0.0,0.918218933401378,0.8855986125457629,0.021052631578947368,0.9639705882352941,0.9708,0.12216728471363823,0.42482055562761833
16,80000,85000,5000,1,1,0,2674,True,Benign|DoS,0.7985537190082644,0.3992768595041322,0.6646603611349957,,0.4232320808778137,0.363668182007268,0.08707267396431097,0.6646603611349957,0.9700822737471952,0.9401645474943904,0.029917726252804786,0.029917726252804786,0.8843179963777299,0.8464641617556274,0.027944969905417026,0.9700822737471952,0.971,0.16374871266735325,0.4074368064159234
17,85000,90000,5000,1,1,0,1730,True,Benign|DoS,0.7861915367483296,0.3930957683741648,0.6477064220183486,,0.39836910391475666,0.22634854729527543,0.1287574905870499,0.6477064220183486,0.9132947976878613,0.8647398843930636,0.048554913294797684,0.08670520231213873,0.8497431672180955,0.7967382078295133,0.0981651376146789,0.9514450867052023,0.919,0.2134929270946681,0.3384870207350017
18,90000,95000,5000,1,1,0,14,True,Benign|DoS,0.7930283224400871,0.39651416122004357,0.6570397111913358,,0.19796954314720813,0.009869407593275828,0.8275743510400551,0.6570397111913358,0.14285714285714285,0.0,0.14285714285714285,0.8571428571428571,0.46794273264861497,0.39593908629441626,0.09245888487765744,0.8571428571428571,0.9074,0.27793696275071633,0.3650212479681108
19,95000,100000,5000,1,0,0,0,False,Benign,0.800383877159309,0.4001919385796545,0.6672,,0.20009596928982726,,,0.6672,,,,,0.800383877159309,0.800383877159309,0.0436,,0.9564,0.30238393977415307,0.36741039033349315
20,100000,105000,5000,1,0,0,0,False,Benign,0.8095238095238095,0.40476190476190477,0.68,,0.20238095238095238,,,0.68,,,,,0.8095238095238095,0.8095238095238095,0.0436,,0.9564,0.2890004182350481,0.38020216083379227
21,105000,110000,5000,1,0,0,0,False,Benign,0.8261533043784481,0.41307665218922407,0.7038,,0.20653832609461203,,,0.7038,,,,,0.8261533043784481,0.8261533043784481,0.0304,,0.9696,0.27413366336633666,0.3997067846167051
22,110000,115000,5000,1,0,0,0,False,Benign,0.8378849506101104,0.4189424753050552,0.721,,0.2094712376525276,,,0.721,,,,,0.8378849506101104,0.8378849506101104,0.024,,0.976,0.2612704918032787,0.4082720423980077
23,115000,120000,5000,1,0,0,0,False,Benign,0.8471293520866958,0.4235646760433479,0.7348,,0.21178233802167395,,,0.7348,,,,,0.8471293520866958,0.8471293520866958,0.0276,,0.9724,0.24434389140271492,0.421214554803562
