window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,queried_label_counts,queried_target_row_indices,query_selection_sha256,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
0,0,500,500,0.0,0.9059080962800875,0.45295404814004375,0.828,,0.30196936542669583,,,0.828,,,,,0.9059080962800875,0.9059080962800875,0.036,,0.964,0.14107883817427386,0.5190276823516745,False,warmup,0.08306540271711321,0.036,0,{},[],,0,False,0.6637724898933511,0.0
1,500,1000,500,0.0,0.839907192575406,0.419953596287703,0.724,,0.279969064191802,,,0.724,,,,,0.839907192575406,0.839907192575406,0.046,,0.954,0.24109014675052412,0.43477594431678684,False,warmup,0.10502722221409751,0.046,0,{},[],,0,False,0.6637724898933511,0.0
2,1000,1500,500,0.0,0.9035087719298246,0.4517543859649123,0.824,,0.30116959064327486,,,0.824,,,,,0.9035087719298246,0.9035087719298246,0.034,,0.966,0.14699792960662525,0.5161374283799502,False,warmup,0.0673227645129709,0.034,0,{},[],,0,False,0.6637724898933511,0.0
3,1500,2000,500,0.0,0.875140607424072,0.437570303712036,0.778,,0.291713535808024,,,0.778,,,,,0.875140607424072,0.875140607424072,0.074,,0.926,0.15982721382289417,0.4966627786352208,False,warmup,0.08037957585347588,0.074,0,{},[],,0,False,0.6637724898933511,0.0
4,2000,2500,500,0.0,0.8814317673378076,0.4407158836689038,0.788,,0.29381058911260255,,,0.788,,,,,0.8814317673378076,0.8814317673378076,0.076,,0.924,0.1471861471861472,0.5119774153623017,False,warmup,0.0716497155819299,0.076,0,{},[],,0,False,0.6637724898933511,0.0
5,2500,3000,500,0.0,0.8876529477196885,0.44382647385984425,0.798,,0.29588431590656283,,,0.798,,,,,0.8876529477196885,0.8876529477196885,0.054,,0.946,0.15644820295983086,0.5039076188239943,False,warmup,0.06329259027218967,0.054,0,{},[],,0,False,0.6637724898933511,0.0
6,3000,3500,500,0.0,0.9094874591057798,0.4547437295528899,0.834,,0.3031624863685933,,,0.834,,,,,0.9094874591057798,0.9094874591057798,0.066,,0.934,0.10706638115631692,0.5346752600288778,False,warmup,0.09101753564796691,0.066,0,{},[],,0,False,0.6637724898933511,0.0
7,3500,4000,500,0.0,0.9258861439312567,0.46294307196562834,0.862,,0.30862871464375224,,,0.862,,,,,0.9258861439312567,0.9258861439312567,0.044,,0.956,0.09832635983263599,0.5617836049322544,False,warmup,0.09592165046949229,0.044,0,{},[],,0,False,0.6637724898933511,0.0
8,4000,4500,500,0.0,0.8814317673378076,0.4407158836689038,0.788,,0.29381058911260255,,,0.788,,,,,0.8814317673378076,0.8814317673378076,0.084,,0.916,0.13973799126637554,0.5017280095364788,False,warmup,0.11129694960545077,0.084,0,{},[],,0,False,0.6637724898933511,0.0
9,4500,5000,500,0.0,0.8505747126436781,0.42528735632183906,0.74,,0.2835249042145594,,,0.74,,,,,0.8505747126436781,0.8505747126436781,0.102,,0.898,0.1759465478841871,0.4583980351228142,False,warmup,0.10000677219500628,0.102,0,{},[],,0,False,0.6637724898933511,0.0
10,5000,5500,500,0.0,0.8571428571428571,0.42857142857142855,0.75,,0.2857142857142857,,,0.75,,,,,0.8571428571428571,0.8571428571428571,0.118,,0.882,0.14965986394557823,0.4678458546479296,False,warmup,0.10991711496965237,0.118,0,{},[],,0,False,0.6637724898933511,0.0
11,5500,6000,500,0.0,0.817966903073286,0.408983451536643,0.692,,0.272655634357762,,,0.692,,,,,0.817966903073286,0.817966903073286,0.122,,0.878,0.21184510250569477,0.42623261856468597,False,warmup,0.17841565140452295,0.122,0,{},[],,0,False,0.6637724898933511,0.0
12,6000,6500,500,0.0,0.8876529477196885,0.44382647385984425,0.798,,0.29588431590656283,,,0.798,,,,,0.8876529477196885,0.8876529477196885,0.096,,0.904,0.1172566371681416,0.5134252430098204,False,warmup,0.11609857954829686,0.096,0,{},[],,0,False,0.6637724898933511,0.0
13,6500,7000,500,0.0,0.9258861439312567,0.46294307196562834,0.862,,0.30862871464375224,,,0.862,,,,,0.9258861439312567,0.9258861439312567,0.074,,0.926,0.06911447084233262,0.5720421782262394,False,warmup,0.1013523213133597,0.074,0,{},[],,0,False,0.6637724898933511,0.0
14,7000,7500,500,0.0,0.8584474885844748,0.4292237442922374,0.752,,0.2861491628614916,,,0.752,,,,,0.8584474885844748,0.8584474885844748,0.146,,0.854,0.11943793911007025,0.48322845670797904,False,warmup,0.1710276004355212,0.146,0,{},[],,0,False,0.6637724898933511,0.0
15,7500,8000,500,0.0,0.8610478359908884,0.4305239179954442,0.756,,0.2870159453302961,,,0.756,,,,,0.8610478359908884,0.8610478359908884,0.144,,0.856,0.11682242990654206,0.49272300510711253,False,warmup,0.17163057202470922,0.144,0,{},[],,0,False,0.6637724898933511,0.0
16,8000,8500,500,0.0,0.8571428571428571,0.42857142857142855,0.75,,0.2857142857142857,,,0.75,,,,,0.8571428571428571,0.8571428571428571,0.122,,0.878,0.14578587699316628,0.4663114483105491,False,warmup,0.08989630332781606,0.122,0,{},[],,0,False,0.6637724898933511,0.0
17,8500,9000,500,0.0,0.851894374282434,0.425947187141217,0.742,,0.283964791427478,,,0.742,,,,,0.851894374282434,0.851894374282434,0.122,,0.878,0.1548974943052392,0.4815400768042201,False,warmup,0.14236219550488205,0.122,0,{},[],,0,False,0.6637724898933511,0.0
18,9000,9500,500,0.0,0.8649262202043133,0.43246311010215666,0.762,,0.2883087400681044,,,0.762,,,,,0.8649262202043133,0.8649262202043133,0.108,,0.892,0.14573991031390135,0.47062738858912384,False,warmup,0.08585752231481282,0.108,0,{},[],,0,False,0.6637724898933511,0.0
19,9500,10000,500,0.0,0.9094874591057798,0.4547437295528899,0.834,,0.3031624863685933,,,0.834,,,,,0.9094874591057798,0.9094874591057798,0.058,,0.942,0.11464968152866242,0.5331524362279592,False,warmup,0.09656617974431539,0.058,0,{},[],,0,False,0.6637724898933511,0.0
20,10000,10500,500,0.0,0.9130434782608695,0.45652173913043476,0.84,,0.3043478260869565,,,0.84,,,,,0.9130434782608695,0.9130434782608695,0.07,,0.93,0.0967741935483871,0.5218653656759238,False,warmup,0.09971432633516948,0.07,0,{},[],,0,False,0.6637724898933511,0.0
21,10500,11000,500,0.0,0.9059080962800875,0.45295404814004375,0.828,,0.30196936542669583,,,0.828,,,,,0.9059080962800875,0.9059080962800875,0.094,,0.906,0.08609271523178808,0.530811814551825,False,warmup,0.0924996225322035,0.094,0,{},[],,0,False,0.6637724898933511,0.0
22,11000,11500,500,0.0,0.8276670574443142,0.4138335287221571,0.706,,0.27588901914810476,,,0.706,,,,,0.8276670574443142,0.8276670574443142,0.122,,0.878,0.1958997722095672,0.4087745535919497,False,warmup,0.12604573309209816,0.122,0,{},[],,0,False,0.6637724898933511,0.0
23,11500,12000,500,0.0,0.904709748083242,0.452354874041621,0.826,,0.30156991602774735,,,0.826,,,,,0.904709748083242,0.904709748083242,0.064,,0.936,0.11752136752136752,0.5136361513155187,False,warmup,0.09421950189099453,0.064,0,{},[],,0,False,0.6637724898933511,0.0
24,12000,12500,500,0.0,0.9130434782608695,0.45652173913043476,0.84,,0.3043478260869565,,,0.84,,,,,0.9130434782608695,0.9130434782608695,0.084,,0.916,0.08296943231441048,0.5245587513279409,False,warmup,0.09966491661154159,0.084,0,{},[],,0,False,0.6637724898933511,0.0
25,12500,13000,500,0.0,0.8344988344988346,0.4172494172494173,0.716,,0.2781662781662782,,,0.716,,,,,0.8344988344988346,0.8344988344988346,0.16,,0.84,0.14761904761904762,0.43324325153041016,False,warmup,0.17285263043675428,0.16,0,{},[],,0,False,0.6637724898933511,0.0
26,13000,13500,500,0.0,0.8738738738738738,0.4369369369369369,0.776,,0.2912912912912913,,,0.776,,,,,0.8738738738738738,0.8738738738738738,0.11,,0.89,0.12808988764044943,0.4772507610653153,False,warmup,0.11903432933458166,0.11,0,{},[],,0,False,0.6637724898933511,0.0
27,13500,14000,500,0.0,0.9130434782608695,0.45652173913043476,0.84,,0.3043478260869565,,,0.84,,,,,0.9130434782608695,0.9130434782608695,0.118,,0.882,0.047619047619047616,0.5273676314923827,False,warmup,0.13019979020322137,0.118,0,{},[],,0,False,0.6637724898933511,0.0
28,14000,14500,500,0.0,0.8674971687429218,0.4337485843714609,0.766,,0.28916572291430725,,,0.766,,,,,0.8674971687429218,0.8674971687429218,0.14,,0.86,0.10930232558139535,0.4810867129915579,False,warmup,0.12961401037403214,0.14,0,{},[],,0,False,0.6637724898933511,0.0
29,14500,15000,500,0.0,0.8331388564760793,0.41656942823803966,0.714,,0.2777129521586931,,,0.714,,,,,0.8331388564760793,0.8331388564760793,0.158,,0.842,0.15201900237529692,0.43785837801736877,False,warmup,0.19713490657137406,0.158,0,{},[],,0,False,0.6637724898933511,0.0
30,15000,15500,500,0.0,0.8290398126463701,0.41451990632318503,0.708,,0.2763466042154567,,,0.708,,,,,0.8290398126463701,0.8290398126463701,0.156,,0.844,0.16113744075829384,0.4149983006304894,False,warmup,0.19763844029057892,0.156,0,{},[],,0,False,0.6637724898933511,0.0
31,15500,16000,500,0.0,0.7212276214833759,0.36061381074168797,0.564,,0.24040920716112532,,,0.564,,,,,0.7212276214833759,0.7212276214833759,0.296,,0.704,0.19886363636363635,0.33278239314150215,False,warmup,0.3366423327919077,0.296,0,{},[],,0,False,0.6637724898933511,0.0
32,16000,16500,500,0.0,0.8864142538975501,0.44320712694877507,0.796,,0.29547141796585,,,0.796,,,,,0.8864142538975501,0.8864142538975501,0.078,,0.922,0.13665943600867678,0.49148246997801526,False,warmup,0.09853174451412167,0.078,0,{},[],,0,False,0.6637724898933511,0.0
33,16500,17000,500,0.0,0.8623435722411832,0.4311717861205916,0.758,,0.28744785741372775,,,0.758,,,,,0.8623435722411832,0.8623435722411832,0.086,,0.914,0.17067833698030635,0.4590301526440608,False,warmup,0.09160021328460904,0.086,0,{},[],,0,False,0.6637724898933511,0.0
34,17000,17500,500,0.0,0.93048128342246,0.46524064171123,0.87,,0.31016042780748665,,,0.87,,,,,0.93048128342246,0.93048128342246,0.056,,0.944,0.07838983050847458,0.5382333314102364,False,warmup,0.09214329699123752,0.056,0,{},[],,0,False,0.6637724898933511,0.0
35,17500,18000,500,0.0,0.9142236699239956,0.4571118349619978,0.842,,0.3047412233079985,,,0.842,,,,,0.9142236699239956,0.9142236699239956,0.054,,0.946,0.10993657505285412,0.5262878036205507,False,warmup,0.10948763884151584,0.054,0,{},[],,0,False,0.6637724898933511,0.0
36,18000,18500,500,0.0,0.8814317673378076,0.4407158836689038,0.788,,0.29381058911260255,,,0.788,,,,,0.8814317673378076,0.8814317673378076,0.072,,0.928,0.15086206896551724,0.4782642083404706,False,warmup,0.10956560196588933,0.072,0,{},[],,0,False,0.6637724898933511,0.0
37,18500,19000,500,0.0,0.8876529477196885,0.44382647385984425,0.798,,0.29588431590656283,,,0.798,,,,,0.8876529477196885,0.8876529477196885,0.052,,0.948,0.15822784810126583,0.480498332603633,False,warmup,0.07970171751173762,0.052,0,{},[],,0,False,0.6637724898933511,0.0
38,19000,19500,500,0.0,0.9094874591057798,0.4547437295528899,0.834,,0.3031624863685933,,,0.834,,,,,0.9094874591057798,0.9094874591057798,0.032,,0.968,0.1384297520661157,0.5209496991734524,False,warmup,0.0751852470811508,0.032,0,{},[],,0,False,0.6637724898933511,0.0
39,19500,20000,500,0.0,0.8726042841037204,0.4363021420518602,0.774,,0.29086809470124014,,,0.774,,,,,0.8726042841037204,0.8726042841037204,0.056,,0.944,0.18008474576271186,0.466729861207723,False,warmup,0.12060497165946586,0.056,0,{},[],,0,False,0.6637724898933511,0.0
40,20000,20500,500,0.488,0.9175475687103594,0.4587737843551797,0.84765625,,0.17032967032967034,0.3040789705215032,0.02775998975409836,0.84765625,0.0,0.0,0.0,1.0,0.4587737843551797,0.34065934065934067,0.0546875,1.0,0.972,0.5534979423868313,0.39519101200239315,False,persistence_pending,0.3323331470139193,0.028,0,{},[],,0,False,0.6637724898933511,0.0
41,20500,21000,500,0.942,0.8627450980392157,0.43137254901960786,0.7586206896551724,,0.039285714285714285,0.8898483838268286,0.1986236181272421,0.7586206896551724,0.025477707006369428,0.0,0.025477707006369428,0.9745222929936306,0.4441114025227926,0.07857142857142857,0.10344827586206896,0.9745222929936306,0.97,0.954639175257732,0.38205613976650593,True,persistent_mean_shift,0.870712161706069,0.03,200,"{'DoS': 191, 'Benign': 9}","[20500, 20503, 20504, 20509, 20510, 20513, 20515, 20521, 20523, 20526, 20527, 20530, 20536, 20537, 20538, 20541, 20542, 20546, 20548, 20549, 20551, 20552, 20553, 20554, 20556, 20557, 20561, 20564, 20565, 20566, 20568, 20569, 20571, 20575, 20577, 20578, 20579, 20581, 20584, 20585, 20587, 20588, 20591, 20593, 20597, 20598, 20599, 20603, 20607, 20609, 20611, 20612, 20613, 20615, 20618, 20619, 20621, 20622, 20624, 20626, 20627, 20628, 20630, 20633, 20636, 20638, 20641, 20642, 20643, 20651, 20652, 20653, 20654, 20655, 20656, 20659, 20660, 20664, 20667, 20671, 20672, 20676, 20677, 20678, 20681, 20683, 20684, 20687, 20689, 20692, 20694, 20697, 20698, 20704, 20711, 20712, 20713, 20716, 20719, 20722, 20723, 20729, 20733, 20735, 20738, 20742, 20750, 20751, 20755, 20758, 20762, 20765, 20769, 20770, 20774, 20775, 20776, 20777, 20778, 20779, 20781, 20787, 20788, 20791, 20792, 20793, 20799, 20800, 20802, 20803, 20804, 20805, 20806, 20811, 20814, 20818, 20820, 20821, 20824, 20826, 20828, 20830, 20836, 20837, 20840, 20846, 20847, 20849, 20850, 20851, 20852, 20857, 20859, 20860, 20864, 20866, 20876, 20878, 20880, 20881, 20885, 20886, 20887, 20890, 20892, 20896, 20897, 20899, 20900, 20903, 20904, 20905, 20907, 20908, 20909, 20910, 20911, 20913, 20915, 20917, 20922, 20926, 20931, 20932, 20950, 20952, 20953, 20955, 20963, 20964, 20966, 20975, 20977, 20978, 20980, 20984, 20986, 20992, 20994, 20999]",5907fbfa11abb5201f4417fd60c87f1f48368697821dffe4bf198bff08cc9711,200,True,0.6496718955883488,0.014100594305002323
42,21000,21500,500,0.55,0.8578680203045685,0.4289340101522843,0.7511111111111111,,0.4503327294577676,0.4269677387470567,0.2154020202020202,0.7511111111111111,1.0,0.9709090909090909,0.02909090909090909,0.0,0.9289340101522843,0.9006654589155352,0.022222222222222223,0.9709090909090909,0.974,0.10472279260780287,0.4300807149415292,False,latched,0.5006400354546185,0.026,0,{},[],,200,False,0.6496718955883488,0.014100594305002323
43,21500,22000,500,0.06,0.8564476885644768,0.4282238442822384,0.7489361702127659,,0.3148871159395688,0.18802023001075072,0.668936170212766,0.7489361702127659,1.0,0.8666666666666667,0.13333333333333333,0.0,0.9282238442822384,0.6297742318791376,0.023404255319148935,0.8666666666666667,0.97,0.22061855670103092,0.4531446600025465,False,latched,0.17699679314158284,0.03,0,{},[],,200,False,0.6496718955883488,0.014100594305002323
44,22000,22500,500,0.824,0.864516129032258,0.432258064516129,0.7613636363636364,,0.4619524212795442,0.6309234385021694,0.0,0.7613636363636364,1.0,1.0,0.0,0.0,0.932258064516129,0.9239048425590884,0.022727272727272728,1.0,0.996,0.03815261044176707,0.33329733511315973,False,latched,0.550672055884956,0.004,0,{},[],,200,False,0.6496718955883488,0.014100594305002323
45,22500,23000,500,0.096,0.8305304010349288,0.4152652005174644,0.7101769911504425,,0.3057921094611862,0.24058698492109779,0.3294616519174041,0.7101769911504425,1.0,0.6666666666666666,0.3333333333333333,0.0,0.9152652005174644,0.6115842189223724,0.024336283185840708,0.6666666666666666,0.946,0.2536997885835095,0.382867242353459,False,latched,0.3076547856399744,0.054,0,{},[],,200,False,0.6496718955883488,0.014100594305002323
46,23000,23500,500,0.29,0.8303130148270181,0.41515650741350907,0.7098591549295775,,0.4189485160974251,0.16346839904602206,0.0,0.7098591549295775,1.0,1.0,0.0,0.0,0.9151565074135091,0.8378970321948502,0.030985915492957747,1.0,0.978,0.18813905930470348,0.373109316249969,False,latched,0.2300400650001135,0.022,0,{},[],,200,False,0.6496718955883488,0.014100594305002323
47,23500,24000,500,0.47,0.8577586206896551,0.42887931034482757,0.7509433962264151,,0.444380946757541,0.2860669920158835,0.0,0.7509433962264151,1.0,1.0,0.0,0.0,0.9288793103448276,0.888761893515082,0.03018867924528302,1.0,0.984,0.11788617886178862,0.40201041956710226,False,latched,0.33094390493005754,0.016,0,{},[],,200,False,0.6496718955883488,0.014100594305002323
48,24000,24500,500,0.0,0.8532110091743119,0.42660550458715596,0.744,,0.21330275229357798,,,0.744,,,,,0.8532110091743119,0.8532110091743119,0.014,,0.986,0.24543610547667344,0.4394919809567788,False,latched,0.10795471463617931,0.014,0,{},[],,200,False,0.6496718955883488,0.014100594305002323
49,24500,25000,500,0.448,0.8780487804878049,0.43902439024390244,0.782608695652174,,0.45530166880616174,0.26984483795230224,0.00025879917184265126,0.782608695652174,1.0,1.0,0.0,0.0,0.9390243902439024,0.9106033376123235,0.028985507246376812,1.0,0.984,0.10569105691056911,0.3826884580236875,False,latched,0.30665440046746767,0.016,0,{},[],,200,False,0.6496718955883488,0.014100594305002323
50,25000,25500,500,0.696,0.8571428571428571,0.42857142857142855,0.75,,0.45341614906832295,0.5207539183694551,0.06435269207501512,0.75,1.0,0.9482758620689655,0.05172413793103448,0.0,0.9285714285714286,0.9068322981366459,0.03289473684210526,0.9482758620689655,0.954,0.06918238993710692,0.346671820299776,False,latched,0.5369659112929039,0.046,0,{},[],,200,False,0.6496718955883488,0.014100594305002323
51,25500,26000,500,0.19,0.9039242219215156,0.4519621109607578,0.8246913580246914,,0.4343143888137122,0.17169884245193995,0.12444444444444444,0.8246913580246914,1.0,0.8947368421052632,0.10526315789473684,0.0,0.9519621109607578,0.8686287776274244,0.027160493827160494,0.8947368421052632,0.958,0.12526096033402923,0.4611015156397989,False,latched,0.19561411147364294,0.042,0,{},[],,200,False,0.6496718955883488,0.014100594305002323
52,26000,26500,500,0.266,0.9093610698365527,0.45468053491827637,0.8337874659400545,,0.4656915219394249,0.14865691262632302,0.0,0.8337874659400545,1.0,1.0,0.0,0.0,0.9546805349182763,0.9313830438788498,0.02997275204359673,1.0,0.978,0.10224948875255624,0.4653967801808216,False,latched,0.18918642949576822,0.022,0,{},[],,200,False,0.6496718955883488,0.014100594305002323
53,26500,27000,500,0.78,0.8717948717948718,0.4358974358974359,0.7727272727272727,,0.46385035729298024,0.575084136724467,0.0018648018648018644,0.7727272727272727,1.0,1.0,0.0,0.0,0.9358974358974359,0.9277007145859605,0.01818181818181818,1.0,0.996,0.04618473895582329,0.30214580234659794,False,latched,0.5286721067186236,0.004,0,{},[],,200,False,0.6496718955883488,0.014100594305002323
54,27000,27500,500,0.376,0.9185441941074524,0.4592720970537262,0.8493589743589743,,0.4450615804417567,0.36486522009337796,0.17467948717948717,0.8493589743589743,1.0,0.8617021276595744,0.13829787234042554,0.0,0.9592720970537262,0.8901231608835134,0.009615384615384616,0.8617021276595744,0.942,0.09341825902335456,0.42773820003826485,False,latched,0.46070483475907054,0.058,0,{},[],,200,False,0.6496718955883488,0.014100594305002323
