evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,1,0,0,0,False,Benign,0.88666221331552,0.44333110665776,0.7964,,0.29555407110517334,,,0.7964,,,,,0.88666221331552,0.88666221331552,0.0616,,0.9384,0.15132139812446718,0.5032907107176285
1,5000,10000,5000,1,0,0,0,False,Benign,0.8699288055147474,0.4349644027573737,0.7698,,0.2899762685049158,,,0.7698,,,,,0.8699288055147474,0.8699288055147474,0.111,,0.889,0.1340832395950506,0.4901216186665993
2,10000,15000,5000,1,0,0,0,False,Benign,0.8796773470759579,0.43983867353797895,0.7852,,0.29322578235865265,,,0.7852,,,,,0.8796773470759579,0.8796773470759579,0.112,,0.888,0.11576576576576576,0.48523460637161314
3,15000,20000,5000,1,0,0,0,False,Benign,0.8720956462891947,0.43604782314459734,0.7732,,0.2906985487630649,,,0.7732,,,,,0.8720956462891947,0.8720956462891947,0.0938,,0.9062,0.14676671816376075,0.47031191806998457
4,20000,25000,5000,1,1,0,2084,True,Benign|DoS,0.8462908011869437,0.42314540059347183,0.7335390946502057,,0.3694321838413688,0.26784758038420625,0.08747571147603136,0.7335390946502057,0.6626679462571977,0.6434740882917467,0.019193857965451054,0.3373320537428023,0.7544793737220707,0.7388643676827376,0.022976680384087792,0.980806142034549,0.9786,0.28877988963825874,0.2948191314945937
5,25000,30000,5000,1,1,0,2483,True,Benign|DoS,0.8639133378469871,0.43195666892349355,0.7604290822407628,,0.4461355053851259,0.35324756219662456,0.1106508764965292,0.7604290822407628,0.9903342730567861,0.9436165928312525,0.04671768022553363,0.009665726943213854,0.9271238054518867,0.8922710107702518,0.020659515295987287,0.9532823197744664,0.9664,0.11899834437086093,0.41996316893861885
6,30000,35000,5000,1,1,0,2571,True,Benign|DoS,0.8344529750479847,0.41722648752399233,0.7159324825030877,,0.43766086280961525,0.3491116137714522,0.06042761849997735,0.7159324825030877,0.97121742512641,0.9354336833916764,0.035783741734733567,0.028782574873590042,0.9028352000871973,0.8753217256192305,0.022231370934540962,0.9642162582652665,0.9708,0.14627111660486197,0.39280333904571796
7,35000,40000,5000,1,1,0,3182,True,Benign|DoS,0.8464467005076142,0.4232233502538071,0.7337733773377337,,0.44587462333407485,0.4605416354836278,0.08263547913559427,0.7337733773377337,0.9610307982401005,0.9239472030169704,0.03708359522313011,0.03896920175989944,0.9037387493738573,0.8917492466681497,0.0297029702970297,0.9629164047768699,0.9656,0.11474730737365368,0.4006791616064515
8,40000,45000,5000,1,1,0,2458,True,Benign|DoS,0.8526292033401038,0.4263146016700519,0.7431156569630213,,0.4145141637597487,0.39209860547800834,0.18888243017709316,0.7431156569630213,0.886899918633035,0.8291293734743694,0.05777054515866558,0.11310008136696502,0.8697645609865694,0.8290283275194974,0.01888276947285602,0.9422294548413345,0.962,0.18357588357588359,0.3912381919972696
9,45000,50000,5000,1,1,0,1414,True,Benign|DoS,0.8347684809098294,0.4173842404549147,0.7163970998326826,,0.36528888099326895,0.26256502928239633,0.3046319531164335,0.7163970998326826,0.7595473833097596,0.693069306930693,0.06647807637906648,0.24045261669024046,0.7971579321097945,0.7305777619865379,0.021193530395984383,0.9335219236209336,0.966,0.26521739130434785,0.36531188233030965
