seed,gate2_status,gate3_mad_status,mad_selected_parameter,mad_post_change_detected,mad_detection_delay_windows,summary_path,run_dir,gate2_summary_completed,gate2_all_integrity_checks,gate2_scores_finite,gate2_positive_calibration_mad,gate2_source_anchored_mode,gate2_effective_scale_floor,gate2_post_change_excluded_from_scale
11,passed,passed,3.0,True,7,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed11\summary.json,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed11,True,True,True,True,True,True,True
23,passed,passed,3.0,True,7,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed23\summary.json,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed23,True,True,True,True,True,True,True
37,passed,passed,3.0,True,7,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed37\summary.json,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed37,True,True,True,True,True,True,True
53,passed,passed,3.0,True,7,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed53\summary.json,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed53,True,True,True,True,True,True,True
71,passed,passed,3.0,True,7,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed71\summary.json,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed71,True,True,True,True,True,True,True
83,passed,passed,3.0,True,7,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed83\summary.json,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed83,True,True,True,True,True,True,True
97,passed,passed,3.0,True,7,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed97\summary.json,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed97,True,True,True,True,True,True,True
109,passed,passed,3.0,True,7,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed109\summary.json,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed109,True,True,True,True,True,True,True
127,passed,passed,3.0,True,7,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed127\summary.json,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed127,True,True,True,True,True,True,True
149,passed,passed,3.0,True,7,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed149\summary.json,evidence\v023_unsw_reconnaissance_gate4\gate2_gate3\runs\E23_UNSW_Reconnaissance_core_profile_gate2_gate3__NF-UNSW-NB15-v3-Reconnaissance-V023-Historical-Source-to-NF-UNSW-NB15-v3-Reconnaissance-V023-Heldout-Target__NF-UNSW-NB15-v3-Reconnaissance-v023-core-profile__seed149,True,True,True,True,True,True,True
