window,start_row,stop_row,n_rows,shift_score,dominant_shift_feature,dominant_shift_contribution_percent,maximum_absolute_standardized_change,predicted_unknown_rate,novel_prevalence_posthoc,labels_present_posthoc,phase,normalized_shift_score
0,0,500,500,0.05955935672214795,pca_component_25,16.602973212646724,0.1372833667210443,0.064,0.0,Backdoor|Benign,pre_change,-0.26306571420594177
1,500,1000,500,0.056672708090146524,pca_component_20,28.574725864426338,0.17137204974011086,0.06,0.0,Backdoor|Benign,pre_change,-0.373827467833576
2,1000,1500,500,0.043083707130240116,pca_component_2,12.068070162888937,0.08466559551277517,0.058,0.0,Backdoor|Benign,pre_change,-0.8952423569478303
3,1500,2000,500,0.10425238426338762,pca_component_4,16.354786778511556,0.2384972789781146,0.098,0.0,Backdoor|Benign,pre_change,1.4518219415056002
4,2000,2500,500,0.0462926642512421,pca_component_21,29.71650640989879,0.1427532619193079,0.058,0.0,Backdoor|Benign,pre_change,-0.7721135098488917
5,2500,3000,500,0.04634257565082338,pca_component_15,12.093382913717289,0.09116519364869395,0.084,0.0,Backdoor|Benign,pre_change,-0.7701983913677765
6,3000,3500,500,0.05993951386046942,pca_component_16,16.117813545051316,0.13612605829844837,0.092,0.0,Backdoor|Benign,pre_change,-0.2484789471059383
7,3500,4000,500,0.044291535891791356,pca_component_20,27.550786804739577,0.13151119761846897,0.054,0.0,Backdoor|Benign,pre_change,-0.8488975298607341
8,4000,4500,500,0.05518188771975319,pca_component_23,23.349672537171653,0.1508384078005759,0.038,0.0,Backdoor|Benign,pre_change,-0.4310307854587198
9,4500,5000,500,0.04609742208461659,pca_component_2,14.643392370202042,0.09978665802484439,0.044,0.0,Backdoor|Benign,pre_change,-0.7796050225040037
10,5000,5500,500,0.04783535017159961,pca_component_5,21.802773748781423,0.1263513308543922,0.074,0.0,Backdoor|Benign,pre_change,-0.7129200922845977
11,5500,6000,500,0.045158116766432825,pca_component_21,12.545471536092087,0.09048035712423555,0.028,0.0,Backdoor|Benign,pre_change,-0.8156465078030517
12,6000,6500,500,0.049838423928482985,pca_component_25,14.791958091750983,0.10843066540807096,0.052,0.0,Backdoor|Benign,pre_change,-0.6360614266685927
13,6500,7000,500,0.0571055544045369,pca_component_5,37.46906587217723,0.19773783478680151,0.052,0.0,Backdoor|Benign,pre_change,-0.3572189979624454
14,7000,7500,500,0.0442962362343705,pca_component_5,16.632733997282394,0.10219358549922951,0.068,0.0,Backdoor|Benign,pre_change,-0.8487171760133885
15,7500,8000,500,0.06942143242960683,pca_component_5,22.476826481757083,0.18618129904711467,0.078,0.0,Backdoor|Benign,pre_change,0.11534570298454355
16,8000,8500,500,0.06340920339164936,pca_component_5,38.03213709683556,0.22120892809205775,0.05,0.0,Backdoor|Benign,pre_change,-0.1153457029845441
17,8500,9000,500,0.2516888401817539,pca_component_12,38.379280812013306,0.8820381399832643,0.086,0.0,Backdoor|Benign,pre_change,7.109012160337041
18,9000,9500,500,0.07746205753192979,pca_component_5,57.27290650619803,0.3316184074329313,0.052,0.0,Backdoor|Benign,pre_change,0.4238674006801108
19,9500,10000,500,0.05811483663254877,pca_component_5,43.939508840465265,0.21791624633793788,0.026,0.0,Backdoor|Benign,pre_change,-0.3184924732858717
20,10000,10500,500,0.06261424582511078,pca_component_5,24.558345739128598,0.17552852271077174,0.07,0.0,Backdoor|Benign,pre_change,-0.1458485127665301
21,10500,11000,500,0.06175273813129392,pca_component_5,50.64438823598677,0.24859756643336095,0.048,0.0,Backdoor|Benign,pre_change,-0.17890487503833688
22,11000,11500,500,0.3900449781572432,pca_component_12,40.13511851253376,1.3978222680515386,0.038,0.0,Backdoor|Benign,pre_change,8.0
23,11500,12000,500,0.05602229475185765,pca_component_25,22.06741904288713,0.1488715308735546,0.046,0.0,Backdoor|Benign,pre_change,-0.39878406322001564
24,12000,12500,500,0.07045791337457323,pca_component_5,30.412523362786636,0.21980167328612304,0.058,0.0,Backdoor|Benign,pre_change,0.1551158522827313
25,12500,13000,500,0.08999843099717543,pca_component_21,59.97832300403349,0.39428212330638457,0.042,0.0,Backdoor|Benign,pre_change,0.9048925915357124
26,13000,13500,500,0.08796654927928681,pca_component_21,55.29400708240638,0.3700254342934307,0.04,0.0,Backdoor|Benign,pre_change,0.826928554020958
27,13500,14000,500,0.11489691531836822,pca_component_5,25.95184045246762,0.3311062965037669,0.082,0.0,Backdoor|Benign,pre_change,1.8602564538057724
28,14000,14500,500,0.11582924369880791,pca_component_5,38.311687551305745,0.40556348931293046,0.022,0.0,Backdoor|Benign,pre_change,1.8960302314763555
29,14500,15000,500,0.10119907364865624,pca_component_5,43.26040959012986,0.3765276205257676,0.046,0.0,Backdoor|Benign,pre_change,1.3346653072313979
30,15000,15500,500,0.059628635706913284,pca_component_5,23.612839645759106,0.16390944167564697,0.04,0.0,Backdoor|Benign,pre_change,-0.26040745446588126
31,15500,16000,500,0.0819673586568827,pca_component_25,27.86998134001882,0.24478469964622673,0.014,0.0,Backdoor|Benign,pre_change,0.5967374367794995
32,16000,16500,500,0.10039342848940104,pca_component_5,30.377521867143408,0.313008726878367,0.06,0.0,Backdoor|Benign,pre_change,1.3037524106455565
33,16500,17000,500,0.08927968920450294,pca_component_5,33.47526156686488,0.29220634935753054,0.04,0.0,Backdoor|Benign,pre_change,0.8773142086042649
34,17000,17500,500,0.07068206999450576,pca_component_25,23.289284736210476,0.19295779348655107,0.066,0.0,Backdoor|Benign,pre_change,0.16371682298478568
35,17500,18000,500,0.08248153283125334,pca_component_5,31.531637447268512,0.2620022220470179,0.034,0.0,Backdoor|Benign,pre_change,0.6164664860970973
36,18000,18500,500,0.08300125857073638,pca_component_25,24.410757351342227,0.2319798662949381,0.052,0.0,Backdoor|Benign,pre_change,0.6364085509789768
37,18500,19000,500,0.05469692031272497,pca_component_1,12.67961147993687,0.11017697305206768,0.014,0.0,Backdoor|Benign,pre_change,-0.4496391605339536
38,19000,19500,500,0.05859938032854778,pca_component_5,24.45119800422317,0.16391476822068957,0.04,0.0,Backdoor|Benign,pre_change,-0.2999003561563081
39,19500,20000,500,0.10162314638517939,pca_component_4,20.81461160842333,0.2622719118261002,0.026,0.0,Backdoor|Benign|Exploits,pre_change,1.3509371317417493
40,20000,20500,500,0.0804290103155777,pca_component_20,27.520018167893955,0.23867782522782435,0.046,0.012,Benign|DoS|Exploits|Reconnaissance,post_change,0.5377104536946318
41,20500,21000,500,0.22742550857608812,pca_component_21,37.13189581605387,0.7839488463573504,0.094,0.028,Backdoor|Benign|DoS|Exploits|Generic|Reconnaissance|Shellcode,post_change,6.1780193378302615
42,21000,21500,500,0.058868552796968336,pca_component_2,24.23677657684212,0.16394409483226852,0.034,0.018,Benign|Exploits|Generic|Reconnaissance|Shellcode,post_change,-0.2895721110418798
43,21500,22000,500,0.07425395361333069,pca_component_23,15.35337100879941,0.1645873466233357,0.046,0.01,Benign|DoS|Exploits|Generic|Reconnaissance,post_change,0.30077129126642244
44,22000,22500,500,0.05755455780815292,pca_component_20,18.60875770173348,0.14044730216287318,0.052,0.008,Benign|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,-0.33999057472521704
45,22500,23000,500,0.05755312331688742,pca_component_16,32.30846212706661,0.18505551369653064,0.062,0.002,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,-0.3400456166746837
46,23000,23500,500,0.23162304665612193,pca_component_16,47.16733397354079,0.8998651311712155,0.172,0.012,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,post_change,6.339080394416482
47,23500,24000,500,0.7948279096401843,pca_component_14,48.01117648784717,3.1154391406502806,0.066,0.006,Benign|DoS|Exploits|Generic|Reconnaissance|Shellcode,post_change,8.0
48,24000,24500,500,0.05638502487638922,pca_component_2,27.5464631851729,0.16740625784446606,0.042,0.012,Benign|DoS|Exploits|Generic|Reconnaissance|Shellcode,post_change,-0.3848659769516394
49,24500,25000,500,0.05773103653437602,pca_component_5,22.46554818143603,0.1547899836693347,0.05,0.002,Benign|DoS|Exploits|Generic|Reconnaissance,post_change,-0.33321902207494203
50,25000,25500,500,0.060932255798844745,pca_component_24,20.523657043690665,0.15615274397145212,0.082,0.002,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,-0.21038707933403358
51,25500,26000,500,0.048235359413536606,pca_component_5,31.871718820549965,0.1540434549963579,0.046,0.014,Benign|Exploits|Generic|Reconnaissance,post_change,-0.6975715927779281
52,26000,26500,500,0.0523337131884215,pca_component_2,27.484398692416207,0.15520283822932887,0.052,0.01,Benign|DoS|Exploits|Generic|Reconnaissance|Shellcode,post_change,-0.5403162739073561
53,26500,27000,500,0.05555934946317045,pca_component_5,26.938357847068716,0.16312393904075018,0.048,0.004,Benign|DoS|Exploits|Generic|Reconnaissance|Shellcode,post_change,-0.41654744163753166
54,27000,27500,500,0.06215841142662972,pca_component_2,28.758998236829296,0.18856529852063939,0.062,0.006,Benign|DoS|Exploits|Generic|Reconnaissance|Shellcode,post_change,-0.16333904375109065
55,27500,28000,500,0.05887992979669159,pca_component_1,26.922608470672373,0.17282272171276006,0.042,0.01,Benign|DoS|Exploits|Reconnaissance,post_change,-0.28913557144145907
