window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,queried_label_counts,queried_target_row_indices,query_selection_sha256,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
0,0,500,500,0.0,0.6466323421246191,0.14369607602769313,0.5676728334956184,0.4024434536390368,0.18475209774989115,,,0.904,,,,,0.6466323421246191,0.6466323421246191,0.064,,0.936,0.03418803418803419,0.5470004779788515,False,warmup,0.06380939340706308,0.064,0,{},[],,0,False,0.15699690313212644,0.0
1,500,1000,500,0.0,0.6073321836878074,0.13496270748617942,0.5464539007092198,0.42937232862848096,0.15183304592195185,,,0.91,,,,,0.6073321836878074,0.6073321836878074,0.058,,0.942,0.03397027600849257,0.5630925501011466,False,warmup,0.06057035661648282,0.058,0,{},[],,0,False,0.15699690313212644,0.0
2,1000,1500,500,0.0,0.6886240520043336,0.15302756711207413,0.6027542372881356,0.4583726297881551,0.19674972914409533,,,0.916,,,,,0.6886240520043336,0.6886240520043336,0.056,,0.944,0.029661016949152543,0.5793446629620844,False,warmup,0.04600393727021512,0.056,0,{},[],,0,False,0.15699690313212644,0.0
3,1500,2000,500,0.0,0.639327485380117,0.14207277452891487,0.56396803465402,0.4776769729521236,0.15983187134502924,,,0.854,,,,,0.639327485380117,0.639327485380117,0.088,,0.912,0.06359649122807018,0.5368599585556058,False,warmup,0.09180817014915307,0.088,0,{},[],,0,False,0.15699690313212644,0.0
4,2000,2500,500,0.0,0.7228616852146263,0.16063593004769475,0.6295845504706264,0.46166037541634786,0.20653191006132182,,,0.918,,,,,0.7228616852146263,0.7228616852146263,0.05,,0.95,0.03368421052631579,0.5607548112651152,False,warmup,0.050851545666914494,0.05,0,{},[],,0,False,0.15699690313212644,0.0
5,2500,3000,500,0.0,0.7719334575826604,0.17154076835170232,0.6712225823117749,0.5321859468923129,0.1929833643956651,,,0.888,,,,,0.7719334575826604,0.7719334575826604,0.068,,0.932,0.04721030042918455,0.555309952459626,False,warmup,0.0475338362018586,0.068,0,{},[],,0,False,0.15699690313212644,0.0
6,3000,3500,500,0.0,0.7334632878492527,0.1629918417442784,0.6377385264572987,0.5401672979768093,0.20956093938550077,,,0.872,,,,,0.7334632878492527,0.7334632878492527,0.084,,0.916,0.048034934497816595,0.5478174493954513,False,warmup,0.064138866190162,0.084,0,{},[],,0,False,0.15699690313212644,0.0
7,3500,4000,500,0.0,0.757602862254025,0.16835619161200555,0.6614832535885168,0.5301562417109295,0.18940071556350624,,,0.91,,,,,0.757602862254025,0.757602862254025,0.046,,0.954,0.04612159329140461,0.5713151154428917,False,warmup,0.05020555239305622,0.046,0,{},[],,0,False,0.15699690313212644,0.0
8,4000,4500,500,0.0,0.663574189711567,0.14746093104701488,0.5832041707763844,0.4823673730398334,0.1895926256318763,,,0.884,,,,,0.663574189711567,0.663574189711567,0.04,,0.96,0.07916666666666666,0.5363368835813102,False,warmup,0.05719287786071292,0.04,0,{},[],,0,False,0.15699690313212644,0.0
9,4500,5000,500,0.0,0.7740421287332042,0.17200936194071204,0.6806628056628057,0.6004854340743231,0.22115489392377263,,,0.904,,,,,0.7740421287332042,0.7740421287332042,0.044,,0.956,0.05439330543933055,0.5648453342358749,False,warmup,0.04796583072280101,0.044,0,{},[],,0,False,0.15699690313212644,0.0
